dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rmse,nll,crps,coverage90
cpu_act,20260923,0,point,projective_full,32,2.1391663703197517,1.0529877747045266,0.9102647966876664,0.3779176969856342,0.96875
cpu_act,20260923,1,point,projective_full,32,2.1391663703197517,0.3992850778688437,1.2820129006197178,0.3768463115831381,1.0
cpu_act,20260923,2,point,projective_full,32,2.1391663703197517,0.9848548595513709,1.3815576821754745,0.5024496647485686,1.0
cpu_act,20260923,3,point,projective_full,32,2.1391663703197517,0.34413890522061025,0.6090105683272087,0.22168786170569776,1.0
cpu_act,20260923,0,subset,projective_full,32,2.1391663703197517,0.7094267843747282,0.9600595270898881,0.31793997330528867,0.84375
cpu_act,20260923,1,subset,projective_full,32,2.1391663703197517,0.45307190385463464,0.9112367893437117,0.2867465897906279,1.0
cpu_act,20260923,2,subset,projective_full,32,2.1391663703197517,0.7102573794710709,0.8358112708875238,0.307025624473764,0.96875
cpu_act,20260923,3,subset,projective_full,32,2.1391663703197517,0.6113416234188654,0.7159576416252538,0.2736356229007928,0.84375
cpu_act,20260923,0,difference,projective_full,32,2.1391663703197517,1.4057384439361407,1.3839013606875246,0.59051494835279,0.90625
cpu_act,20260923,1,difference,projective_full,32,2.1391663703197517,1.7703891865615038,1.8848808997527615,0.8885368284224581,0.96875
cpu_act,20260923,2,difference,projective_full,32,2.1391663703197517,1.1181502193855417,1.7125785206636126,0.6522735720028342,1.0
cpu_act,20260923,3,difference,projective_full,32,2.1391663703197517,1.4308753435529296,1.3793680878789294,0.6082595072372048,0.9375
cpu_act,20260923,0,dense,projective_full,32,2.1391663703197517,1.1778893977237432,1.7683678399332425,0.6062898550808774,0.84375
cpu_act,20260923,1,dense,projective_full,32,2.1391663703197517,0.9937874283943026,1.5424726427981814,0.5788298374406624,1.0
cpu_act,20260923,2,dense,projective_full,32,2.1391663703197517,0.765548130728835,1.443698552048076,0.4928112110388913,1.0
cpu_act,20260923,3,dense,projective_full,32,2.1391663703197517,0.8270221689650472,1.2292887405555935,0.45296431955278693,0.8125
cpu_act,20260923,0,scaled_dense,projective_full,32,2.1391663703197517,2.6274659710584016,2.6165319505132874,1.372557663518332,0.84375
cpu_act,20260923,1,scaled_dense,projective_full,32,2.1391663703197517,2.3576545292241193,2.3986188079434063,1.372803802047045,1.0
cpu_act,20260923,2,scaled_dense,projective_full,32,2.1391663703197517,1.9330278716368332,2.282826453604286,1.1725397961405428,1.0
cpu_act,20260923,3,scaled_dense,projective_full,32,2.1391663703197517,1.9529093817368328,2.0343176610832963,1.0434904472573439,0.8125
cpu_act,20260923,0,point,projective_independent,32,2.2107130668882684,1.0529877747045266,0.9112495144263494,0.37862978520323454,0.96875
cpu_act,20260923,1,point,projective_independent,32,2.2107130668882684,0.3992850778688437,1.2973102419687557,0.3817821995818106,1.0
cpu_act,20260923,2,point,projective_independent,32,2.2107130668882684,0.9848548595513709,1.3948899549132379,0.5065246178497381,1.0
cpu_act,20260923,3,point,projective_independent,32,2.2107130668882684,0.34413890522061025,0.6213737361542668,0.22333533898184782,1.0
cpu_act,20260923,0,subset,projective_independent,32,2.2107130668882684,0.7094267843747282,0.9985899657309225,0.31699584473396336,0.84375
cpu_act,20260923,1,subset,projective_independent,32,2.2107130668882684,0.45307190385463464,0.8747900071595087,0.28035784521184115,1.0
cpu_act,20260923,2,subset,projective_independent,32,2.2107130668882684,0.7102573794710709,0.7826971328474588,0.29910456165028276,0.96875
cpu_act,20260923,3,subset,projective_independent,32,2.2107130668882684,0.6113416234188654,0.7365107586487198,0.2737733714926772,0.84375
cpu_act,20260923,0,difference,projective_independent,32,2.2107130668882684,1.4057384439361407,1.3901393077201223,0.5939343259599259,0.9375
cpu_act,20260923,1,difference,projective_independent,32,2.2107130668882684,1.7703891865615038,1.9210417411815446,0.9051273341394402,0.96875
cpu_act,20260923,2,difference,projective_independent,32,2.2107130668882684,1.1181502193855417,1.7535803177717781,0.6701284032221052,1.0
cpu_act,20260923,3,difference,projective_independent,32,2.2107130668882684,1.4308753435529296,1.391102049550036,0.6110330148443786,0.9375
cpu_act,20260923,0,dense,projective_independent,32,2.2107130668882684,1.1778893977237432,1.7633442460965947,0.6068831952908059,0.84375
