dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rmse,nll,crps,coverage90
fremtpl_claim_count,20260922,0,point,projective_full,32,3.452527215820382,0.7330300319433444,1.2748719535357027,0.3154471036292738,0.96875
fremtpl_claim_count,20260922,1,point,projective_full,32,3.452527215820382,1.3731980153281664,1.626572425967785,0.6549284680378568,0.875
fremtpl_claim_count,20260922,2,point,projective_full,32,3.452527215820382,1.2617370651003101,1.9323546136446064,0.5159697909136456,0.90625
fremtpl_claim_count,20260922,3,point,projective_full,32,3.452527215820382,1.255830662537785,1.945885771828102,0.7960509325174432,0.96875
fremtpl_claim_count,20260922,0,subset,projective_full,32,3.452527215820382,0.4885429980116263,0.8571762171878604,0.25594114444468496,0.84375
fremtpl_claim_count,20260922,1,subset,projective_full,32,3.452527215820382,0.35427050449973846,0.6985655934486625,0.2344438278492663,1.0
fremtpl_claim_count,20260922,2,subset,projective_full,32,3.452527215820382,0.4657604424694788,0.6981375543119183,0.25146832335151215,0.84375
fremtpl_claim_count,20260922,3,subset,projective_full,32,3.452527215820382,0.5269909299058787,1.3679384781941388,0.42175392131391687,1.0
fremtpl_claim_count,20260922,0,difference,projective_full,32,3.452527215820382,1.4374365210595814,1.9567377022335015,0.673086426785306,0.875
fremtpl_claim_count,20260922,1,difference,projective_full,32,3.452527215820382,1.066564215673882,1.6761762273810845,0.6002619099929646,0.96875
fremtpl_claim_count,20260922,2,difference,projective_full,32,3.452527215820382,1.0104457205019106,1.5005851579828702,0.4816632116068724,0.9375
fremtpl_claim_count,20260922,3,difference,projective_full,32,3.452527215820382,1.6741771221097346,2.301965356320269,1.1286473997142812,1.0
fremtpl_claim_count,20260922,0,dense,projective_full,32,3.452527215820382,0.8608341581765899,1.3279862199574657,0.4496986022832405,0.875
fremtpl_claim_count,20260922,1,dense,projective_full,32,3.452527215820382,0.942555138127599,1.4119872555519049,0.5186283430246319,0.96875
fremtpl_claim_count,20260922,2,dense,projective_full,32,3.452527215820382,0.7816395517431812,1.1630448079153326,0.4259658295892919,0.90625
fremtpl_claim_count,20260922,3,dense,projective_full,32,3.452527215820382,1.0182057103224513,1.9647060643851422,0.7607121784234688,0.96875
