dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rmse,nll,crps,coverage90
sulfur,20260921,0,point,projective_full,32,8.631441001588561,1.2003196168143262,1.3799294885200353,0.5056078266955208,0.96875
sulfur,20260921,1,point,projective_full,32,8.631441001588561,0.4109436723566248,1.863904849112039,0.627821642594661,1.0
sulfur,20260921,2,point,projective_full,32,8.631441001588561,0.6147685352752267,1.0024041672889488,0.340162418984196,0.96875
sulfur,20260921,3,point,projective_full,32,8.631441001588561,0.4452237097408019,1.0712554664952745,0.3267501078573789,1.0
sulfur,20260921,0,subset,projective_full,32,8.631441001588561,1.1328621042910834,1.8515785817389534,0.38181367842665737,0.90625
sulfur,20260921,1,subset,projective_full,32,8.631441001588561,0.3207221077014722,1.3524590875848466,0.38567002469953415,1.0
sulfur,20260921,2,subset,projective_full,32,8.631441001588561,0.3636910405880567,0.4704048600629157,0.20724214228129997,0.9375
sulfur,20260921,3,subset,projective_full,32,8.631441001588561,1.7640893862876845,1.9139807321554123,0.5343781984988054,0.9375
sulfur,20260921,0,difference,projective_full,32,8.631441001588561,1.3716725125766502,1.6275522015246735,0.6619811648917007,0.9375
sulfur,20260921,1,difference,projective_full,32,8.631441001588561,0.8610002150643143,2.229991592176754,0.9293933019374785,1.0
sulfur,20260921,2,difference,projective_full,32,8.631441001588561,3.4417615871062686,5.063379983919647,0.9687551863524096,0.96875
sulfur,20260921,3,difference,projective_full,32,8.631441001588561,0.99066244276022,1.5269273147386335,0.5504375454204177,0.96875
sulfur,20260921,0,dense,projective_full,32,8.631441001588561,0.686923734287218,1.1727838509734703,0.38989041779628364,0.96875
sulfur,20260921,1,dense,projective_full,32,8.631441001588561,0.7432912604954498,1.96323131159986,0.7176257157992838,1.0
sulfur,20260921,2,dense,projective_full,32,8.631441001588561,0.8841060330327143,1.2124911046563844,0.45538158515690125,0.875
sulfur,20260921,3,dense,projective_full,32,8.631441001588561,1.136321290989594,1.4888421658813873,0.5866147452414969,0.9375
sulfur,20260921,0,scaled_dense,projective_full,32,8.631441001588561,1.740949954705204,2.0416951828150562,0.9509695032668429,0.96875
sulfur,20260921,1,scaled_dense,projective_full,32,8.631441001588561,1.6929378190295719,2.8176828977575354,1.6893701464780502,1.0
sulfur,20260921,2,scaled_dense,projective_full,32,8.631441001588561,2.0646125795867896,2.0794198450062344,1.073596642590437,0.875
sulfur,20260921,3,scaled_dense,projective_full,32,8.631441001588561,3.0842595340587584,2.34993119750059,1.4758980369011596,0.9375
sulfur,20260921,0,point,projective_independent,32,8.694108031815764,1.2003196168143262,1.3811440483345065,0.5061733425195066,0.96875
sulfur,20260921,1,point,projective_independent,32,8.694108031815764,0.4109436723566248,1.8674322061804849,0.6299135380559888,1.0
sulfur,20260921,2,point,projective_independent,32,8.694108031815764,0.6147685352752267,1.0046226889243695,0.3406067820066593,0.96875
sulfur,20260921,3,point,projective_independent,32,8.694108031815764,0.4452237097408019,1.0742469093472549,0.32745162588460786,1.0
sulfur,20260921,0,subset,projective_independent,32,8.694108031815764,1.1328621042910834,1.8802719637646108,0.37659213626455534,0.90625
sulfur,20260921,1,subset,projective_independent,32,8.694108031815764,0.3207221077014722,1.2925674548171382,0.3684325215423263,1.0
sulfur,20260921,2,subset,projective_independent,32,8.694108031815764,0.3636910405880567,0.45056009097267374,0.20533119191003696,0.9375
sulfur,20260921,3,subset,projective_independent,32,8.694108031815764,1.7640893862876845,2.080411011803362,0.530225971227657,0.9375
sulfur,20260921,0,difference,projective_independent,32,8.694108031815764,1.3716725125766502,1.6490284533457946,0.6695828250270273,0.9375
sulfur,20260921,1,difference,projective_independent,32,8.694108031815764,0.8610002150643143,2.2679692615814813,0.9601935492544749,1.0
sulfur,20260921,2,difference,projective_independent,32,8.694108031815764,3.4417615871062686,4.921225499800348,0.9758708380332788,0.96875
sulfur,20260921,3,difference,projective_independent,32,8.694108031815764,0.99066244276022,1.5463548519691963,0.5590080475010788,0.96875
sulfur,20260921,0,dense,projective_independent,32,8.694108031815764,0.686923734287218,1.1828411969895214,0.3921150294101061,0.96875
sulfur,20260921,1,dense,projective_independent,32,8.694108031815764,0.7432912604954498,1.9650770095711225,0.7176644980986573,1.0
sulfur,20260921,2,dense,projective_independent,32,8.694108031815764,0.8841060330327143,1.2398458425450973,0.4592743390303381,0.875
sulfur,20260921,3,dense,projective_independent,32,8.694108031815764,1.136321290989594,1.4481730810317899,0.5789492702891303,0.9375
sulfur,20260921,0,scaled_dense,projective_independent,32,8.694108031815764,1.740949954705204,2.051752528831107,0.955499375072824,0.96875
sulfur,20260921,1,scaled_dense,projective_independent,32,8.694108031815764,1.6929378190295719,2.819528595728798,1.6905648056707019,1.0
sulfur,20260921,2,scaled_dense,projective_independent,32,8.694108031815764,2.0646125795867896,2.106774582894948,1.0829372584252364,0.875
sulfur,20260921,3,scaled_dense,projective_independent,32,8.694108031815764,3.0842595340587584,2.309262112650993,1.4564758336977528,0.9375
sulfur,20260921,0,point,projective_shuffled,32,8.638207723207714,1.2003196168143262,1.3800602192096814,0.5056689103937979,0.96875
sulfur,20260921,1,point,projective_shuffled,32,8.638207723207714,0.4109436723566248,1.8642869293725464,0.6280478571477663,1.0
sulfur,20260921,2,point,projective_shuffled,32,8.638207723207714,0.6147685352752267,1.0026440062769653,0.3402103985771153,0.96875
sulfur,20260921,3,point,projective_shuffled,32,8.638207723207714,0.4452237097408019,1.071579304811705,0.326825908901535,1.0
sulfur,20260921,0,subset,projective_shuffled,32,8.638207723207714,1.1328621042910834,1.8427124201936493,0.3822112295761506,0.90625
sulfur,20260921,1,subset,projective_shuffled,32,8.638207723207714,0.3207221077014722,1.363860894710606,0.39016835213048606,1.0
sulfur,20260921,2,subset,projective_shuffled,32,8.638207723207714,0.3636910405880567,0.47266817127480065,0.20752415388871603,0.9375
sulfur,20260921,3,subset,projective_shuffled,32,8.638207723207714,1.7640893862876845,1.9532206258561278,0.5361669247108738,0.9375
sulfur,20260921,0,difference,projective_shuffled,32,8.638207723207714,1.3716725125766502,1.6346302822890335,0.6629625017617634,0.9375
sulfur,20260921,1,difference,projective_shuffled,32,8.638207723207714,0.8610002150643143,2.232581452417663,0.9308659471900631,1.0
sulfur,20260921,2,difference,projective_shuffled,32,8.638207723207714,3.4417615871062686,5.46866311421433,0.9708800728311353,0.96875
sulfur,20260921,3,difference,projective_shuffled,32,8.638207723207714,0.99066244276022,1.5233361452436136,0.5512881869435778,0.96875
sulfur,20260921,0,dense,projective_shuffled,32,8.638207723207714,0.686923734287218,1.1787354264988839,0.39117313355964645,0.96875
sulfur,20260921,1,dense,projective_shuffled,32,8.638207723207714,0.7432912604954498,1.9605069955661132,0.715661367594391,1.0
sulfur,20260921,2,dense,projective_shuffled,32,8.638207723207714,0.8841060330327143,1.2384968033467174,0.4577819280459421,0.875
sulfur,20260921,3,dense,projective_shuffled,32,8.638207723207714,1.136321290989594,1.4651948252673972,0.5841429619679348,0.9375
sulfur,20260921,0,scaled_dense,projective_shuffled,32,8.638207723207714,1.740949954705204,2.0476467583404694,0.9539216999549223,0.96875
sulfur,20260921,1,scaled_dense,projective_shuffled,32,8.638207723207714,1.6929378190295719,2.814958581723788,1.6840134736764085,1.0
sulfur,20260921,2,scaled_dense,projective_shuffled,32,8.638207723207714,2.0646125795867896,2.1054255436965676,1.0789035385328112,0.875
sulfur,20260921,3,scaled_dense,projective_shuffled,32,8.638207723207714,3.0842595340587584,2.3262838568866,1.467721990151155,0.9375
