git_commit,git_dirty,task_id,task_seed,seed,model,split,training_seconds,router_entropy,operator_accuracy,regime_accuracy,regime_ari,regime_nmi,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,ProgramMoE-hard,iid,1.6093543388415128,0.0028522140346467495,0.8333333333333333,1.0,1.0,1.0,5.072742226275295e-11,2.393501417473149e-10,1.0,2.620548972799653e-10,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,ProgramMoE-soft,iid,1.6093543388415128,0.0028522140346467495,0.8333333333333333,1.0,1.0,1.0,0.0003442592544757872,0.0005783223048963252,0.9999995990806038,0.0006331819613640126,0.00029515125883998493
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,SingleProgram,iid,0.18101718090474606,-1.0,0.3333333333333333,-1.0,-1.0,-1.0,0.5710026423436503,0.8199033423060653,0.19417173596693704,0.8976793770790676,0.6568840330558847
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,MLP,iid,1.3067043460905552,-1.0,-1.0,-1.0,-1.0,-1.0,0.04558995463637672,0.08298408601617703,0.9917451951153434,0.09085595679236749,0.0517874639373091
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,NeuralMoE,iid,1.977256229147315,0.13466840982437134,-1.0,1.0,1.0,1.0,0.045681675952643275,0.08776502719953197,0.9907666315535801,0.09609041807807796,0.0528922827895465
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,RandomForest,iid,0.3944434199947864,-1.0,-1.0,-1.0,-1.0,-1.0,0.2930540916519032,0.4174833982152763,0.7910725026331454,0.4570858752650912,0.33435266571289973
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,ProgramMoE-hard,ood,1.6093543388415128,0.00273359683342278,0.8333333333333333,1.0,1.0,1.0,7.838559662465272e-12,7.34872557618181e-11,1.0,1.0525352970144475e-12,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,ProgramMoE-soft,ood,1.6093543388415128,0.00273359683342278,0.8333333333333333,1.0,1.0,1.0,0.02034076377785917,0.04245142627625497,0.9999996303132795,0.0006080186843441805,0.00027180864686812673
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,SingleProgram,ood,0.18101718090474606,-1.0,0.3333333333333333,-1.0,-1.0,-1.0,44.387162047504475,58.86419216786657,0.2891930675419436,0.8430936676657323,0.8440195091604166
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-202609200,202609200,0,MLP,ood,1.3067043460905552,-1.0,-1.0,-1.0,-1.0,-1.0,45.794780538416276,74.66486170617883,-0.1436201750258299,1.069401783721081,0.8319154398083561
