model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,regime_accuracy_mean,regime_ari_mean,regime_nmi_mean,router_entropy_mean,operator_accuracy_mean,training_seconds_mean
MLP,iid,12,60,0.1254632109421158,0.1336088754145925,0.06763738164431,0.2108179563151046,-1.0,-1.0,-1.0,-1.0,-1.0,1.3472641032577182
MLP,ood,12,60,0.9488312213502722,0.20389987732280468,0.8451557433538761,1.0589905486418956,-1.0,-1.0,-1.0,-1.0,-1.0,1.3472641032577182
NeuralMoE,iid,12,60,0.14078740594894215,0.14150915625275717,0.07451098720771861,0.22979585499900465,0.7323404947916666,0.33023032375449307,0.32312478010577866,0.35369256262977916,-1.0,2.271720996037281
NeuralMoE,ood,12,60,0.9543287003022352,0.16339745447238316,0.8707213519018561,1.0460033744041297,0.5421061197916667,0.018393641525849786,0.014849236276070918,0.26903572377438345,-1.0,2.271720996037281
ProgramMoE-hard,iid,12,60,4.04880948799445e-10,1.644535308392782e-10,3.213925833993003e-10,5.009471712466392e-10,1.0,1.0,1.0,0.0015593593978943925,0.9333333333333332,0.4937846350095545
ProgramMoE-hard,ood,12,60,4.013408024350283e-12,6.579958976117425e-12,7.503337877101376e-13,7.863552274292625e-12,1.0,1.0,1.0,0.0015527063097882396,0.9333333333333332,0.4937846350095545
ProgramMoE-soft,iid,12,60,0.0002857588164156657,5.709478823988521e-05,0.000252897999248029,0.00031477226847474005,1.0,1.0,1.0,0.0015593593978943925,0.9333333333333332,0.4937846350095545
ProgramMoE-soft,ood,12,60,0.00033177413046176304,0.00011422812815501009,0.000280117809356447,0.0004030826007103561,1.0,1.0,1.0,0.0015527063097882396,0.9333333333333332,0.4937846350095545
RandomForest,iid,12,60,0.262303323162408,0.17525838296797963,0.17223423073897967,0.3598448620037313,-1.0,-1.0,-1.0,-1.0,-1.0,0.42609677775374916
RandomForest,ood,12,60,1.1739412560694473,0.29542782463396944,1.0286812709289659,1.340054432555408,-1.0,-1.0,-1.0,-1.0,-1.0,0.42609677775374916
SingleProgram,iid,12,60,0.7864891066830492,0.12844993116882,0.7060176327162652,0.8504065220912241,-1.0,-1.0,-1.0,-1.0,0.5805555555555556,0.1833912429671424
SingleProgram,ood,12,60,1.7000462272434778,1.5436013044044798,0.9741310275071546,2.6757230777378957,-1.0,-1.0,-1.0,-1.0,0.5805555555555556,0.1833912429671424
