dataset,seed,outer_fold,fit_rows,holdout_rows,singletons,pairs,candidate_count,baseline_loss,corrected_loss,relative_gain,win
adult,0,0,20838,5210,3;4,,9,0.3022871667210145,0.2938339786914997,0.027964098248723913,1
adult,0,1,20838,5210,3;4,,9,0.30002925346688325,0.28727735889534317,0.04250217078564845,1
adult,0,2,20838,5210,3;4,,9,0.3012054711521587,0.28749515747198234,0.045518142906675,1
adult,0,3,20839,5209,3;4,,9,0.30408454135776214,0.2913731904063452,0.04180202944437669,1
adult,0,4,20839,5209,3;4,,9,0.29037741803200917,0.2760805027178059,0.049235630687463804,1
adult,1,0,20838,5210,3;4,,9,0.2897474907392534,0.27519597530678197,0.05022136825187024,1
adult,1,1,20838,5210,3;4,,9,0.3056607106515274,0.2952189278309656,0.034161350990465016,1
adult,1,2,20838,5210,3;4,,9,0.29890469560875826,0.28444359336347796,0.04838031137593334,1
adult,1,3,20839,5209,3;4,,9,0.29250719557716404,0.2783093942388838,0.04853829769987602,1
adult,1,4,20839,5209,3;4,,9,0.31476818626284625,0.30797824507413685,0.02157124348977086,1
adult,2,0,20838,5210,3;4,,9,0.29558283836726856,0.2845809504884488,0.037220996792613786,1
adult,2,1,20838,5210,3;4,,9,0.30182019062339666,0.2930023396080126,0.02921557698698413,1
adult,2,2,20838,5210,3,2+4,9,0.29733227568677606,0.29082238259399923,0.021894337161145132,1
adult,2,3,20839,5209,3,,9,0.30804287219273446,0.2986058010065473,0.030635577181226285,1
adult,2,4,20839,5209,3;4,,9,0.30398743270292067,0.28867581442346957,0.05036924764720377,1
black-friday,0,0,85411,21353,1,2+3;1+3;1+2,10,0.5048865993268011,0.48706010812519995,0.035307911173262325,1
black-friday,0,1,85411,21353,1,2+3;1+3;1+2,10,0.510210434351722,0.49231909516140787,0.03506658818737606,1
black-friday,0,2,85411,21353,1,2+3;1+3;1+2,10,0.4992130773710128,0.4844316591807093,0.029609437052703663,1
black-friday,0,3,85411,21353,1,2+3;1+3;1+2,10,0.49108714358468925,0.4766575552715425,0.029382948630701233,1
black-friday,0,4,85412,21352,1,2+3;1+3;1+2,10,0.5012158173176637,0.48381320105346876,0.034720804218286355,1
black-friday,1,0,85411,21353,1,2+3;1+3;1+2,10,0.4957937972561614,0.479187545349728,0.03349427120374693,1
black-friday,1,1,85411,21353,1,2+3;1+3;1+2,10,0.5026386926737485,0.48697071774344386,0.031171446127555427,1
black-friday,1,2,85411,21353,1,2+3;1+3;1+2,10,0.5004416361568438,0.4830578143914157,0.03473696133464762,1
black-friday,1,3,85411,21353,1,2+3;1+3;1+2,10,0.5085882500743927,0.4917517698617826,0.03310434366139478,1
black-friday,1,4,85412,21352,1,2+3;1+3;1+2,10,0.49993977662180306,0.48382374305999026,0.032235949839222997,1
black-friday,2,0,85411,21353,1,2+3;1+3;1+2,10,0.5013710830535912,0.4862551759605837,0.03014914023550058,1
black-friday,2,1,85411,21353,1,2+3;1+3;1+2,10,0.5054126884973607,0.48967253284565737,0.031143174696504437,1
black-friday,2,2,85411,21353,1,2+3;1+3;1+2,10,0.5034779662993141,0.4865189294753172,0.03368377160305527,1
black-friday,2,3,85411,21353,1,2+3;1+3;1+2,10,0.5008642591219764,0.4832708503566959,0.03512610142341166,1
black-friday,2,4,85412,21352,1,2+3;1+3;1+2,10,0.49514249148974354,0.477908763830828,0.0348055922388405,1
