model,model_family,problem_type,datasets,mean_matched_normalized_loss_gap,loss_gap_ci_low,loss_gap_ci_high,mean_excess_disagreement,excess_disagreement_ci_low,excess_disagreement_ci_high
catboost,tree,binary,7,1.3448184296699039e-05,-0.00030363788721930935,0.0003301553370963241,0.00012101391195457273,7.904493485470669e-05,0.0001676105894588103
catboost,tree,multiclass,3,2.45741910108609e-05,-0.0002867588161126017,0.0003378699963059815,0.00014569838362544067,3.237517519837711e-05,0.0003540048168398068
catboost,tree,regression,8,0.000211922119056982,-0.00036809053548120653,0.0009149014638489296,0.014410487324502726,0.007043127816329336,0.02315719947626438
lightgbm,tree,binary,7,0.0001611742254882202,-0.0030057500751735507,0.0034045700848647185,0.002040955430092306,0.0014195296386848378,0.0026470834463518996
lightgbm,tree,multiclass,5,0.001932797773346025,-0.00235243033273954,0.0056577716586460125,0.0016002741194235115,0.0007243146956528333,0.002715387927677472
lightgbm,tree,regression,8,0.0006428051529578514,-0.001241993164970002,0.0022454413376350084,0.04838511725649151,0.02776894589860173,0.07065046435401834
linear,linear,binary,7,-0.0025703670711576016,-0.00885981577263548,0.0011191492008204163,0.001885803108501506,0.001215957364122456,0.0025817772154320792
linear,linear,multiclass,5,0.004147721533412365,-0.00040251471118354676,0.007425677706958327,0.0048597081527617225,0.0025859219712168727,0.007898197441534475
linear,linear,regression,8,0.020610612439786805,0.008424352750640476,0.031149576205525838,0.11544180890462694,0.09805171636199045,0.13331381782522653
mitra_default,TFM,regression,8,-0.0003955756345327188,-0.0009271625523157945,0.0001184508083465547,0.00319339783666883,-0.006529592483608169,0.010370926407585735
random_forest,tree,binary,7,-0.0001103306094452493,-0.0003996523557737432,0.00015938919894096043,5.5387026201446974e-05,3.934708008385846e-05,7.035126551232562e-05
random_forest,tree,multiclass,4,0.0006335527650722602,-0.00016070313341770865,0.0013825640766074465,9.251177397919783e-05,5.1908844785959494e-05,0.00012220304418975007
random_forest,tree,regression,8,-0.00018621058943365918,-0.0006046206547899989,8.711178786397304e-05,0.0053701010133420015,0.003872803302505542,0.006778552152113581
realmlp_default,trained neural,binary,1,-0.0022137804856183305,-0.0028556704453723165,-0.0015718905258643445,0.006832948235339902,0.0066370253472946205,0.007028871123385183
realmlp_default,trained neural,regression,8,0.001893309921849352,-0.009487188196906589,0.01154254097373563,0.15211692470259475,0.10214460267772593,0.20396397959681464
tabicl_v2_default,TFM,regression,7,0.0021528615794517403,-0.0007198756995709689,0.005269836313038242,0.03329763903646626,0.02321507088671571,0.04336025518815684
tabicl_v2_single,TFM,regression,8,0.00174637573262695,-0.0016444274670617462,0.005660432119365881,0.04241304249219737,0.030951178260833608,0.05415613734334562
tabm_default,trained neural,binary,3,0.00341201725667444,-0.000906355363119826,0.009904152044560322,0.0025336674958226636,0.0002307866580315051,0.00605049038507139
tabm_default,trained neural,regression,7,0.0007646471605595327,-0.0008451204287668588,0.0022631477477690295,0.03716294720088738,0.02072672183362198,0.055374079262095456
tabpfn_v25_default,TFM,regression,6,5.017599768361761e-05,-0.0032496056695789748,0.002221299150389652,0.024825654298157585,0.01684206794784841,0.033144185705196304
tabpfn_v25_single,TFM,regression,8,0.004379281217593489,0.00021522562945038178,0.008595313669946408,0.05579942786258364,0.0397499420311331,0.07360563606005974
xgboost,tree,binary,7,0.0002766154521273288,-0.00020846789415794964,0.0006560573535003893,0.0001857301211600552,0.00010991845792789749,0.00026900559048751224
xgboost,tree,multiclass,5,0.0001405783098010474,-0.0002826386783544922,0.0004706036082411539,0.00019941169759617647,8.200144858849415e-05,0.0003233007662019791
xgboost,tree,regression,8,0.00012177663462067529,-0.0005110839695900622,0.0007098881919227963,0.013270085885057431,0.008113265143257423,0.01904869343805963
