dataset,split_seed,binned_entropy,entropy,excess_kurtosis,feature,finite_count,largest_atom_mass,missing_rate,robust_scale_iqr,skewness,spacing_irregularity,tail_heaviness_q99_q01_over_iqr,unique_count,unique_fraction,zero_mass,q01,q10,q25,q50,q75,q90,q99
wine_quality,20260831,2.0949302889281327,3.7622403444389945,5.050802269851463,fixed_acidity,2048,0.06103515625,0.0,1.2999999999999998,1.7545916798765258,1.3189652844133553,5.425384615384614,86.0,0.0419921875,0.0,5.1,6.0,6.4,6.9,7.7,8.7,12.152999999999997
wine_quality,20260831,2.138863366655977,4.071039366000855,2.7984876758582073,volatile_acidity,2048,0.04638671875,0.0,0.17,1.522446039743141,1.5782366087034372,4.352941176470588,142.0,0.0693359375,0.0,0.13,0.18,0.23,0.29,0.4,0.5814999999999997,0.87
wine_quality,20260831,1.8240965067757624,3.851733196394161,4.546984545135997,citric_acid,2048,0.05908203125,0.0,0.14250000000000002,0.616439818836322,3.584433531158658,5.122807017543859,81.0,0.03955078125,0.0263671875,0.0,0.15700000000000017,0.25,0.31,0.3925,0.49,0.73
wine_quality,20260831,2.2321222420887867,4.705387302838999,0.5785538024766876,residual_sugar,2048,0.0390625,0.0,6.2,1.2046546190600866,1.8715849432204659,2.8325806451612885,233.0,0.11376953125,0.0,1.0,1.3700000000000017,1.8,2.9,8.0,13.1,18.56199999999999
wine_quality,20260831,1.3590875775896818,4.3180541139680155,36.360717290501974,chlorides,2048,0.0361328125,0.0,0.027000000000000003,4.560265689410951,2.792771908080562,5.686296296296295,149.0,0.07275390625,0.0,0.022,0.032,0.038,0.047,0.065,0.086,0.17552999999999996
wine_quality,20260831,1.5508737564364394,4.167711473613147,20.249153919069926,free_sulfur_dioxide,2048,0.02978515625,0.0,24.0,2.001335510208878,5.2814383321668625,3.063749999999999,101.0,0.04931640625,0.0,3.0,9.0,17.0,29.0,41.0,53.299999999999955,76.52999999999997
wine_quality,20260831,2.305355875261248,5.306983172383312,-0.15737059907034112,total_sulfur_dioxide,2048,0.01220703125,0.0,76.0,0.037295241039311866,5.728438694349248,3.026315789473684,249.0,0.12158203125,0.0,10.0,30.700000000000017,79.0,118.0,155.0,189.0,240.0
wine_quality,20260831,2.685564358505742,6.012536857787522,-0.6965724270829341,density,2048,0.01318359375,0.0,0.004642500000000105,-0.0008201346017000788,1.8054780071863576,2.5635756596660357,675.0,0.32958984375,0.0,0.9889,0.990734,0.9923,0.9948,0.9969425000000001,0.9984,1.0008013999999998
wine_quality,20260831,2.366313695274091,4.131627298666437,0.5877149186121979,pH,2048,0.03564453125,0.0,0.20999999999999996,0.40810893401009124,1.1335801829488787,3.5238095238095233,96.0,0.046875,0.0,2.89,3.02,3.11,3.21,3.32,3.42,3.63
wine_quality,20260831,2.0930898718387305,3.92039122537686,3.6433785052826337,sulphates,2048,0.03955078125,0.0,0.16999999999999998,1.3341511643262602,1.6159397706806404,3.913529411764705,86.0,0.0419921875,0.0,0.31,0.37,0.43,0.5,0.6,0.71,0.9752999999999997
wine_quality,20260831,2.7290453323124,3.810427151737377,-0.5953350622373605,alcohol,2048,0.05224609375,0.0,1.8000000000000007,0.5494410184480688,0.49251771150398144,2.5555555555555554,81.0,0.03955078125,0.0,8.7,9.1,9.5,10.3,11.3,12.3,13.3
