dataset,split_seed,problem_type,model,model_family,transform,matched_normalized_loss_gap,matched_excess_disagreement,matched_disagreement,context_only_disagreement,query_only_disagreement
APSFailure,20260831,binary,catboost,tree,asinh,3.703672553546922e-05,1.7635537608283213e-06,1.7635537608283213e-06,0.1507271705866253,0.004490118508098036
APSFailure,20260831,binary,catboost,tree,atomic_spacing,0.0004711689938001751,3.65218037578639e-06,3.65218037578639e-06,0.06420152631856674,0.004399195210200422
APSFailure,20260831,binary,catboost,tree,composition,-3.135373532755827e-05,5.5665737851629645e-08,5.5665737851629645e-08,0.15307660144072863,0.004477621946727521
APSFailure,20260831,binary,catboost,tree,empirical_cdf,0.0004739898670226145,3.6406805686174548e-06,3.6406805686174548e-06,0.15241662376756362,0.004490510419240527
APSFailure,20260831,binary,catboost,tree,monotone_spline,0.0007580603255021948,4.5562587330020354e-05,4.5562587330020354e-05,0.15660667197544553,0.004478688271919387
APSFailure,20260831,binary,catboost,tree,negative_affine,0.003155621217399915,0.0004134960937801537,0.0004134960937801537,0.004606291338386783,0.005056042180810656
APSFailure,20260831,binary,catboost,tree,positive_affine,0.0007717861744535546,2.0526645826469123e-05,2.0526645826469123e-05,0.0021915098961178413,0.007277091094095249
APSFailure,20260831,binary,catboost,tree,quantile_gaussian,0.00047397870210414556,3.6409085670481585e-06,3.6409085670481585e-06,0.15341516366632507,0.004489804207449273
APSFailure,20260831,binary,catboost,tree,random_monotone_pwl,-1.9051458757246564e-06,1.4708581542992127e-06,1.4708581542992127e-06,0.1544512424567801,0.004478376274085803
APSFailure,20260831,binary,catboost,tree,signed_power,-1.4097920945319957e-06,4.3470759305848525e-07,4.3470759305848525e-07,0.15682726262691235,0.0039378026293385
APSFailure,20260831,binary,lightgbm,tree,asinh,-0.003051367288758343,0.0003290985062697027,0.0003290985062697027,0.031182134461642984,0.00836669117578282
APSFailure,20260831,binary,lightgbm,tree,atomic_spacing,0.00878555242528889,0.0005640368162538208,0.0005640368162538208,0.1413973340167671,0.008366446034345514
APSFailure,20260831,binary,lightgbm,tree,composition,-0.0030513672944861778,0.0003290985057658737,0.0003290985057658737,0.05792436971693987,0.00836669134932462
APSFailure,20260831,binary,lightgbm,tree,empirical_cdf,0.0025211820996224876,0.00025543321798233173,0.00025543321798233173,0.017475779135169147,0.008366682625041397
APSFailure,20260831,binary,lightgbm,tree,monotone_spline,-0.0030513673752789114,0.0003290984978241854,0.0003290984978241854,0.0844412460455054,0.008366691994793007
APSFailure,20260831,binary,lightgbm,tree,negative_affine,-0.0017120938047482798,0.0004865225349485151,0.0004865225349485151,0.008367725790785237,0.008366344298334579
APSFailure,20260831,binary,lightgbm,tree,positive_affine,-0.0028819211506341835,0.0003168386238239363,0.0003168386238239363,0.004925591486523273,0.008949710063026048
APSFailure,20260831,binary,lightgbm,tree,quantile_gaussian,0.0018146732955512945,0.0004122070634447422,0.0004122070634447422,0.014879645561778709,0.00836669117269738
APSFailure,20260831,binary,lightgbm,tree,random_monotone_pwl,-0.0030513672968801586,0.0003290985055351152,0.0003290985055351152,0.07961099717305449,0.008366692102128606
APSFailure,20260831,binary,lightgbm,tree,signed_power,-0.003051367352431847,0.0003290985001191177,0.0003290985001191177,0.11921640370729325,0.008366365150315531
APSFailure,20260831,binary,linear,linear,asinh,-0.01345746319845075,0.0034424099430302303,0.0034424099430302303,0.3897138329145382,0.009635020372634834
APSFailure,20260831,binary,linear,linear,atomic_spacing,-0.00755703167594714,0.004939042516015801,0.004939042516015801,0.5160592322626496,0.009655677512006583
APSFailure,20260831,binary,linear,linear,composition,0.009152127594961264,0.0005267939904248458,0.0005267939904248458,0.6545001493110384,0.009633983520218823
APSFailure,20260831,binary,linear,linear,empirical_cdf,-0.01623670577624474,0.004877957512631134,0.004877957512631134,0.5738729947162604,0.00965428771939431
APSFailure,20260831,binary,linear,linear,monotone_spline,-0.006853947284372772,0.0005243540455082933,0.0005243540455082933,0.6368258553485117,0.009631264852453922
APSFailure,20260831,binary,linear,linear,negative_affine,-2.746367947873788e-12,2.383347753656422e-17,2.383347753656422e-17,0.013417456847973777,0.013099045946705521
APSFailure,20260831,binary,linear,linear,positive_affine,-2.571692858666097e-12,2.4666404002151437e-17,2.4666404002151437e-17,0.19873080150076203,0.004163114930754875
APSFailure,20260831,binary,linear,linear,quantile_gaussian,-0.023242273647792563,0.004743548049275915,0.004743548049275915,0.5644151185541881,0.009634799165756108
APSFailure,20260831,binary,linear,linear,random_monotone_pwl,0.0010752341862151186,0.0002564947575494678,0.0002564947575494678,0.6243431274470631,0.009631407461928372
APSFailure,20260831,binary,linear,linear,signed_power,0.06042950046979839,0.0028870517108040145,0.0028870517108040145,0.4703211096728303,0.01295913357301035
APSFailure,20260831,binary,random_forest,tree,asinh,8.264289782560635e-05,1.2136231969267885e-06,1.2136231969268546e-06,0.1851849247994007,0.00556917075344165
APSFailure,20260831,binary,random_forest,tree,atomic_spacing,1.801045182330217e-05,5.502130872005561e-06,5.502130872005628e-06,0.07214888530775242,0.005358734466040467
APSFailure,20260831,binary,random_forest,tree,composition,-4.493782365296942e-05,1.2765126877037492e-06,1.276512687703815e-06,0.18689943216912627,0.005635728938811539
APSFailure,20260831,binary,random_forest,tree,empirical_cdf,1.2084466606367139e-05,7.238256873647712e-06,7.238256873647778e-06,0.18374310312618866,0.005449352223529358
APSFailure,20260831,binary,random_forest,tree,monotone_spline,-0.0003797174630554544,2.5091409597735772e-05,2.509140959773584e-05,0.19129353278904251,0.0056731450989900645
APSFailure,20260831,binary,random_forest,tree,negative_affine,-0.0006165083225115886,4.993019208471144e-05,4.993019208471151e-05,0.00797798135751212,0.007936496085236083
APSFailure,20260831,binary,random_forest,tree,positive_affine,0.0,-8.23683018561787e-20,-1.640802311590463e-20,0.01974942630063786,0.011960405492209175
APSFailure,20260831,binary,random_forest,tree,quantile_gaussian,8.925890761989769e-05,5.365341067367994e-06,5.3653410673680605e-06,0.18484923648226692,0.005507038004106157
APSFailure,20260831,binary,random_forest,tree,random_monotone_pwl,-5.212798240255186e-05,1.4073309380819793e-06,1.4073309380820454e-06,0.18750320834749157,0.005620175021938845
APSFailure,20260831,binary,random_forest,tree,signed_power,-0.0004397131017750665,1.5309760532430844e-05,1.5309760532430912e-05,0.18860197470378467,0.0045271485955071
