dataset,nll_advantage_over_independent,crps_advantage_over_independent,nll_advantage_over_shuffled
abalone,0.005561798796366316,0.0013952735070470086,0.004537679218012267
bike_sharing,0.002304929122494949,0.0017293711233189607,0.0024556593822521755
cpu_act,0.010533024562679558,0.0042906607678525385,0.0011247639338916593
elevators,0.0039413229018648395,0.0031763519612669415,0.0074187739537270765
fremtpl_claim_count,-0.01578835010870169,0.0021740542474521507,-0.0017471876019613
kdd17_stock_return,0.004390521632367587,0.0018494051099430195,-0.0006692740559134831
kin8nm,0.0017658623881717263,0.00036623520632639354,0.003042700804771606
pol,0.014939919042059858,0.002799513777056876,0.001998811865204742
puma32h,0.0023411873368555914,8.614279807063821e-05,-0.0005136327318049777
sulfur,0.004105435219195007,0.0011654751341731034,0.013129265462247136
superconduct,0.005463264560768152,0.0006333569278300361,0.0029001213106222418
wine_quality,0.00844611742955529,0.0014400676582621886,0.0009193776277115576
