dataset,split_seed,model,variance_temperature,validation_nll
fremtpl_claim_count,20260921,projective_full,1.8455215635098452,1.4286610581805934
fremtpl_claim_count,20260921,projective_independent,1.87907875970009,1.4260962821936023
fremtpl_claim_count,20260921,projective_shuffled,1.833549853685097,1.4272417256409269
fremtpl_claim_count,20260922,projective_full,3.452527215820382,1.7851465436112606
fremtpl_claim_count,20260922,projective_independent,3.5346666212607545,1.7843423360371409
fremtpl_claim_count,20260922,projective_shuffled,3.422864523970579,1.7806959033148673
fremtpl_claim_count,20260923,projective_full,1.1040509687078175,1.4199926296273522
fremtpl_claim_count,20260923,projective_independent,1.1230313276363524,1.4170146497674998
fremtpl_claim_count,20260923,projective_shuffled,1.1066991306851026,1.4219758740076345
kdd17_stock_return,20260921,projective_full,2.5991011435947637,1.5375689537139308
kdd17_stock_return,20260921,projective_independent,2.743824227643421,1.550917856597516
kdd17_stock_return,20260921,projective_shuffled,2.6137284442757305,1.538430144407141
kdd17_stock_return,20260922,projective_full,3.104767909162553,1.4606391709164808
kdd17_stock_return,20260922,projective_independent,3.173409247449221,1.4642043590055822
kdd17_stock_return,20260922,projective_shuffled,3.0736005974038347,1.4583741314255128
kdd17_stock_return,20260923,projective_full,1.7054632676222985,1.4432681121814857
kdd17_stock_return,20260923,projective_independent,1.7651875135735504,1.449441730592384
kdd17_stock_return,20260923,projective_shuffled,1.7001519364857676,1.4409269415326595
abalone,20260921,projective_full,0.6554103203184292,1.3080959750491623
abalone,20260921,projective_independent,0.669366044456427,1.3100883392371274
abalone,20260921,projective_shuffled,0.6583058599797506,1.3107423282677664
abalone,20260922,projective_full,1.7942524628786358,1.5222103341672777
abalone,20260922,projective_independent,1.8320801859602212,1.5263811088081112
abalone,20260922,projective_shuffled,1.793346617979313,1.5215952868922922
abalone,20260923,projective_full,2.3705200430277573,1.4156638547692626
abalone,20260923,projective_independent,2.4290345902670816,1.41724225454041
abalone,20260923,projective_shuffled,2.3796893425006083,1.4159547267495984
kin8nm,20260921,projective_full,1.1603780113679638,1.4203630279780683
kin8nm,20260921,projective_independent,1.1872900516926077,1.4221815043377466
kin8nm,20260921,projective_shuffled,1.16840372857496,1.4216188444784643
kin8nm,20260922,projective_full,1.3741905368249945,1.4976785239656032
kin8nm,20260922,projective_independent,1.4002406647830743,1.4987685257944947
kin8nm,20260922,projective_shuffled,1.3795667461067933,1.5003662902438966
kin8nm,20260923,projective_full,0.9688010893029088,1.403112359116934
kin8nm,20260923,projective_independent,0.97080351796466,1.3982739712532086
kin8nm,20260923,projective_shuffled,0.9679003105659622,1.4037449145869003
pol,20260921,projective_full,1.3733971868700876,1.7277544518626358
pol,20260921,projective_independent,1.4182342820956984,1.7349940502429877
pol,20260921,projective_shuffled,1.3765553818446383,1.7271931323136571
pol,20260922,projective_full,3.657386265062872,1.9086262856645215
pol,20260922,projective_independent,3.761244134552818,1.912883930079464
pol,20260922,projective_shuffled,3.6784982177832872,1.911216980697381
pol,20260923,projective_full,1.5074823041209773,1.6315782935547312
pol,20260923,projective_independent,1.554056278990877,1.6386709964062924
pol,20260923,projective_shuffled,1.504536770691851,1.6319085516051903
puma32h,20260921,projective_full,2.475459113170051,1.6870059965323871
puma32h,20260921,projective_independent,2.5743429228490067,1.6951322066963843
puma32h,20260921,projective_shuffled,2.500342863690803,1.6908955279017897
puma32h,20260922,projective_full,1.8669496310433025,1.6393387993845288
puma32h,20260922,projective_independent,1.878067281608817,1.6322039228230096
puma32h,20260922,projective_shuffled,1.8580315115454036,1.6377984985548224
puma32h,20260923,projective_full,3.0520181074873878,1.5959400352448487
puma32h,20260923,projective_independent,3.1309063057218607,1.5978178736398716
puma32h,20260923,projective_shuffled,3.0521380396906896,1.5978079905579536
cpu_act,20260921,projective_full,2.5129247918603057,1.63894722215964
cpu_act,20260921,projective_independent,2.5376574759204806,1.6354035923100585
cpu_act,20260921,projective_shuffled,2.5206311691482246,1.6423202846707388
cpu_act,20260922,projective_full,2.4801829535314504,1.595565927542825
cpu_act,20260922,projective_independent,2.5814453176108243,1.602992551947679
cpu_act,20260922,projective_shuffled,2.4864743037353247,1.5954860166624345
cpu_act,20260923,projective_full,2.139166370319752,1.594165461723303
cpu_act,20260923,projective_independent,2.2107130668882684,1.6000135957818125
cpu_act,20260923,projective_shuffled,2.153575598060032,1.5978125398659686
elevators,20260921,projective_full,1.1824663057685894,1.3871309571816837
elevators,20260921,projective_independent,1.2144044616139609,1.3908269980484993
elevators,20260921,projective_shuffled,1.1901770786080377,1.3903848150279052
elevators,20260922,projective_full,2.295902034846056,1.5251790813870982
elevators,20260922,projective_independent,2.3594513037497054,1.5298283194742504
elevators,20260922,projective_shuffled,2.342767890333667,1.5344462632331828
elevators,20260923,projective_full,1.9582851088098792,1.5172793163691627
elevators,20260923,projective_independent,2.0503078800879964,1.5298826817277729
elevators,20260923,projective_shuffled,1.9689214146196303,1.5191060304108457
bike_sharing,20260921,projective_full,2.7992131992607603,1.6741880484594305
bike_sharing,20260921,projective_independent,2.905348409238233,1.6820745424902626
bike_sharing,20260921,projective_shuffled,2.807347351804751,1.6766922127804955
bike_sharing,20260922,projective_full,1.4337882730194198,1.549278486028245
bike_sharing,20260922,projective_independent,1.459586951772351,1.5494426519603073
bike_sharing,20260922,projective_shuffled,1.4381415901440089,1.550563030994868
bike_sharing,20260923,projective_full,1.8085428494637623,1.5009840489506272
bike_sharing,20260923,projective_independent,1.8556408261941943,1.5028405909138554
bike_sharing,20260923,projective_shuffled,1.809201670039694,1.5020265001944686
sulfur,20260921,projective_full,8.631441001588561,1.7983922307971216
sulfur,20260921,projective_independent,8.694108031815764,1.7898060452161624
sulfur,20260921,projective_shuffled,8.638207723207714,1.7989716114813732
sulfur,20260922,projective_full,1.845686007548728,1.2011155056104663
sulfur,20260922,projective_independent,1.898051894006373,1.2086404515375164
