experiment,dataset,model,seed,representation,regularizer,epoch,train_loss,val_loss
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,1,0.401810321966026,0.3202498140240607
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,2,0.30922543804827135,0.31151821650321526
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,3,0.29828870779759176,0.3109274573271704
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,4,0.29213952593487075,0.3082279506454609
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,5,0.2867152453640462,0.31304725400584676
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,6,0.2821553214762076,0.3167100536128765
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,7,0.2741239721857066,0.3278122737154389
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,8,0.26633007271576864,0.330741572113994
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,9,0.2611700797988976,0.3358868084907161
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,10,0.25373931752668843,0.33805239945269594
invariant_regularizer,adult,mlp,0,numeric_kappa_1_standard,standard,11,0.2470076395340575,0.3593355816655463
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,1,0.40181034818035377,0.32024984403217827
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,2,0.3092254304329359,0.3115182306158089
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,3,0.2982886237360043,0.3109274567638328
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,4,0.292139359202959,0.3082279973684341
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,5,0.2867149514413876,0.3130473935355805
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,6,0.2821548400991379,0.3167103711537652
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,7,0.27412326154310523,0.3278128887167714
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,8,0.266329190801344,0.33074219961483525
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,9,0.26116912524588864,0.3358878399348376
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,10,0.253738883306119,0.33805402736643086
invariant_regularizer,adult,mlp,0,numeric_kappa_1_no_first_wd,no_first_wd,11,0.24700598956911804,0.35933864407308164
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,1,0.40182172527184357,0.3202488506935181
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,2,0.3092376410375356,0.311517423629608
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,3,0.2983014932135692,0.310927187768285
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,4,0.29215377225044026,0.30822709768869644
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,5,0.28673070837590264,0.31304536061642313
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,6,0.2821727884196532,0.3167072802348641
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,7,0.2741444136498894,0.3278046852250231
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,8,0.2663511771534819,0.3307351932996811
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,9,0.261193147821567,0.335877241966314
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,10,0.25376339084686167,0.33804192553015094
invariant_regularizer,adult,mlp,0,numeric_kappa_1_invariant,invariant,11,0.24703353057622324,0.3593218684736842
