experiment,dataset,model,seed,representation,regularizer,epoch,train_loss,val_loss
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,1,0.6754895944595337,0.3560506999492645
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,2,0.34967806776364646,0.3166965842247009
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,3,0.3354200327396393,0.3123209774494171
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,4,0.33875289543469744,0.31056270003318787
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,5,0.3357160932223002,0.3118804693222046
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,6,0.3344983468850454,0.30996173620224
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,7,0.33104601192474364,0.3103492558002472
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,8,0.3328124577999115,0.31287920475006104
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,9,0.33165377815564473,0.31248337030410767
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,10,0.3324017842610677,0.31033065915107727
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,11,0.3306948881149292,0.3102421164512634
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,12,0.33166499956448875,0.3114675283432007
cyclic_geometry,synthetic-hour-of-day,mlp,0,centered_onehot,standard,13,0.33090217463175453,0.31153979897499084
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,1,0.68564572930336,0.3556402921676636
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,2,0.34650678650538125,0.31496772170066833
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,3,0.3339616892337799,0.3103989362716675
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,4,0.332651904741923,0.31068816781044006
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,5,0.3328228328227997,0.3114417791366577
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,6,0.3329145807425181,0.31102555990219116
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,7,0.33300840290387473,0.3166451156139374
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,8,0.3332071154117584,0.3116007149219513
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,9,0.3331987818876902,0.3135163486003876
cyclic_geometry,synthetic-hour-of-day,mlp,1,centered_onehot,standard,10,0.3323718152840932,0.31104543805122375
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,1,0.6995543354352315,0.3703747093677521
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,2,0.3503640432357788,0.31774500012397766
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,3,0.33614691932996116,0.3148212134838104
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,4,0.33567975982030235,0.312234491109848
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,5,0.33748618451754253,0.31098851561546326
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,6,0.3340920751889547,0.3123985528945923
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,7,0.33432893387476603,0.31091228127479553
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,8,0.3327890011469523,0.3117564916610718
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,9,0.33160614569981894,0.3116905987262726
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,10,0.33272156937917075,0.3116205632686615
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,11,0.3328988423347473,0.31220006942749023
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,12,0.33452622254689535,0.3100610375404358
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,13,0.3350293510754903,0.3117738664150238
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,14,0.33031335496902464,0.31146004796028137
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,15,0.3320288685162862,0.3110852539539337
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,16,0.33035286752382914,0.3105906844139099
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,17,0.3303210413455963,0.31194359064102173
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,18,0.3304926580588023,0.31016936898231506
cyclic_geometry,synthetic-hour-of-day,mlp,2,centered_onehot,standard,19,0.33098719382286074,0.31305429339408875
cyclic_geometry,synthetic-hour-of-day,mlp,3,centered_onehot,standard,1,0.6856948587894439,0.36633169651031494
cyclic_geometry,synthetic-hour-of-day,mlp,3,centered_onehot,standard,2,0.3493158391316732,0.3159745931625366
