dataset,column,level,count,probability,gamma,lr_or_activation_multiplier,analytical_update_count_per_epoch
adult,0,Federal-gov,771,0.029599201474201475,0.0,1.0,771
adult,0,Local-gov,1672,0.06418918918918919,0.0,1.0,1672
adult,0,Never-worked,5,0.00019195331695331694,0.0,1.0,5
adult,0,Private,18151,0.6968289312039312,0.0,1.0,18151
adult,0,Self-emp-inc,891,0.03420608108108108,0.0,1.0,891
adult,0,Self-emp-not-inc,2037,0.07820178132678132,0.0,1.0,2037
adult,0,State-gov,1036,0.03977272727272727,0.0,1.0,1036
adult,0,Without-pay,12,0.0004606879606879607,0.0,1.0,12
adult,0,nan,1473,0.056549447174447175,0.0,1.0,1473
adult,1,10th,758,0.02910012285012285,0.0,1.0,758
adult,1,11th,950,0.03647113022113022,0.0,1.0,950
adult,1,12th,344,0.013206388206388206,0.0,1.0,344
adult,1,1st-4th,141,0.005413083538083538,0.0,1.0,141
adult,1,5th-6th,254,0.009751228501228502,0.0,1.0,254
adult,1,7th-8th,504,0.01934889434889435,0.0,1.0,504
adult,1,9th,408,0.015663390663390665,0.0,1.0,408
adult,1,Assoc-acdm,845,0.032440110565110564,0.0,1.0,845
adult,1,Assoc-voc,1132,0.04345823095823096,0.0,1.0,1132
adult,1,Bachelors,4242,0.1628531941031941,0.0,1.0,4242
adult,1,Doctorate,332,0.012745700245700245,0.0,1.0,332
adult,1,HS-grad,8398,0.32240479115479115,0.0,1.0,8398
adult,1,Masters,1389,0.05332463144963145,0.0,1.0,1389
adult,1,Preschool,38,0.0014588452088452088,0.0,1.0,38
adult,1,Prof-school,473,0.018158783783783782,0.0,1.0,473
adult,1,Some-college,5840,0.2242014742014742,0.0,1.0,5840
adult,2,Divorced,3545,0.1360949017199017,0.0,1.0,3545
adult,2,Married-AF-spouse,16,0.0006142506142506142,0.0,1.0,16
adult,2,Married-civ-spouse,11998,0.46061117936117935,0.0,1.0,11998
adult,2,Married-spouse-absent,337,0.012937653562653563,0.0,1.0,337
adult,2,Never-married,8548,0.3281633906633907,0.0,1.0,8548
adult,2,Separated,815,0.03128839066339066,0.0,1.0,815
adult,2,Widowed,789,0.030290233415233417,0.0,1.0,789
adult,3,Adm-clerical,3009,0.11551750614250614,0.0,1.0,3009
adult,3,Armed-Forces,7,0.00026873464373464373,0.0,1.0,7
adult,3,Craft-repair,3268,0.12546068796068796,0.0,1.0,3268
adult,3,Exec-managerial,3213,0.12334920147420148,0.0,1.0,3213
adult,3,Farming-fishing,810,0.031096437346437345,0.0,1.0,810
adult,3,Handlers-cleaners,1102,0.04230651105651106,0.0,1.0,1102
adult,3,Machine-op-inspct,1625,0.06238482800982801,0.0,1.0,1625
adult,3,Other-service,2611,0.10023802211302212,0.0,1.0,2611
adult,3,Priv-house-serv,113,0.0043381449631449635,0.0,1.0,113
adult,3,Prof-specialty,3300,0.1266891891891892,0.0,1.0,3300
adult,3,Protective-serv,520,0.01996314496314496,0.0,1.0,520
adult,3,Sales,2969,0.11398187960687961,0.0,1.0,2969
adult,3,Tech-support,746,0.02863943488943489,0.0,1.0,746
adult,3,Transport-moving,1277,0.04902487714987715,0.0,1.0,1277
adult,3,nan,1478,0.056741400491400494,0.0,1.0,1478
adult,4,Husband,10581,0.4062116093366093,0.0,1.0,10581
adult,4,Not-in-family,6640,0.2549140049140049,0.0,1.0,6640
adult,4,Other-relative,787,0.030213452088452088,0.0,1.0,787
adult,4,Own-child,4049,0.15544379606879608,0.0,1.0,4049
adult,4,Unmarried,2745,0.10538237100737101,0.0,1.0,2745
adult,4,Wife,1246,0.04783476658476658,0.0,1.0,1246
adult,5,Amer-Indian-Eskimo,254,0.009751228501228502,0.0,1.0,254
adult,5,Asian-Pac-Islander,835,0.03205620393120393,0.0,1.0,835
adult,5,Black,2512,0.09643734643734644,0.0,1.0,2512
adult,5,Other,217,0.008330773955773956,0.0,1.0,217
adult,5,White,22230,0.8534244471744472,0.0,1.0,22230
adult,6,Cambodia,13,0.0004990786240786241,0.0,1.0,13
adult,6,Canada,95,0.003647113022113022,0.0,1.0,95
adult,6,China,58,0.002226658476658477,0.0,1.0,58
adult,6,Columbia,48,0.0018427518427518428,0.0,1.0,48
adult,6,Cuba,79,0.003032862407862408,0.0,1.0,79
adult,6,Dominican-Republic,50,0.0019195331695331696,0.0,1.0,50
adult,6,Ecuador,24,0.0009213759213759214,0.0,1.0,24
adult,6,El-Salvador,77,0.0029560810810810812,0.0,1.0,77
adult,6,England,74,0.002840909090909091,0.0,1.0,74
adult,6,France,20,0.0007678132678132678,0.0,1.0,20
adult,6,Germany,113,0.0043381449631449635,0.0,1.0,113
adult,6,Greece,26,0.0009981572481572482,0.0,1.0,26
adult,6,Guatemala,53,0.0020347051597051596,0.0,1.0,53
adult,6,Haiti,33,0.001266891891891892,0.0,1.0,33
adult,6,Holand-Netherlands,1,3.839066339066339e-05,0.0,1.0,1
adult,6,Honduras,12,0.0004606879606879607,0.0,1.0,12
adult,6,Hong,16,0.0006142506142506142,0.0,1.0,16
adult,6,Hungary,10,0.0003839066339066339,0.0,1.0,10
adult,6,India,83,0.0031864250614250613,0.0,1.0,83
adult,6,Iran,33,0.001266891891891892,0.0,1.0,33
adult,6,Ireland,21,0.0008062039312039312,0.0,1.0,21
adult,6,Italy,58,0.002226658476658477,0.0,1.0,58
adult,6,Jamaica,63,0.0024186117936117937,0.0,1.0,63
adult,6,Japan,50,0.0019195331695331696,0.0,1.0,50
adult,6,Laos,16,0.0006142506142506142,0.0,1.0,16
adult,6,Mexico,493,0.018926597051597053,0.0,1.0,493
adult,6,Nicaragua,28,0.001074938574938575,0.0,1.0,28
adult,6,Outlying-US(Guam-USVI-etc),9,0.0003455159705159705,0.0,1.0,9
adult,6,Peru,22,0.0008445945945945946,0.0,1.0,22
adult,6,Philippines,155,0.005950552825552825,0.0,1.0,155
adult,6,Poland,46,0.001765970515970516,0.0,1.0,46
adult,6,Portugal,32,0.0012285012285012285,0.0,1.0,32
adult,6,Puerto-Rico,97,0.003723894348894349,0.0,1.0,97
adult,6,Scotland,8,0.0003071253071253071,0.0,1.0,8
adult,6,South,62,0.0023802211302211304,0.0,1.0,62
adult,6,Taiwan,41,0.001574017199017199,0.0,1.0,41
adult,6,Thailand,15,0.0005758599508599509,0.0,1.0,15
adult,6,Trinadad&Tobago,16,0.0006142506142506142,0.0,1.0,16
adult,6,United-States,23363,0.8969210687960688,0.0,1.0,23363
adult,6,Vietnam,59,0.00226504914004914,0.0,1.0,59
adult,6,Yugoslavia,13,0.0004990786240786241,0.0,1.0,13
adult,6,nan,463,0.01777487714987715,0.0,1.0,463
adult,0,Federal-gov,771,0.029599201474201475,0.25,0.9564072010494622,771
adult,0,Local-gov,1672,0.06418918918918919,0.25,0.8682006377003724,1672
adult,0,Never-worked,5,0.00019195331695331694,0.25,1.7953676026629795,5
adult,0,Private,18151,0.6968289312039312,0.25,0.6444096940736068,18151
adult,0,Self-emp-inc,891,0.03420608108108108,0.25,0.9392688544039622,891
adult,0,Self-emp-not-inc,2037,0.07820178132678132,0.25,0.8470338297700323,2037
adult,0,State-gov,1036,0.03977272727272727,0.25,0.9217319998847897,1036
adult,0,Without-pay,12,0.0004606879606879607,0.25,1.6092628248453649,12
adult,0,nan,1473,0.056549447174447175,0.25,0.8820623627046509,1473
adult,1,10th,758,0.02910012285012285,0.25,0.9893311427806813,758
adult,1,11th,950,0.03647113022113022,0.25,0.9618002382702546,950
adult,1,12th,344,0.013206388206388206,0.25,1.0920198321831993,344
adult,1,1st-4th,141,0.005413083538083538,0.25,1.2208096172855094,141
adult,1,5th-6th,254,0.009751228501228502,0.25,1.134216906164464,254
adult,1,7th-8th,504,0.01934889434889435,0.25,1.0411097506362728,504
adult,1,9th,408,0.015663390663390665,0.25,1.068975645064405,408
adult,1,Assoc-acdm,845,0.032440110565110564,0.25,0.9759852232950071,845
adult,1,Assoc-voc,1132,0.04345823095823096,0.25,0.9409564587926236,1132
adult,1,Bachelors,4242,0.1628531941031941,0.25,0.7977264608210196,4242
adult,1,Doctorate,332,0.012745700245700245,0.25,1.096877354864538,332
adult,1,HS-grad,8398,0.32240479115479115,0.25,0.7324506136616918,8398
adult,1,Masters,1389,0.05332463144963145,0.25,0.9171968410067486,1389
adult,1,Preschool,38,0.0014588452088452088,0.25,1.4382268140757049,38
adult,1,Prof-school,473,0.018158783783783782,0.25,1.0494039350867803,473
adult,1,Some-college,5840,0.2242014742014742,0.25,0.766476290116346,5840
adult,2,Divorced,3545,0.1360949017199017,0.25,0.8572232392973208,3545
adult,2,Married-AF-spouse,16,0.0006142506142506142,0.25,1.6837630252109141,16
adult,2,Married-civ-spouse,11998,0.46061117936117935,0.25,0.7360500710864027,11998
adult,2,Married-spouse-absent,337,0.012937653562653563,0.25,1.150382399645109,337
adult,2,Never-married,8548,0.3281633906633907,0.25,0.7679145598426242,8548
adult,2,Separated,815,0.03128839066339066,0.25,1.0301518933816902,815
adult,2,Widowed,789,0.030290233415233417,0.25,1.0343352860767294,789
adult,3,Adm-clerical,3009,0.11551750614250614,0.25,0.868552302634254,3009
adult,3,Armed-Forces,7,0.00026873464373464373,0.25,1.8533672923439908,7
adult,3,Craft-repair,3268,0.12546068796068796,0.25,0.8596338203223516,3268
adult,3,Exec-managerial,3213,0.12334920147420148,0.25,0.8614595874576284,3213
adult,3,Farming-fishing,810,0.031096437346437345,0.25,1.023382820244943,810
adult,3,Handlers-cleaners,1102,0.04230651105651106,0.25,0.9847501375524808,1102
adult,3,Machine-op-inspct,1625,0.06238482800982801,0.25,0.9380847562524868,1625
adult,3,Other-service,2611,0.10023802211302212,0.25,0.8840928748445526,2611
adult,3,Priv-house-serv,113,0.0043381449631449635,0.25,1.309073236670111,113
adult,3,Prof-specialty,3300,0.1266891891891892,0.25,0.8585873924320353,3300
adult,3,Protective-serv,520,0.01996314496314496,0.25,1.081678833679512,520
adult,3,Sales,2969,0.11398187960687961,0.25,0.8700064547746242,2969
adult,3,Tech-support,746,0.02863943488943489,0.25,1.033966328497399,746
adult,3,Transport-moving,1277,0.04902487714987715,0.25,0.9667738333459115,1277
adult,3,nan,1478,0.056741400491400494,0.25,0.949269320706493,1478
adult,4,Husband,10581,0.4062116093366093,0.25,0.8551043439379381,10581
adult,4,Not-in-family,6640,0.2549140049140049,0.25,0.9063875720037478,6640
