experiment,dataset,seed,representation,epoch,train_loss,val_loss
residual_te,adult,0,plain_contrast,1,0.42320492643981955,0.33652401198839094
residual_te,adult,0,plain_contrast,2,0.3331199571746573,0.3287870455936474
residual_te,adult,0,plain_contrast,3,0.32793150926397824,0.3273195851802445
residual_te,adult,0,plain_contrast,4,0.3234371375979018,0.3253858786619176
residual_te,adult,0,plain_contrast,5,0.32036140656295514,0.3239097794601672
residual_te,adult,0,plain_contrast,6,0.3193916669641724,0.32100577163520905
residual_te,adult,0,plain_contrast,7,0.316449390948551,0.31896027921471937
residual_te,adult,0,plain_contrast,8,0.31086593309842986,0.3191031740706298
residual_te,adult,0,plain_contrast,9,0.3101316784172152,0.31752785388922816
residual_te,adult,0,plain_contrast,10,0.3059156496050317,0.31206988464145036
residual_te,adult,0,plain_contrast,11,0.30545967063095414,0.31166324491962416
residual_te,adult,0,plain_contrast,12,0.3039526304536721,0.31357254227536946
residual_te,adult,0,plain_contrast,13,0.30158210371870375,0.3091828441255673
residual_te,adult,0,plain_contrast,14,0.29895281820976766,0.3123473825326369
residual_te,adult,0,plain_contrast,15,0.30051335582569133,0.3148991485166613
residual_te,adult,0,plain_contrast,16,0.2990515492032728,0.31065334141274564
residual_te,adult,0,plain_contrast,17,0.29778971953239725,0.31093343874365087
residual_te,adult,0,plain_contrast,18,0.295315682119175,0.31062402499215863
residual_te,adult,0,plain_contrast,19,0.2967790986161853,0.30895570935731037
residual_te,adult,0,plain_contrast,20,0.29383244978707895,0.31081466293231397
residual_te,adult,0,plain_contrast,21,0.293931983393006,0.3088446876628935
residual_te,adult,0,plain_contrast,22,0.2925566075328527,0.3087365515175746
residual_te,adult,0,plain_contrast,23,0.29254750230095605,0.30840707003547274
residual_te,adult,0,plain_contrast,24,0.29145117041812774,0.31349679610964
residual_te,adult,0,plain_contrast,25,0.2911340267710955,0.3111644734624967
residual_te,adult,0,plain_contrast,26,0.2894013725422524,0.30952353902159296
residual_te,adult,0,plain_contrast,27,0.2900086863913759,0.3097338701733511
residual_te,adult,0,plain_contrast,28,0.2875509198379751,0.31154318183021407
residual_te,adult,0,plain_contrast,29,0.2873848143608037,0.3113841176927278
residual_te,adult,0,plain_contrast,30,0.2865081012834788,0.3154915812294417
residual_te,adult,1,plain_contrast,1,0.41294176697145224,0.33930366117442234
residual_te,adult,1,plain_contrast,2,0.33303464293772816,0.3291181684316625
residual_te,adult,1,plain_contrast,3,0.3271896196231795,0.32676381782250014
residual_te,adult,1,plain_contrast,4,0.32368627849609316,0.3316538287392774
residual_te,adult,1,plain_contrast,5,0.3210908579445588,0.3218930182630085
residual_te,adult,1,plain_contrast,6,0.3168550026797545,0.3214921971412382
residual_te,adult,1,plain_contrast,7,0.3139165562991721,0.3195807970510539
residual_te,adult,1,plain_contrast,8,0.3095875665069505,0.316157004241099
residual_te,adult,1,plain_contrast,9,0.3071098611015067,0.3135651830691479
residual_te,adult,1,plain_contrast,10,0.30490309043949887,0.3152736570107186
residual_te,adult,1,plain_contrast,11,0.3026398229950476,0.315671774528961
residual_te,adult,1,plain_contrast,12,0.3041377356802216,0.31111546040523097
residual_te,adult,1,plain_contrast,13,0.2995356869053196,0.31400225386843256
residual_te,adult,1,plain_contrast,14,0.2991237501254539,0.311662242355224
residual_te,adult,1,plain_contrast,15,0.2961293359353443,0.3107937760259637
residual_te,adult,1,plain_contrast,16,0.2967871010157049,0.31387714901562863
residual_te,adult,1,plain_contrast,17,0.29661458745342506,0.30974329044950566
residual_te,adult,1,plain_contrast,18,0.29517381116564795,0.3110039248807689
residual_te,adult,1,plain_contrast,19,0.29586746739521075,0.31026201313801915
residual_te,adult,1,plain_contrast,20,0.29269034739501354,0.311585732877594
residual_te,adult,1,plain_contrast,21,0.29184308113571467,0.3097535482619767
residual_te,adult,1,plain_contrast,22,0.29166999019920387,0.31153580611120724
residual_te,adult,1,plain_contrast,23,0.29091660718660095,0.3111428443378637
residual_te,adult,1,plain_contrast,24,0.2914526332215536,0.30993503486208274
residual_te,adult,2,plain_contrast,1,0.41140574524385043,0.33886482748149854
residual_te,adult,2,plain_contrast,2,0.3334606822204824,0.3302279565314516
residual_te,adult,2,plain_contrast,3,0.326818262256627,0.32673593204621054
residual_te,adult,2,plain_contrast,4,0.32415490397950064,0.32894615259520466
residual_te,adult,2,plain_contrast,5,0.3221488823468914,0.3286147890115013
residual_te,adult,2,plain_contrast,6,0.31839012440651,0.3210583659501037
residual_te,adult,2,plain_contrast,7,0.31443462595892774,0.3226903062327239
residual_te,adult,2,plain_contrast,8,0.3124176095393132,0.31931930066476516
residual_te,adult,2,plain_contrast,9,0.3087192514604667,0.31550428079643894
residual_te,adult,2,plain_contrast,10,0.30654401809929044,0.31625434609195197
residual_te,adult,2,plain_contrast,11,0.304501934485002,0.3130240118105445
residual_te,adult,2,plain_contrast,12,0.30285887292034797,0.30830204442095116
residual_te,adult,2,plain_contrast,13,0.29998670126647853,0.3114003193903489
residual_te,adult,2,plain_contrast,14,0.2982876090657799,0.3094998741129567
residual_te,adult,2,plain_contrast,15,0.29852840794978036,0.30887891165209985
residual_te,adult,2,plain_contrast,16,0.2973190674910674,0.31045529393009974
residual_te,adult,2,plain_contrast,17,0.2960077987695502,0.30811781147990097
residual_te,adult,2,plain_contrast,18,0.2974723535761493,0.31135744928104775
residual_te,adult,2,plain_contrast,19,0.2960113229124786,0.30817763426555644
residual_te,adult,2,plain_contrast,20,0.2933816362071682,0.30844385479525804
residual_te,adult,2,plain_contrast,21,0.29289932135282043,0.31089588641028837
residual_te,adult,2,plain_contrast,22,0.292782639549171,0.3111141245026791
residual_te,adult,2,plain_contrast,23,0.2922470430484275,0.31141460888957617
residual_te,adult,2,plain_contrast,24,0.2914210467871636,0.30946613341737056
residual_te,adult,3,plain_contrast,1,0.42255851633718616,0.3390753854147039
residual_te,adult,3,plain_contrast,2,0.3312186754745699,0.328443488333141
residual_te,adult,3,plain_contrast,3,0.3259867619384419,0.326754054757268
residual_te,adult,3,plain_contrast,4,0.32378944893726846,0.3247968832050854
residual_te,adult,3,plain_contrast,5,0.31988504433807635,0.32422954500905427
residual_te,adult,3,plain_contrast,6,0.3180653555387361,0.3211821131637912
residual_te,adult,3,plain_contrast,7,0.3148174108685674,0.31901428948500604
residual_te,adult,3,plain_contrast,8,0.3116869525183038,0.32313574553138535
residual_te,adult,3,plain_contrast,9,0.3086249337735282,0.313125903309821
residual_te,adult,3,plain_contrast,10,0.307092720958466,0.31138945046791217
residual_te,adult,3,plain_contrast,11,0.30469384862691234,0.31193197923103344
residual_te,adult,3,plain_contrast,12,0.30139980906350605,0.3098711739553783
residual_te,adult,3,plain_contrast,13,0.2998726473393546,0.30967157900658615
residual_te,adult,3,plain_contrast,14,0.2992311421717707,0.3074221930988287
residual_te,adult,3,plain_contrast,15,0.2982290811122782,0.3077740984465045
residual_te,adult,3,plain_contrast,16,0.2971058328263004,0.3061944585853963
residual_te,adult,3,plain_contrast,17,0.29756327570216956,0.30791854918300415
residual_te,adult,3,plain_contrast,18,0.2962712353365427,0.3091585859781312
residual_te,adult,3,plain_contrast,19,0.2950410849485702,0.3088946380412978
residual_te,adult,3,plain_contrast,20,0.29393897932343166,0.30891716922319973
residual_te,adult,3,plain_contrast,21,0.2947978476195136,0.31402480997585797
residual_te,adult,3,plain_contrast,22,0.29298124808351295,0.3096237086969716
residual_te,adult,3,plain_contrast,23,0.29208300864960113,0.3090745582171022
residual_te,adult,4,plain_contrast,1,0.41735904947545666,0.33770398427107196
residual_te,adult,4,plain_contrast,2,0.3323396896115099,0.3288110629811565
residual_te,adult,4,plain_contrast,3,0.3264743915646902,0.33246456893385834
residual_te,adult,4,plain_contrast,4,0.32405131066753473,0.3258687075533502
residual_te,adult,4,plain_contrast,5,0.31890183562728636,0.3231527574981507
residual_te,adult,4,plain_contrast,6,0.31662958875042213,0.3203945948026423
residual_te,adult,4,plain_contrast,7,0.31378792522873283,0.31667131442066765
residual_te,adult,4,plain_contrast,8,0.30884387752347847,0.3127173070297611
residual_te,adult,4,plain_contrast,9,0.30498763040184096,0.3098733483973267
residual_te,adult,4,plain_contrast,10,0.30424145720807577,0.3090829554014372
residual_te,adult,4,plain_contrast,11,0.3009501943131337,0.3087209803303223
residual_te,adult,4,plain_contrast,12,0.3018479975494179,0.312500018966142
residual_te,adult,4,plain_contrast,13,0.30051524289117104,0.3084585483544503
residual_te,adult,4,plain_contrast,14,0.2993935238231312,0.31062394475234145
residual_te,adult,4,plain_contrast,15,0.29800426081298903,0.30900925379037003
residual_te,adult,4,plain_contrast,16,0.29702523929188235,0.3088576346628708
residual_te,adult,4,plain_contrast,17,0.2950616745456724,0.30967419847823485
residual_te,adult,4,plain_contrast,18,0.29463587961267196,0.3094013290090656
residual_te,adult,4,plain_contrast,19,0.2929975382379583,0.30992660139070266
residual_te,adult,4,plain_contrast,20,0.2931919514547109,0.3097506363265201
residual_te,adult,0,standard_target_encoding,1,0.41819108242777703,0.337455778578668
residual_te,adult,0,standard_target_encoding,2,0.33453186094321546,0.329069698617072
residual_te,adult,0,standard_target_encoding,3,0.3284857019745454,0.3275782974577837
residual_te,adult,0,standard_target_encoding,4,0.3237859468348782,0.32539190078820446
residual_te,adult,0,standard_target_encoding,5,0.32099013378344826,0.32338351759093864
residual_te,adult,0,standard_target_encoding,6,0.3189520397994676,0.3205116821863923
residual_te,adult,0,standard_target_encoding,7,0.3155063960417483,0.3176266486405492
residual_te,adult,0,standard_target_encoding,8,0.3111212246248119,0.3184115103224148
residual_te,adult,0,standard_target_encoding,9,0.30837201823180665,0.3158669739260756
residual_te,adult,0,standard_target_encoding,10,0.306105407142522,0.31062848195603376
residual_te,adult,0,standard_target_encoding,11,0.30542527728643115,0.309254352488856
residual_te,adult,0,standard_target_encoding,12,0.30268692362513533,0.31245062957143066
residual_te,adult,0,standard_target_encoding,13,0.2991762053615045,0.3083389399020656
residual_te,adult,0,standard_target_encoding,14,0.2977054740052844,0.30906169504688896
residual_te,adult,0,standard_target_encoding,15,0.29864674791949974,0.31322602991383464
residual_te,adult,0,standard_target_encoding,16,0.29856746846979315,0.30872057203357495
residual_te,adult,0,standard_target_encoding,17,0.29776706800999747,0.31035112151186733
residual_te,adult,0,standard_target_encoding,18,0.2941502442890069,0.31107814522541344
residual_te,adult,0,standard_target_encoding,19,0.29593366135543336,0.3091089793272264
residual_te,adult,0,standard_target_encoding,20,0.2931187374000174,0.31005014184287455
residual_te,adult,1,standard_target_encoding,1,0.4128171541620531,0.33848203129947907
residual_te,adult,1,standard_target_encoding,2,0.3328860730884702,0.32927543916406615
residual_te,adult,1,standard_target_encoding,3,0.32795097830840353,0.3271868805168626
residual_te,adult,1,standard_target_encoding,4,0.32471274341060724,0.3318931045459852
residual_te,adult,1,standard_target_encoding,5,0.32265262536393335,0.32263035868533785
residual_te,adult,1,standard_target_encoding,6,0.31857880832815055,0.3218527450176199
residual_te,adult,1,standard_target_encoding,7,0.3153326471109648,0.31955830065359087
residual_te,adult,1,standard_target_encoding,8,0.3120443804111762,0.31723900789482595
residual_te,adult,1,standard_target_encoding,9,0.3084002852586329,0.3140882670839247
residual_te,adult,1,standard_target_encoding,10,0.306413076946132,0.3145603460899977
residual_te,adult,1,standard_target_encoding,11,0.30349756729690686,0.3144294867330445
residual_te,adult,1,standard_target_encoding,12,0.30583955768578175,0.31031578958520106
residual_te,adult,1,standard_target_encoding,13,0.3010654703551487,0.31249852932335587
residual_te,adult,1,standard_target_encoding,14,0.2992254135356781,0.3109096111240941
residual_te,adult,1,standard_target_encoding,15,0.29719861053131724,0.3097586803936504
residual_te,adult,1,standard_target_encoding,16,0.297031630828281,0.3125330402732738
residual_te,adult,1,standard_target_encoding,17,0.29611044953730536,0.3090391477107387
residual_te,adult,1,standard_target_encoding,18,0.2955982278693806,0.30954269362582537
residual_te,adult,1,standard_target_encoding,19,0.2959716106222654,0.30837356510774244
residual_te,adult,1,standard_target_encoding,20,0.29331110267732885,0.3098873700783081
residual_te,adult,1,standard_target_encoding,21,0.2925640060509159,0.30882643183763625
