experiment,dataset,model,seed,representation,regularizer,epoch,train_loss,val_loss
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,1,0.401810321966026,0.3202498140240607
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,2,0.30922543804827135,0.31151821650321526
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,3,0.29828870779759176,0.3109274573271704
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,4,0.29213952593487075,0.3082279506454609
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,5,0.2867152453640462,0.31304725400584676
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,6,0.2821553214762076,0.3167100536128765
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,7,0.2741239721857066,0.3278122737154389
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,8,0.26633007271576864,0.330741572113994
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,9,0.2611700797988976,0.3358868084907161
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,10,0.25373931752668843,0.33805239945269594
numeric_kappa,adult,mlp,0,numeric_kappa_1,standard,11,0.2470076395340575,0.3593355816655463
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,1,0.47679448508513356,0.40959818093658634
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,2,0.3846400916869283,0.3616153928183794
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,3,0.3478278309033602,0.3474167909939966
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,4,0.3277282219114702,0.3438157057373822
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,5,0.31704574435290306,0.3501721006970061
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,6,0.30932551732227315,0.33927858690482915
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,7,0.3047618960426246,0.3353288992548827
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,8,0.2965254469497784,0.3318661208971135
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,9,0.29412459653484146,0.3340438548297977
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,10,0.2904432367634129,0.3295887476377336
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,11,0.2834149949087851,0.3414534975355472
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,12,0.28266547982757156,0.3418600898737775
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,13,0.275509474318502,0.33980912585076545
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,14,0.27260368403404295,0.34773958089379176
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,15,0.2649518072019338,0.3540603411132719
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,16,0.26426150710196106,0.36636466168223747
numeric_kappa,adult,mlp,0,numeric_kappa_1000,standard,17,0.25651550878763785,0.354701065839075
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,1,0.39489900824185964,0.3179668023099748
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,2,0.3070539140877033,0.30864561463896395
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,3,0.29866926251231013,0.30965098610550196
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,4,0.2922813586286596,0.3126507879540204
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,5,0.2877092121274231,0.3089807079148667
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,6,0.2816505677430577,0.31193504894851315
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,7,0.274779880808378,0.3205307376141821
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,8,0.2680935000758206,0.32633413125762306
numeric_kappa,adult,mlp,1,numeric_kappa_1,standard,9,0.26030530408940095,0.3338799500534867
numeric_kappa,adult,mlp,2,numeric_kappa_1,standard,1,0.39771672358384,0.3217283228026143
numeric_kappa,adult,mlp,2,numeric_kappa_1,standard,2,0.3084710140778919,0.3128505730490351
