experiment,intervention_class,dataset,task,model,optimizer,weight_decay,seed,representation,split_fingerprint,regularizer,rank,effective_rank,sigma_max,sigma_min_nonzero,condition_number,log_condition_number,trace_cov,logdet_nonzero_cov,max_variance,min_nonzero_variance,target_kappa,realized_block_kappa_mean,realized_block_kappa_max,block_ranks,transform_seed,global_scale_control,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds,categorical_cardinalities,categorical_entropy_mean,ordinal_columns,ordinal_block_condition_mean,family,canonicalization,selected_columns,cross_gram_before,cross_gram_after,joint_reconstruction_error,phase,synthetic_control,nested_outer_folds,nested_inner_folds,smoothing,gamma,clip_min,clip_max,global_rms_matched,utility
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,numeric_kappa_1,cf26f38091e76190,standard,183,97.7588959135236,2.296440155337782,0.0062466251379443,367.62893636571073,2.56540968772323,111.8859247851763,-434.5359395965213,4.020346722999055,0.0,1.0,1.0000000000000009,1.000000000000001,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,4,0.2821241553806791,0.3082279506454609,0.3085973697660052,0.8522954091816367,0.8578097168478594,0.0495717637240886,10.631722450256348,0.0240102503448724,2.5193363898433745,,,,,,,,,,,,,,,,,,,,0.8578097168478594
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,numeric_kappa_1000,cf26f38091e76190,standard,183,18.83458611405777,32.64847275641087,0.003572576581666,9138.634822821808,3.9608813233927447,10575.500455981688,-424.72345209685614,924.8439964137588,0.0,1000.0,999.9999999999948,1000.000000000014,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,10,0.2649121086774306,0.3295887476377336,0.3287470131997884,0.8426224474128666,0.8468153061851238,0.2915830314159393,17.22814178466797,0.0241190064698457,3.7612995100207622,,,,,,,,,,,,,,,,,,,,0.8468153061851238
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,1,numeric_kappa_1,cf26f38091e76190,standard,183,97.7588959135236,2.296440155337782,0.0062466251379443,367.62893636571073,2.56540968772323,111.8859247851763,-434.5359395965213,4.020346722999055,0.0,1.0,1.0000000000000009,1.000000000000001,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,2,0.2946484323544528,0.3086456146389639,0.3077574003326353,0.852141870105942,0.8581782445795713,0.0468360446393489,10.007991790771484,0.023991260677576,1.9277455490082505,,,,,,,,,,,,,,,,,,,,0.8581782445795713
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,2,numeric_kappa_1,cf26f38091e76190,standard,183,97.7588959135236,2.296440155337782,0.0062466251379443,367.62893636571073,2.56540968772323,111.8859247851763,-434.5359395965213,4.020346722999055,0.0,1.0,1.0000000000000009,1.000000000000001,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,4,0.2834055816219417,0.3081806530924096,0.3074401865581397,0.8504529402732995,0.8570726613844358,0.0604999102652072,10.598464012145996,0.02409178763628,3.130597242852673,,,,,,,,,,,,,,,,,,,,0.8570726613844358
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,3,numeric_kappa_1,cf26f38091e76190,standard,183,97.7588959135236,2.296440155337782,0.0062466251379443,367.62893636571073,2.56540968772323,111.8859247851763,-434.5359395965213,4.020346722999055,0.0,1.0,1.0000000000000009,1.000000000000001,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,4,0.2849558250608242,0.3087541104745986,0.3089994172197691,0.8516812528788577,0.8575640316933849,0.053311500698328,10.577585220336914,0.0239756926894187,2.35331963817589,,,,,,,,,,,,,,,,,,,,0.8575640316933849
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,4,numeric_kappa_1,cf26f38091e76190,standard,183,97.7588959135236,2.296440155337782,0.0062466251379443,367.62893636571073,2.56540968772323,111.8859247851763,-434.5359395965213,4.020346722999055,0.0,1.0,1.0000000000000009,1.000000000000001,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,4,0.2850770176249358,0.3088470118393287,0.3073520818475799,0.8507600184246891,0.8571340826730545,0.0631518363952636,10.70750904083252,0.0239984616637229,2.4147007029969245,,,,,,,,,,,,,,,,,,,,0.8571340826730545
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,numeric_kappa_3,cf26f38091e76190,standard,183,82.80952504713852,2.3357647513602906,0.0062466269999827,373.9241596091388,2.572783526256025,135.91983502041492,-434.2511679480977,4.020346722999055,0.0,3.0,3.0,3.000000000000002,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,4,0.2818396800722231,0.3115752942661716,0.3099817393852145,0.8522954091816367,0.8570112400958172,0.0498702451586723,10.643868446350098,0.024019131436944,2.0894260718487203,,,,,,,,,,,,,,,,,,,,0.8570112400958172
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,1,numeric_kappa_3,cf26f38091e76190,standard,183,82.80952504713852,2.3357647513602906,0.0062466269999827,373.9241596091388,2.572783526256025,135.91983502041492,-434.2511679480977,4.020346722999055,0.0,3.0,3.0,3.000000000000002,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,2,0.2942547688292106,0.3100693536955868,0.3084253633088724,0.8524489482573315,0.8578097168478594,0.047042217105627,10.013957023620604,0.0240002833306789,1.879748956067488,,,,,,,,,,,,,,,,,,,,0.8578097168478594
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,2,numeric_kappa_3,cf26f38091e76190,standard,183,82.80952504713852,2.3357647513602906,0.0062466269999827,373.9241596091388,2.572783526256025,135.91983502041492,-434.2511679480977,4.020346722999055,0.0,3.0,3.0,3.000000000000002,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,4,0.2832197596790377,0.3113492859220666,0.3084933043254002,0.8484569322892677,0.8559056569006818,0.0603231824934482,10.611356735229492,0.0240945164114236,2.842211660929024,,,,,,,,,,,,,,,,,,,,0.8559056569006818
numeric_kappa,A,adult,binclass,mlp,AdamW,0.0001,3,numeric_kappa_3,cf26f38091e76190,standard,183,82.80952504713852,2.3357647513602906,0.0062466269999827,373.9241596091388,2.572783526256025,135.91983502041492,-434.2511679480977,4.020346722999055,0.0,3.0,3.0,3.000000000000002,32;32;11;3;2;16,31000.0,geometric_mean_singular_value_1,196,182273,3,0.2886150721136268,0.3111312818174628,0.3098363754136671,0.8486104713649624,0.8603894109698421,0.0533725097775459,10.300929069519045,0.0239752605557441,2.40586598101072,,,,,,,,,,,,,,,,,,,,0.8603894109698421
