experiment,intervention_class,dataset,task,model,optimizer,weight_decay,seed,representation,split_fingerprint,regularizer,rank,effective_rank,sigma_max,sigma_min_nonzero,condition_number,log_condition_number,trace_cov,logdet_nonzero_cov,max_variance,min_nonzero_variance,family,canonicalization,selected_columns,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,0,ple_raw,cf26f38091e76190,standard,298,12.301216662381945,3.007328764885788,0.0033317427225211136,902.629349066352,2.9555094505339414,23.74369303479751,-2110.618930355632,4.020346722999055,0.0,ple,raw,3;4,302,209409,24,0.2599840067141435,0.274667388691255,0.27795123805862176,0.8707200982650084,0.8724894048277133,0.047903407365083694,17.750499725341797,0.02914470247924328,7.285074627958238
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,1,ple_raw,cf26f38091e76190,standard,298,12.301216662381945,3.007328764885788,0.0033317427225211136,902.629349066352,2.9555094505339414,23.74369303479751,-2110.618930355632,4.020346722999055,0.0,ple,raw,3;4,302,209409,19,0.2622520388754971,0.2749998748998499,0.27565916044578553,0.871641332719177,0.8741477796204165,0.04751644656062126,16.2913761138916,0.029402343556284904,4.899665423901752
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,2,ple_raw,cf26f38091e76190,standard,298,12.301216662381945,3.007328764885788,0.0033317427225211136,902.629349066352,2.9555094505339414,23.74369303479751,-2110.618930355632,4.020346722999055,0.0,ple,raw,3;4,302,209409,26,0.25952376618548,0.2753898343187243,0.2798672714853922,0.8725625671733456,0.872366562250476,0.06863255053758621,18.25026512145996,0.02975054830312729,5.735621731961146
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,3,ple_raw,cf26f38091e76190,standard,298,12.301216662381945,3.007328764885788,0.0033317427225211136,902.629349066352,2.9555094505339414,23.74369303479751,-2110.618930355632,4.020346722999055,0.0,ple,raw,3;4,302,209409,23,0.2610892119834229,0.27432394134510957,0.2776805465835612,0.873637340703209,0.8705853448805356,0.05322832614183426,17.129913330078125,0.02874319814145565,5.56138671701774
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,4,ple_raw,cf26f38091e76190,standard,298,12.301216662381945,3.007328764885788,0.0033317427225211136,902.629349066352,2.9555094505339414,23.74369303479751,-2110.618930355632,4.020346722999055,0.0,ple,raw,3;4,302,209409,33,0.25247412346879294,0.27567048949988865,0.2781743036048125,0.872255489021956,0.8734107241569928,0.05991169810295105,20.015487670898438,0.02887781336903572,7.679597652051598
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,0,identity_raw,cf26f38091e76190,standard,298,15.377684074676623,2.05421980765476,0.005729124457973651,358.5573716758324,2.5545586557046343,16.136491882452443,-2100.5596603614217,4.020346722999055,0.0,identity,raw,3;4,302,209409,13,0.26292890510442796,0.27359117641254915,0.27374807776778365,0.8734838016275142,0.8749462563724587,0.04946114867925644,17.509994506835938,0.029781535267829895,3.644362164894119
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,1,identity_raw,cf26f38091e76190,standard,298,15.377684074676623,2.05421980765476,0.005729124457973651,358.5573716758324,2.5545586557046343,16.136491882452443,-2100.5596603614217,4.020346722999055,0.0,identity,raw,3;4,302,209409,21,0.25916812392949684,0.27452208517077414,0.2733846297759954,0.8699524028865346,0.8762975247220687,0.047847531735897064,19.182273864746094,0.029801633208990097,4.963615179993212
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,2,identity_raw,cf26f38091e76190,standard,298,15.377684074676623,2.05421980765476,0.005729124457973651,358.5573716758324,2.5545586557046343,16.136491882452443,-2100.5596603614217,4.020346722999055,0.0,identity,raw,3;4,302,209409,10,0.26542412915401964,0.27582183264475635,0.2740241127223022,0.8710271764163979,0.8745163073521283,0.07014933973550797,16.47748374938965,0.02995639480650425,3.1164922220632434
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,3,identity_raw,cf26f38091e76190,standard,298,15.377684074676623,2.05421980765476,0.005729124457973651,358.5573716758324,2.5545586557046343,16.136491882452443,-2100.5596603614217,4.020346722999055,0.0,identity,raw,3;4,302,209409,13,0.26391976787247473,0.27389497183829936,0.2744740901933935,0.8731767234761246,0.8740249370431792,0.054192882031202316,17.363311767578125,0.02971702255308628,3.7247960409149528
ple_identity_whitening,A,adult,binclass,mlp,AdamW,0.0001,4,identity_raw,cf26f38091e76190,standard,298,15.377684074676623,2.05421980765476,0.005729124457973651,358.5573716758324,2.5545586557046343,16.136491882452443,-2100.5596603614217,4.020346722999055,0.0,identity,raw,3;4,302,209409,9,0.2651035844004568,0.27506390102085343,0.27346259526495115,0.8737908797789037,0.873717830600086,0.06053227558732033,16.395631790161133,0.029843667522072792,2.9885470380540937
