dataset,column,raw_dtype,semantic_type,ordinal_levels_order,cardinality,missing_rate,entropy,gini,min_frequency,median_frequency,max_frequency,categorical_covariance_condition,split_fingerprint
adult,0,float32,numerical,,73,0.0,3.9390344527217223,0.9786276635998784,1,339.0,725,nan,cf26f38091e76190
adult,1,float32,numerical,Preschool;1st-4th;5th-6th;7th-8th;9th;10th;11th;12th;HS-grad;Some-college;Assoc-voc;Assoc-acdm;Bachelors;Masters;Prof-school;Doctorate,18424,0.0,9.678947837988257,0.9999237934720026,1,1.0,11,nan,cf26f38091e76190
adult,2,float32,numerical,,16,0.0,2.0331479121604072,0.8098933906841423,38,631.0,8398,nan,cf26f38091e76190
adult,3,float32,numerical,,116,0.0,0.6052128818222735,0.16088347363061328,1,8.0,23856,nan,cf26f38091e76190
adult,4,float32,numerical,,88,0.0,0.3505476247965864,0.08968365527410371,1,5.0,24851,nan,cf26f38091e76190
adult,5,float32,numerical,,93,0.0,2.417698024616653,0.7638019210140871,1,29.0,12131,nan,cf26f38091e76190
adult,0,float32,binary,,2,0.0,0.633856266068602,0.44189049586776863,8584,13024.0,17464,nan,cf26f38091e76190
adult,0,<U26,nominal,,9,0.056549447174447175,1.142783466998406,0.4973675424249844,5,1036.0,18151,34.32179983194157,cf26f38091e76190
adult,1,<U26,ordinal,Preschool;1st-4th;5th-6th;7th-8th;9th;10th;11th;12th;HS-grad;Some-college;Assoc-voc;Assoc-acdm;Bachelors;Masters;Prof-school;Doctorate,16,0.0,2.0331479121604072,0.8098933906841423,38,631.0,8398,13.354867458000928,cf26f38091e76190
adult,2,<U26,nominal,,7,0.0,1.2692603619748908,0.659560086387482,16,815.0,11998,23.281660419508228,cf26f38091e76190
adult,3,<U26,nominal,,15,0.056741400491400494,2.4388861182960917,0.9031012581573086,7,1478.0,3300,20.940680442624203,cf26f38091e76190
adult,4,<U26,nominal,,6,0.0,1.4920023386191525,0.7315417431021316,787,3397.0,10581,3.112449755200325,cf26f38091e76190
adult,5,<U26,nominal,,5,0.0,0.5561395217286159,0.26117446271464806,217,835.0,22230,4.662267613938569,cf26f38091e76190
adult,6,<U26,nominal,,42,0.01777487714987715,0.649733793191596,0.19468160380250554,1,43.5,23363,50.56212890590839,cf26f38091e76190
black-friday,0,float32,numerical,,21,0.0,2.7504087847405265,0.9228665018,316,3495.0,13315,nan,9d7e9b404e7a45c6
black-friday,1,float32,numerical,0-17;18-25;26-35;36-45;46-50;51-55;55+,12,0.0,1.5627684128422483,0.6666496304,90,4123.0,54621,nan,9d7e9b404e7a45c6
black-friday,2,float32,numerical,,14,0.0,2.2158316371226334,0.8613100986,517,5460.5,26100,nan,9d7e9b404e7a45c6
black-friday,3,float32,numerical,0;1;2;3;4+,15,0.0,2.3456122660417686,0.884867371,369,5569.0,19528,nan,9d7e9b404e7a45c6
black-friday,0,float32,binary,,2,0.0,0.6741188323509948,0.4810926542,40277,50000.0,59723,nan,9d7e9b404e7a45c6
black-friday,0,<U5,nominal,,2,0.0,0.531389397820889,0.3471729102000001,22357,50000.0,77643,1.0,9d7e9b404e7a45c6
black-friday,1,<U5,ordinal,0-17;18-25;26-35;36-45;46-50;51-55;55+,7,0.0,1.6068020979859283,0.751198496,2923,8083.0,40085,3.146602418558334,9d7e9b404e7a45c6
black-friday,2,<U5,nominal,,3,0.0,1.0772172148806014,0.6526141494000001,24819,33604.0,41577,1.1651157838728061,9d7e9b404e7a45c6
black-friday,3,<U5,ordinal,0;1;2;3;4+,5,0.0,1.544350456574356,0.7707635218,13363,17724.0,34814,1.4303013320699918,9d7e9b404e7a45c6
california,0,float32,numerical,,9185,0.0,8.877037124988497,0.9997624280666592,1,1.0,35,nan,4183c89532fd31d5
california,1,float32,numerical,,52,0.0,3.7778080091941098,0.9741392654112591,3,248.5,818,nan,4183c89532fd31d5
california,2,float32,numerical,,12648,0.0,9.41868075017972,0.9999123268952663,1,1.0,17,nan,4183c89532fd31d5
california,3,float32,numerical,,10021,0.0,9.026239206946252,0.9996781422146481,1,1.0,177,nan,4183c89532fd31d5
california,4,float32,numerical,,3378,0.0,7.814765442861511,0.9995025782122815,1,3.0,20,nan,4183c89532fd31d5
california,5,float32,numerical,,12369,0.0,9.38294173374128,0.9999058848105621,1,1.0,24,nan,4183c89532fd31d5
california,6,float32,numerical,,831,0.0,5.946446934952299,0.9958739880317414,1,6.0,152,nan,4183c89532fd31d5
california,7,float32,numerical,,795,0.0,6.113080651012197,0.9970041841626723,1,9.0,106,nan,4183c89532fd31d5
churn,0,float32,numerical,,451,0.0,5.855946014371293,0.9964373046875,1,13.0,153,nan,9e1c19b3fdc18541
churn,1,float32,numerical,,67,0.0,3.68079826245989,0.96912021484375,1,48.0,316,nan,9e1c19b3fdc18541
churn,2,float32,numerical,,11,0.0,2.3620948148254923,0.9036119140625,251,641.0,703,nan,9e1c19b3fdc18541
churn,3,float32,numerical,,4130,0.0,6.021829448078744,0.8739851074218751,1,1.0,2271,nan,9e1c19b3fdc18541
churn,4,float32,numerical,,4,0.0,0.8324943859044105,0.531310595703125,38,1552.5,3257,nan,9e1c19b3fdc18541
churn,5,float32,numerical,,6399,0.0,8.763836660853837,0.999843701171875,1,1.0,2,nan,9e1c19b3fdc18541
churn,6,float32,numerical,,6399,0.0,8.763836660853837,0.999843701171875,1,1.0,2,nan,9e1c19b3fdc18541
churn,0,float32,binary,,2,0.0,0.6891479009853774,0.49600605468750003,2914,3200.0,3486,nan,9e1c19b3fdc18541
churn,1,float32,binary,,2,0.0,0.6072472737999507,0.41658940429687497,1893,3200.0,4507,nan,9e1c19b3fdc18541
churn,2,float32,binary,,2,0.0,0.6923217581150343,0.4991748046875,3070,3200.0,3330,nan,9e1c19b3fdc18541
churn,0,<U7,nominal,,3,0.0,1.0421857200609486,0.626777392578125,1610,1613.0,3177,1.2203371086368309,9e1c19b3fdc18541
diamond,0,float32,numerical,Fair;Good;Very Good;Premium;Ideal,264,0.0,4.51477185191047,0.9824150735671948,1,31.0,1687,nan,ae5eda1e4664e699
diamond,1,float32,numerical,J;I;H;G;F;E;D,174,0.0,4.005726331293818,0.9761650110566763,1,17.0,1411,nan,ae5eda1e4664e699
diamond,2,float32,numerical,I1;SI2;SI1;VS2;VS1;VVS2;VVS1;IF,116,0.0,2.301044574495227,0.870581400230765,1,6.5,6280,nan,ae5eda1e4664e699
diamond,3,float32,numerical,,533,0.0,5.898971775122187,0.9966547177393532,1,48.0,286,nan,ae5eda1e4664e699
diamond,4,float32,numerical,,531,0.0,5.894905590096618,0.9966509936459725,1,50.0,296,nan,ae5eda1e4664e699
diamond,5,float32,numerical,,351,0.0,5.40154189597988,0.9943549214100873,1,65.0,480,nan,ae5eda1e4664e699
diamond,0,<U9,ordinal,Fair;Good;Very Good;Premium;Ideal,5,0.0,1.375274720448761,0.7163483716025341,1044,7757.0,13766,3.0267874614717236,ae5eda1e4664e699
diamond,1,<U9,ordinal,J;I;H;G;F;E;D,7,0.0,1.8769629184463217,0.839583010260051,1815,5331.0,7136,1.8567971069375657,ae5eda1e4664e699
diamond,2,<U9,ordinal,I1;SI2;SI1;VS2;VS1;VVS2;VVS1;IF,8,0.0,1.845869350804695,0.8232860788931091,485,4228.5,8375,3.8750497122581886,ae5eda1e4664e699
higgs-small,0,float32,numerical,,11798,0.0,9.066894515813836,0.999861253862708,1,4.0,23,nan,854796e3f97e6f7e
higgs-small,1,float32,numerical,,4870,0.0,8.292172158017722,0.9997206520679849,1,13.0,37,nan,854796e3f97e6f7e
higgs-small,2,float32,numerical,,6284,0.0,8.694187494656724,0.9998247857626544,1,10.0,23,nan,854796e3f97e6f7e
higgs-small,3,float32,numerical,,60696,0.0,11.00105771577461,0.9999829902724687,1,1.0,5,nan,854796e3f97e6f7e
higgs-small,4,float32,numerical,,60488,0.0,10.996246452855317,0.9999828724368252,1,1.0,4,nan,854796e3f97e6f7e
higgs-small,5,float32,numerical,,17710,0.0,9.513604373115678,0.9999109510454076,1,3.0,18,nan,854796e3f97e6f7e
higgs-small,6,float32,numerical,,5464,0.0,8.253072411054614,0.999690060512745,1,9.0,48,nan,854796e3f97e6f7e
higgs-small,7,float32,numerical,,6282,0.0,8.662434391331189,0.9998142547099176,1,9.0,28,nan,854796e3f97e6f7e
higgs-small,8,float32,numerical,,3,0.0,0.9421033708969271,0.5802152774470158,6147,25734.0,30870,nan,854796e3f97e6f7e
higgs-small,9,float32,numerical,,14669,0.0,9.305382995332309,0.999890541607184,1,3.0,19,nan,854796e3f97e6f7e
higgs-small,10,float32,numerical,,5579,0.0,8.292823130910945,0.9997074798715115,1,9.0,42,nan,854796e3f97e6f7e
higgs-small,11,float32,numerical,,6283,0.0,8.69216611932063,0.9998240929703359,1,10.0,26,nan,854796e3f97e6f7e
higgs-small,12,float32,numerical,,3,0.0,0.9348125562741141,0.5762663383751414,5905,25429.0,31417,nan,854796e3f97e6f7e
higgs-small,13,float32,numerical,,11322,0.0,9.036258812440645,0.9998583059399683,1,5.0,27,nan,854796e3f97e6f7e
higgs-small,14,float32,numerical,,5764,0.0,8.370465324789688,0.9997323035751607,1,9.0,39,nan,854796e3f97e6f7e
higgs-small,15,float32,numerical,,6284,0.0,8.692107552285758,0.9998241371587022,1,10.0,23,nan,854796e3f97e6f7e
higgs-small,16,float32,numerical,,3,0.0,0.8823255568765445,0.5439562147778199,4669,22438.0,35644,nan,854796e3f97e6f7e
