experiment,intervention_class,dataset,task,model,optimizer,weight_decay,seed,representation,split_fingerprint,regularizer,rank,effective_rank,sigma_max,sigma_min_nonzero,condition_number,log_condition_number,trace_cov,logdet_nonzero_cov,max_variance,min_nonzero_variance,target_kappa,phase,synthetic_control,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,0,centered_onehot,synthetic-2026,standard,23,22.988469350620775,0.2114369421399893,0.19707303970428675,1.072886187056616,0.030553653974437527,0.9582897222222212,-73.10783986135712,0.044677588919081836,0.0,nan,nan,True,23,137985,6,0.32422003149986267,0.30996173620224,0.3258419632911682,0.6850242537768167,0.7023529674243605,0.009671906940639019,9.368045806884766,0.008353151381015778,1.2502751438878477
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,1,centered_onehot,synthetic-2026,standard,23,22.988469350620775,0.2114369421399893,0.19707303970428675,1.072886187056616,0.030553653974437527,0.9582897222222212,-73.10783986135712,0.044677588919081836,0.0,nan,nan,True,23,137985,3,0.325293630361557,0.3103989362716675,0.3271724283695221,0.6855071877857597,0.7037854149661484,0.009395691566169262,9.415245056152344,0.008284930139780045,0.7727339200209826
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,2,centered_onehot,synthetic-2026,standard,23,22.988469350620775,0.2114369421399893,0.19707303970428675,1.072886187056616,0.030553653974437527,0.9582897222222212,-73.10783986135712,0.044677588919081836,0.0,nan,nan,True,23,137985,12,0.32610881328582764,0.3100610375404358,0.32793301343917847,0.6851339681697368,0.7046029925411972,0.009156466461718082,9.438628196716309,0.008311256766319275,1.5388456040527672
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,3,centered_onehot,synthetic-2026,standard,23,22.988469350620775,0.2114369421399893,0.19707303970428675,1.072886187056616,0.030553653974437527,0.9582897222222212,-73.10783986135712,0.044677588919081836,0.0,nan,nan,True,23,137985,6,0.32442790269851685,0.3103889226913452,0.32611408829689026,0.6854961136725706,0.7026461747391295,0.008303153328597546,9.420331001281738,0.008284545503556728,1.0251047781202942
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,4,centered_onehot,synthetic-2026,standard,23,22.988469350620775,0.2114369421399893,0.19707303970428675,1.072886187056616,0.030553653974437527,0.9582897222222212,-73.10783986135712,0.044677588919081836,0.0,nan,nan,True,23,137985,8,0.32416602969169617,0.3103400766849518,0.32678744196891785,0.6854422098765838,0.7033711991297764,0.008738556876778603,9.40865707397461,0.00834121834486723,1.1104656339157373
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,0,full_fourier_phase_0,synthetic-2026,standard,23,22.988469350620775,0.21143694213999004,0.19707303970428644,1.0728861870566213,0.03055365397443968,0.958289722222223,-73.10783986135708,0.04210234995950342,0.0,nan,0,True,23,137985,11,0.3244829773902893,0.31037500500679016,0.32642289996147156,0.6854807859265009,0.7029787648272929,0.009553958661854267,9.211207389831543,0.008345424197614193,1.268817667849362
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,1,full_fourier_phase_0,synthetic-2026,standard,23,22.988469350620775,0.21143694213999004,0.19707303970428644,1.0728861870566213,0.03055365397443968,0.958289722222223,-73.10783986135708,0.04210234995950342,0.0,nan,0,True,23,137985,3,0.3252186179161072,0.3104972541332245,0.3270859718322754,0.6856157287627127,0.703692421750759,0.009363343939185143,9.304976463317871,0.008280642330646515,0.665436889976263
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,2,full_fourier_phase_0,synthetic-2026,standard,23,22.988469350620775,0.21143694213999004,0.19707303970428644,1.0728861870566213,0.03055365397443968,0.958289722222223,-73.10783986135708,0.04210234995950342,0.0,nan,0,True,23,137985,12,0.32664960622787476,0.31070584058761597,0.32789847254753113,0.6858460116462481,0.7045658832612389,0.009022380225360394,9.277473449707031,0.008310571312904358,1.4083019748795778
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,3,full_fourier_phase_0,synthetic-2026,standard,23,22.988469350620775,0.21143694213999004,0.19707303970428644,1.0728861870566213,0.03055365397443968,0.958289722222223,-73.10783986135708,0.04210234995950342,0.0,nan,0,True,23,137985,6,0.32492342591285706,0.31102678179740906,0.3266614079475403,0.6862001632528063,0.7032355229085852,0.008263111114501953,9.283164978027344,0.008276829496026039,0.9532790200319141
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,4,full_fourier_phase_0,synthetic-2026,standard,23,22.988469350620775,0.21143694213999004,0.19707303970428644,1.0728861870566213,0.03055365397443968,0.958289722222223,-73.10783986135708,0.04210234995950342,0.0,nan,0,True,23,137985,12,0.3242853283882141,0.3103879988193512,0.32698312401771545,0.6854950869335994,0.7035817539573657,0.00872492790222168,9.229887962341309,0.008335611782968044,1.4870486052241176
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,0,full_fourier_phase_1,synthetic-2026,standard,23,22.988469350620775,0.21143694213999006,0.19707303970428647,1.0728861870566213,0.03055365397443968,0.9582897222222224,-73.10783986135708,0.041952653554055586,0.0,nan,1,True,23,137985,11,0.3243682384490967,0.31048664450645447,0.3262510895729065,0.68560406794154,0.7027937317969872,0.009561472572386265,9.235525131225586,0.008347411639988422,1.2778200830798596
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,1,full_fourier_phase_1,synthetic-2026,standard,23,22.988469350620775,0.21143694213999006,0.19707303970428647,1.0728861870566213,0.03055365397443968,0.9582897222222224,-73.10783986135708,0.041952653554055586,0.0,nan,1,True,23,137985,3,0.3252900242805481,0.31030726432800293,0.32670021057128906,0.6854059806586008,0.7032773258524116,0.009377030655741692,9.317269325256348,0.008281850256025791,0.7559042479842901
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,2,full_fourier_phase_1,synthetic-2026,standard,23,22.988469350620775,0.21143694213999006,0.19707303970428647,1.0728861870566213,0.03055365397443968,0.9582897222222224,-73.10783986135708,0.041952653554055586,0.0,nan,1,True,23,137985,4,0.32595136761665344,0.3111446499824524,0.3285748064517975,0.6863301190711582,0.7052921544063508,0.009028151631355286,9.273723602294922,0.00830945186316967,0.7359864979516715
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,3,full_fourier_phase_1,synthetic-2026,standard,23,22.988469350620775,0.21143694213999006,0.19707303970428647,1.0728861870566213,0.03055365397443968,0.9582897222222224,-73.10783986135708,0.041952653554055586,0.0,nan,1,True,23,137985,6,0.32492515444755554,0.31103894114494324,0.3262774646282196,0.6862135841979295,0.7028221871341884,0.008203502744436264,9.310389518737793,0.008278634399175644,0.949325195979327
cyclic_geometry,A,synthetic-hour-of-day,regression,mlp,AdamW,0.0001,4,full_fourier_phase_1,synthetic-2026,standard,23,22.988469350620775,0.21143694213999006,0.19707303970428647,1.0728861870566213,0.03055365397443968,0.9582897222222224,-73.10783986135708,0.041952653554055586,0.0,nan,1,True,23,137985,8,0.324380099773407,0.3106251657009125,0.32714033126831055,0.6857569787097475,0.7037508725336181,0.00869529414921999,9.293914794921875,0.00833735428750515,1.0882406940218061
