stage,source,task,outer_state_split,inner_fold,base_predictor,geometry_metric,operator,operator_hyperparameters,sample_size_condition,seed,status
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,0,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_0,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_double,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,kernel_ridge,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,1,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,harmonic,frozen_geometry_only,full,task_split_1,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_1,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_3,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_5,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,knn_10,frozen_geometry_only,full,task_split_2,complete
retrospective,ACS,acs_occupation,2,row_oof_3fold,catboost,unweighted shortest path on frozen official-code prefix hierarchy,rbf_half,frozen_geometry_only,full,task_split_2,complete
