dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,1.0,0.001,0.7135135998934117,4.008201975607705e-07,0.3658967879600823
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,1.0,0.001,0.6735257783629861,3.9565503099516536e-07,0.40032431203871965
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,1.0,0.001,0.7135135813809558,3.968450229882734e-07,0.40032431203871965
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,1.0,0.001,0.6735258100519858,3.7784537583412095e-07,0.3429216630756855
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,1.0,0.001,0.7135136203183493,3.846731037703151e-07,0.3429216630756855
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.001,0.6735257872866235,2.9395864124156216e-07,0.404233569977805
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.001,0.7135136121387011,3.394228320389455e-07,0.404233569977805
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,0.5,0.0005,0.6612664392351504,0.0,0.9241076640319079
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,0.5,0.0005,0.7000235689945765,0.0,0.9241076640319079
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.0005,0.6612664363538027,3.6606109522909995e-07,0.9245883179828525
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.0005,0.7000235833675457,4.008201975607705e-07,0.9245883179828525
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.0005,0.6612664624276245,3.574059446879091e-07,0.9053273471072316
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.0005,0.7000235577747632,3.663782334171743e-07,0.9053273471072316
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.0005,0.6612664372168535,3.538846179779904e-07,0.9115007449872792
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.0005,0.7000235387518116,3.378622590277103e-07,0.9115007449872792
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.0005,0.6612664442186926,3.3572442651270603e-07,0.9230786240659654
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,0.5,0.0005,0.7000235796849618,3.486396074939305e-07,0.9230786240659654
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,0.5,0.0005,0.6612664528868828,3.3008159729382453e-07,0.9031326419208199
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,0.5,0.0005,0.7000235577120452,3.6493294875615004e-07,0.9031326419208199
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.0005,0.661266416989937,3.3572442651270603e-07,0.9104002881795168
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.0005,0.7000235415025934,3.5909364482226126e-07,0.9104002881795168
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.0005,0.6612664508739109,3.281790938552123e-07,0.9157141919713467
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.0005,0.7000235608893458,3.516581885604019e-07,0.9157141919713467
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,0.5,0.0005,0.661266452739966,2.9182073184092174e-07,0.9072193470783532
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,0.5,0.0005,0.7000235634637741,3.3471928598042615e-07,0.9072193470783532
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,0.5,0.0005,0.6734768096500057,0.0,0.545886583160609
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,0.5,0.0005,0.7130904165967489,0.0,0.545886583160609
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.0005,0.673393988383457,0.009828307852485747,0.5675198270473629
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.0005,0.7131235009908046,0.010477481271653998,0.5675198270473629
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.0005,0.6736172844793396,0.006223883185075384,0.5370965639594942
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.0005,0.7126257090649196,0.006611309078477326,0.5370965639594942
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.0005,0.6733900426061712,0.01372242105005924,0.5280368479434401
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.0005,0.712909692129805,0.01413452405185001,0.5280368479434401
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.0005,0.6733380239715914,0.013105769418979457,0.49423814099282026
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,0.5,0.0005,0.7127282309335604,0.014373828543386768,0.49423814099282026
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,0.5,0.0005,0.6736452757685637,0.008236648022579002,0.5525327741634101
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,0.5,0.0005,0.7131146088903779,0.00880485721446642,0.5525327741634101
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.0005,0.6735968795500172,0.012936349023380365,0.5740887199062854
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.0005,0.7130632605283052,0.013592242744412227,0.5740887199062854
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.0005,0.6732751473587686,0.011129876450193126,0.6052889029961079
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.0005,0.7128397893961128,0.011522190714495003,0.6052889029961079
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,0.5,0.0005,0.6733063960626272,0.0070172295308391025,0.5150295167695731
wine-quality-red,regression,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,0.5,0.0005,0.7129330207767285,0.007380003165386781,0.5150295167695731
