dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.002,78.65496325027661,85.36885469523955,0.3444260300602764
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.002,78.68669274955435,85.41743623965786,0.38729188311845064
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.002,78.51512305935219,85.32849479685791,0.30386137194000185
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.002,78.62223621418286,85.53003947137965,0.3163907171692699
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.002,78.6762667264447,85.41627684991188,0.3958102350588888
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.002,78.71638582335893,85.56955243245959,0.3164390891324729
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.002,78.55585278401608,85.41574810411754,0.37385648395866156
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.002,78.78812898719809,85.46468835023224,0.3929658099077642
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,rbf_reference,-1,True,2.0,0.004,74.09529473494072,81.50420448422386,0.30856538796797395
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.004,73.94301687418971,81.71197600969894,0.2377313720062375
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.004,74.18033806545772,81.68304421440708,0.28507275809533894
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.004,74.2351074838571,79.19261226620598,0.3002939571160823
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.004,73.6820084665861,78.96722236073946,0.35294181597419083
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.004,73.89388861471778,81.46789061945073,0.2970516229979694
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.004,73.93003417861098,81.61364800717021,0.2885186190251261
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.004,74.08098397334425,81.66082371176739,0.2993017421104014
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.004,74.0658315988779,81.68715315187005,0.33088329806923866
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,rbf_reference,-1,True,0.5,0.001,81.20372537869899,89.60947415074466,0.5719913661014289
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.001,81.20696773747565,89.59776010071467,0.5570066929794848
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.001,81.22007453439285,89.57609527204114,0.5445348538924009
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.001,81.18345826924254,89.57115078546859,0.5605416260659695
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.001,81.20141812107008,89.62484337600729,0.49838561401702464
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.001,81.20363287764548,89.62049331982752,0.504790250910446
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.001,81.16424562857041,89.65203866009323,0.5478234679903835
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m6,6,False,0.5,0.001,81.18314011387623,89.62965542180643,0.5913580290507525
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m7,7,False,0.5,0.001,81.21306717180276,89.56928616110416,0.6135416058823466
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,rbf_reference,-1,True,1.0,0.002,77.87717643419501,81.4179903271005,0.4948284348938614
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.002,77.11778088263256,78.85834509014234,0.538937299977988
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.002,77.86723974392307,81.4840980996617,0.5546063140500337
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.002,77.94041265283849,81.35532923015158,0.4915735109243542
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.002,77.78167477720389,81.27762338555225,0.4807062200270593
bike-sharing,regression,tabm_d,0,MatrixAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.002,77.89048889584721,81.26613194815823,0.5399805910419673
