dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,1.0,0.001,0.2760165760074066,1.8077296217476423e-07,0.6473671440035105
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,1.0,0.001,0.34448309520550613,1.8016615198450792e-07,0.6473671440035105
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,1.0,0.001,0.27601658810532975,2.1751557905983624e-07,0.7994454680010676
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,1.0,0.001,0.3444830671121727,1.851343086797342e-07,0.7994454680010676
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.001,0.2760165973530545,1.991366616997218e-07,0.6580175461713225
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.001,0.344483065509643,1.5805704313109483e-07,0.6580175461713225
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,0.28053976557838345,0.0,0.9149836890865117
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,0.3563135767981016,0.0,0.9149836890865117
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.002,0.28053976863531915,2.1879873980153662e-07,0.9875129931606352
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.002,0.3563135455077657,2.0422220002669538e-07,0.9875129931606352
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,0.28053981538877465,4.915937410968693e-07,0.7900047439616174
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,0.3563135640777003,4.834955494129222e-07,0.7900047439616174
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,0.2805398158048261,3.6463668827420904e-07,0.7636372989509255
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,0.3563135422959378,3.5608468685938587e-07,0.7636372989509255
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,0.2805396763248974,4.219245335843582e-07,0.7971083130687475
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,0.35631353637547536,4.268314581596666e-07,0.7971083130687475
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,0.28053975672226794,1.8201136285702666e-07,0.7720595439895988
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,0.3563135576632781,1.577957224551151e-07,0.7720595439895988
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.002,0.28053984201765286,4.3627732252728665e-07,0.8321638130582869
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,0.35631359087523945,4.2938496467829716e-07,0.8321638130582869
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,0.2805397665364622,1.432000658570624e-07,0.868030897108838
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,0.35631355319934344,1.2815591059676652e-07,0.868030897108838
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,0.28053977173308653,2.3923559442887446e-07,0.8410837079863995
phoneme,classification,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,0.3563135739261546,2.120527413007638e-07,0.8410837079863995
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,0.2755725901599134,0.0,0.4716144378762692
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,0.3568395256198181,0.0,0.4716144378762692
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.001,0.2760232312116505,0.040650550516617,0.844858133001253
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.001,0.3441566104916989,0.038783829813109585,0.844858133001253
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,1.0,0.001,0.2757451319685005,0.04062269792447969,0.7826890319120139
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,1.0,0.001,0.34414520295152073,0.03866835959759316,0.7826890319120139
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.001,0.2759589406651891,0.04072139791172534,0.7784399120137095
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.001,0.3442618578167852,0.03874447407749258,0.7784399120137095
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,1.0,0.001,0.27590751810204595,0.040859702761476366,0.8273153379559517
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,1.0,0.001,0.3438703893883477,0.039017184569551305,0.8273153379559517
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,0.27596099044286626,0.001953466023211028,0.489867681870237
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,0.356786316166781,0.0023963481502062216,0.489867681870237
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,1.0,0.001,0.27577387024553524,0.04050267199104139,0.740781650878489
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,1.0,0.001,0.34409368896239123,0.03863171078794127,0.740781650878489
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,0.2758561958566754,0.002353978774183407,0.522864431142807
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,0.356967404880295,0.0026648196244052525,0.522864431142807
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.001,0.2759815285453928,0.04052000141439503,0.7639938730280846
phoneme,classification,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.001,0.34428869009108043,0.038433119482092964,0.7639938730280846
