dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,rbf_reference,-1,True,1.0,0.001,0.46925222589493104,0.5052127940160488,0.25733883609063923
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.001,0.4692522221862556,0.5052127874344854,0.212424925994128
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.001,0.4692522258419096,0.5052127976719085,0.17004440305754542
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.001,0.4692522264480701,0.5052127853003603,0.2618929960299283
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.001,0.469252225013272,0.5052127965010577,0.38001607405021787
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.001,0.4692522303473609,0.5052127860573733,0.16009281389415264
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.001,0.46925222444364767,0.5052128003980315,0.22827674308791757
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.001,0.4692522245074615,0.5052127927447654,0.18894704314880073
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.001,0.469252227147988,0.5052127905397666,0.30224742786958814
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,rbf_reference,-1,True,2.0,0.002,0.47369569414121315,0.5095051043174376,0.15302454703487456
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.002,0.473695694933255,0.5095051054898562,0.22170689702033997
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.002,0.4736956879000752,0.5095050996315276,0.19064518110826612
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.002,0.4736956930800152,0.5095051035965404,0.21833721199072897
