dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.001,61350.205983996864,66525.03571126258,0.8601048849523067
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.001,61350.20643787858,66525.02953246707,0.8464645419735461
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.001,61350.206388815175,66525.03115785815,0.8058935909066349
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.001,61350.20687238754,66525.03604245165,0.8546673490200192
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.001,61350.21152934153,66525.03555655258,0.8882871640380472
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.001,61350.2005359035,66525.03259985113,0.8386233339551836
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.001,61350.20441216211,66525.03162566994,0.8819732081610709
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.001,61350.20600871958,66525.03218442482,0.8604765790514648
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,rbf_reference,-1,True,2.0,0.002,60736.797441388444,66139.69623286341,0.672488922951743
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.002,60736.79096003088,66139.69007530833,0.6775730820372701
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.002,60736.79178521947,66139.69214762244,0.7304475880227983
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.002,60736.78781331316,66139.68610729827,0.7459721090272069
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.002,60736.78369864854,66139.68290223587,0.6996375159360468
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.002,60736.79135013204,66139.69472481014,0.7472556421998888
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.002,60736.78513671386,66139.68440060843,0.6460091709159315
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.002,60736.79481872447,66139.69082346928,0.6653805368114263
california_housing,regression,controlled_mlp,1,BlockAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.002,60736.794528580765,66139.69591111338,0.698107877979055
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,rbf_reference,-1,True,0.5,0.0005,62480.418439163,64682.86107924594,1.6401521950028837
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.0005,62480.42484715355,64682.85700047939,1.5860963349696249
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.0005,62480.422299870675,64682.855681444446,1.6429035128094256
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.0005,62480.41090218582,64682.85598648711,1.5728296199813485
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.0005,62480.42367428033,64682.85989189986,1.5724857791792601
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.0005,62480.418445581636,64682.85981331426,1.5681287108454853
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.0005,62480.42035489086,64682.85614757915,1.6078717189375311
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m6,6,False,0.5,0.0005,62480.41669706773,64682.85497786758,1.567039143992588
california_housing,regression,controlled_mlp,1,MatrixAdam+DataInit,orthogonal_all__m7,7,False,0.5,0.0005,62480.41957001352,64682.85611199824,1.5456436739768833
