dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
wine-quality-red,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.001,0.685332240635745,0.003170883397044324,0.3684093269985169
wine-quality-red,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.001,0.7148020117669363,0.003283097235553594,0.3684093269985169
wine-quality-red,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.001,0.6855416421769848,0.004107298949707374,0.28170798486098647
wine-quality-red,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.001,0.7147142530805002,0.004512754823486274,0.28170798486098647
wine-quality-red,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,0.5,0.001,0.6856923075987651,0.003144335995588077,0.27318927296437323
wine-quality-red,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,0.5,0.001,0.7148759747599919,0.0029675204373212772,0.27318927296437323
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,0.5,0.001,0.6550635344798647,0.0,1.3959578999783844
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,0.5,0.001,0.756703696885625,0.0,1.3959578999783844
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.001,0.6547163573827101,0.006411373791649002,1.3751093067694455
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.001,0.7565361650174122,0.006799056571205529,1.3751093067694455
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.001,0.6548340664333675,0.005444905997838738,1.384851048933342
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.001,0.7568413042659764,0.005690742681405543,1.384851048933342
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.001,0.6548320741456223,0.005145676219772,1.273472408996895
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.001,0.7567374720772848,0.005186156723942109,1.273472408996895
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.001,0.654977070544953,0.006044345518664709,1.3402050021104515
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,0.5,0.001,0.75671198514429,0.006617253517680652,1.3402050021104515
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,0.5,0.001,0.6550668453402982,0.005286358515662565,1.3306988929398358
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,0.5,0.001,0.7568537709521904,0.004705817008166116,1.3306988929398358
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.001,0.6547924128559787,0.00506852963027742,1.265652930131182
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.001,0.7560302736342681,0.004891009944053765,1.265652930131182
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.001,0.6548002821755027,0.0050576379052559,1.2537801368162036
wine-quality-red,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.001,0.7568196366998383,0.005325483447706319,1.2537801368162036
