dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
california_housing,regression,tabm_d,0,AdamW,rbf_reference,-1,True,0.5,0.001,64143.11539301017,68224.25431556808,0.4968995279632509
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m0,0,False,0.5,0.001,64027.924889450616,68226.60794104342,0.29162847995758057
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m1,1,False,0.5,0.001,63334.203344260255,67597.10957358553,0.3004828460980207
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m2,2,False,0.5,0.001,64160.148495606045,67982.09205157842,0.24213696597144008
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m3,3,False,0.5,0.001,63508.7600504959,68023.73159659882,0.2368779149837792
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m4,4,False,0.5,0.001,64903.63971750518,68365.16006369087,0.2226420829538256
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m5,5,False,0.5,0.001,63741.25095389719,67252.60201003934,0.31358138495124876
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m6,6,False,0.5,0.001,64094.542821704556,67557.89829702466,0.26860180706717074
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m7,7,False,0.5,0.001,63908.28413906596,68221.83430718849,0.29005223512649536
california_housing,regression,tabm_d,0,AdamW,rbf_reference,-1,True,1.0,0.002,61665.63503667374,66044.08163198859,0.23336710594594479
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m0,0,False,1.0,0.002,61547.4886160997,66140.98152588283,0.22151201008819044
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m1,1,False,1.0,0.002,60960.2745043285,65759.90676082588,0.2993127419613302
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m2,2,False,1.0,0.002,61892.76610982389,65654.88229498095,0.2790054769720882
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m3,3,False,1.0,0.002,61281.76395048373,66321.78969875522,0.2805416809860617
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m4,4,False,1.0,0.002,62073.81028448331,65757.54989529225,0.2916001658886671
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m5,5,False,1.0,0.002,61553.18523198425,65405.404089894175,0.23278594110161066
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m6,6,False,1.0,0.002,61686.14053709808,65899.92248274288,0.2873297438491136
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m7,7,False,1.0,0.002,61709.07229941133,66288.26334878946,0.33612430887296796
california_housing,regression,tabm_d,0,AdamW,rbf_reference,-1,True,2.0,0.004,60443.18557524746,64563.909066194385,0.2256467780098319
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m0,0,False,2.0,0.004,61077.55756371385,66064.84853959599,0.22896790015511215
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m1,1,False,2.0,0.004,60272.97587119301,65288.867900147336,0.23466999782249331
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m2,2,False,2.0,0.004,60636.770729075004,64630.82550882854,0.23324636300094426
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m3,3,False,2.0,0.004,60261.50187102795,65036.54048173548,0.2929127428214997
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m4,4,False,2.0,0.004,61240.08260367617,65212.94726992109,0.305272629018873
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m5,5,False,2.0,0.004,60874.79303434735,64848.41708914427,0.3091885179746896
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m6,6,False,2.0,0.004,60682.12922176546,65657.29012141611,0.3204063840676099
california_housing,regression,tabm_d,0,AdamW,orthogonal_all__m7,7,False,2.0,0.004,61092.04648944472,64809.05309739078,0.2494989139959216
california_housing,regression,tabm_d,0,BlockAdam+DataInit,rbf_reference,-1,True,0.5,0.001,63780.706601711114,64731.00303819066,0.3934450240340084
california_housing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.001,63661.000308937924,64713.3703364016,0.3932730839587748
