dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.004,0.4561002957343119,0.0,0.111939727794379
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.004,0.47956832010075245,0.0,0.111939727794379
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.004,0.4638478915557859,0.03107207985099496,0.12743017100729048
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.004,0.489528313696306,0.025972735687561272,0.12743017100729048
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.004,0.45527159524933847,0.025069818631223744,0.1476429260801524
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.004,0.4812510408981413,0.021585695983997087,0.1476429260801524
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.001,0.4585996095120331,0.035552089984045875,0.2118635990191251
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.001,0.4751355824754907,0.03502839340441419,0.2118635990191251
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,1.0,0.002,0.45875232256963383,0.03376850249212294,0.12953610299155116
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,1.0,0.002,0.48229355057700374,0.03485103123319617,0.12953610299155116
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.004,0.4595798534621385,0.023084977104283828,0.13323845993727446
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.004,0.4821202328853226,0.02465161924398078,0.13323845993727446
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.001,0.46119982938012355,0.04017246735654521,0.23151834215968847
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.001,0.47332603654866284,0.040562330630869475,0.23151834215968847
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.004,0.4540925245057597,0.024063323203334507,0.10854771896265447
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.004,0.47972203156180787,0.021936764766738708,0.10854771896265447
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.002,0.46201487447027495,0.036726448220466,0.13217839295975864
credit-g,classification,tabm_d,2,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.002,0.4790639790009655,0.03387792021032653,0.13217839295975864
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.002,0.4855277065085833,0.0,0.10241611395031214
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.002,0.523292829035209,0.0,0.10241611395031214
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.002,0.48557781904044794,0.0018401464944591299,0.16191150806844234
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.002,0.5232240169971629,0.001551604443302601,0.16191150806844234
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,1.0,0.002,0.48552615001709604,9.20427760720763e-06,0.1597135670017451
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,1.0,0.002,0.5232941925368076,9.74836554199049e-06,0.1597135670017451
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.002,0.4855148800938226,8.51368458776063e-05,0.12587259407155216
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.002,0.5233023643182739,7.425167503527685e-05,0.12587259407155216
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,1.0,0.002,0.4855777478687978,0.001841710740733855,0.15296807792037725
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,1.0,0.002,0.5232239203895375,0.001552931111117384,0.15296807792037725
credit-g,classification,tabm_d,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,1.0,0.002,0.48552805803612153,6.32380609999304e-06,0.11700493819080293
