dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.001,39234.392776855006,36140.94428233283,1.0258633221965283
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.001,39234.396818987654,36140.93725354771,0.9148835111409426
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.001,39234.39729161133,36140.937291553324,0.699164693010971
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.001,39234.39470931334,36140.94237533537,0.8105043440591544
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.001,39234.3915855953,36140.93710506288,0.8553992980159819
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.001,39234.39921566469,36140.933584515435,0.8475579631049186
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.001,39234.40265251629,36140.929291354376,0.681802845094353
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.001,39234.39874155276,36140.93868615602,0.8968065148219466
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,rbf_reference,-1,True,2.0,0.002,38651.12315404057,36520.0100116538,0.7559499449562281
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.002,38651.12522225568,36520.006318731765,0.7969210168812424
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.002,38651.124432625715,36520.011543841174,0.6630966230295599
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.002,38651.12317257478,36520.007254800366,0.7874898288864642
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.002,38651.12572702292,36520.00855812816,0.7482742508873343
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.002,38651.12731314741,36520.012862922,0.6059885788708925
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.002,38651.12474387496,36520.00567668766,0.7650217490736395
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.002,38651.12546392137,36520.005079189235,0.7580603810492903
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.002,38651.12848307271,36520.01027539047,0.9185949419625103
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,rbf_reference,-1,True,0.5,0.0005,40130.83973052213,36380.16352292428,2.7742702709510922
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.0005,40130.8382377397,36380.16872420891,2.954314006958157
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.0005,40130.83891836831,36380.16554255597,2.594369594939053
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.0005,40130.83754824703,36380.16236536879,2.6669122928287834
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.0005,40130.83806924429,36380.17242896421,3.0063390829600394
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.0005,40130.83840147163,36380.16871033541,2.2281608879566193
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.0005,40130.84164432808,36380.16933201626,2.713285186793655
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m6,6,False,0.5,0.0005,40130.841162024204,36380.16566960399,2.634853188181296
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m7,7,False,0.5,0.0005,40130.83584044221,36380.166900611686,2.599734908901155
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,rbf_reference,-1,True,1.0,0.001,38481.88214644483,36007.375783016,2.9715521410107613
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.001,38481.88165064775,36007.393670777295,3.193168109981343
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.001,38481.88209690798,36007.38196725668,3.3287841519340873
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.001,38481.888883132495,36007.38354007034,3.374493974028155
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.001,38481.88764323351,36007.380301068864,3.6836472200229764
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.001,38481.88195747617,36007.388273498625,3.3724947159644216
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.001,38481.884593444986,36007.38540631983,3.5240140249952674
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.001,38481.86773395251,36007.3937267216,3.6754166258033365
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.001,38481.89731996371,36007.37932081786,3.0278055800590664
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,rbf_reference,-1,True,2.0,0.002,37643.61230913497,36613.75610795195,1.8769387039355934
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.002,37643.61503168499,36613.74896626698,1.879709224915132
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.002,37643.61245349959,36613.7295526175,1.9670682719442993
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.002,37643.61198320618,36613.73212915598,1.9964078380726278
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.002,37643.617408765436,36613.72909394322,2.104604127118364
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.002,37643.61178182312,36613.76949772002,1.9836095229256898
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.002,37643.60909831196,36613.768244323546,2.085731169907376
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.002,37643.606854619524,36613.75095267943,2.12717991694808
house_16H,regression,controlled_mlp,0,MatrixAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.002,37643.609473358825,36613.759512309414,2.006948994938284
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,0.5,0.0005,40117.33299362054,35015.547462217975,1.3895254889503121
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,0.5,0.0005,40200.082444070555,34988.55864321113,1.230052112834528
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,0.5,0.0005,40200.91027708553,35000.16943862336,1.3803968660067767
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,0.5,0.0005,40134.241024994706,35000.065713299584,1.308214956894517
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,0.5,0.0005,40199.87582876612,34954.43991461997,1.2269468118902296
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,0.5,0.0005,40165.722950279654,34956.65603415814,1.2977548472117633
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,0.5,0.0005,40126.38610559301,34959.014678656655,1.1872741261031479
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,0.5,0.0005,40131.85436939264,35027.60534597944,1.3096056170761585
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,0.5,0.0005,40165.876932561994,34951.23162680858,1.2042515189386904
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,1.0,0.001,39172.18988700208,36285.92945994308,0.7248104591853917
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,1.0,0.001,39380.448256277945,36029.851032818275,0.7445598798803985
house_16H,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,1.0,0.001,39289.04149920041,36211.222626928764,0.7269523041322827
