dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
credit-g,classification,tabm_d,1,AdamW,rbf_reference,-1,True,0.5,0.001,0.46596033371033485,0.4670875494924522,0.1608399050310254
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m0,0,False,0.5,0.001,0.47150086063113816,0.4702613684516691,0.1221120918635279
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m1,1,False,0.5,0.001,0.47241333953413084,0.470322140880684,0.19264458096586168
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m2,2,False,0.5,0.001,0.47002606609301684,0.4690767920695373,0.17730259196832776
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m3,3,False,0.5,0.001,0.47144307699585664,0.46430297749479155,0.18048294191248715
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m4,4,False,0.5,0.001,0.4716212828130553,0.46712642055444137,0.16287720412947237
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m5,5,False,0.5,0.001,0.471728715969199,0.4670803821964866,0.15731068886816502
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m6,6,False,0.5,0.001,0.4746064083799836,0.46698183511963676,0.1832084688358009
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m7,7,False,0.5,0.001,0.4746914240397529,0.4715443057044149,0.160088534001261
credit-g,classification,tabm_d,1,AdamW,rbf_reference,-1,True,1.0,0.002,0.46065424977092506,0.4694401280857413,0.11227129912003875
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m0,0,False,1.0,0.002,0.4662444307491741,0.47353192304393216,0.12082365085370839
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m1,1,False,1.0,0.002,0.46843809585462387,0.4719446492315622,0.09538519405759871
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m2,2,False,1.0,0.002,0.4670359940252853,0.47597584720073416,0.13797635701484978
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m3,3,False,1.0,0.002,0.4689316826768404,0.4660172902363421,0.10826708795502782
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m4,4,False,1.0,0.002,0.46706033382857975,0.4726452810064029,0.140638257144019
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m5,5,False,1.0,0.002,0.46677145679627596,0.4698300452879327,0.13073881599120796
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m6,6,False,1.0,0.002,0.4711816533871005,0.4727008858262936,0.1299752350896597
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m7,7,False,1.0,0.002,0.4696802408639815,0.4730709802714405,0.16384397004731
credit-g,classification,tabm_d,1,AdamW,rbf_reference,-1,True,2.0,0.004,0.4609383874777616,0.47368981367278307,0.13408672902733088
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m0,0,False,2.0,0.004,0.467396787382656,0.48323109615460813,0.11841155705042183
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m1,1,False,2.0,0.004,0.46430410246095216,0.4761395233842093,0.1306397260632366
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m2,2,False,2.0,0.004,0.463058120947115,0.48225496622082104,0.14325432595796883
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m3,3,False,2.0,0.004,0.46607474593771975,0.47517064277694326,0.129425197141245
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m4,4,False,2.0,0.004,0.46373333669666844,0.47408086124954724,0.11786823882721364
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m5,5,False,2.0,0.004,0.46545259030537534,0.47660028732620924,0.11469025304540992
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m6,6,False,2.0,0.004,0.46555519721130667,0.4808765946969029,0.11019489099271595
credit-g,classification,tabm_d,1,AdamW,orthogonal_all__m7,7,False,2.0,0.004,0.4685174816091376,0.47760132090956875,0.10316537297330797
credit-g,classification,tabm_d,1,BlockAdam+DataInit,rbf_reference,-1,True,0.5,0.001,0.5157607308860996,0.5048744393427425,0.18315385514870286
credit-g,classification,tabm_d,1,BlockAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.001,0.515760664169276,0.5048750256623503,0.1853334589395672
credit-g,classification,tabm_d,1,BlockAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.001,0.5157607705984409,0.5048744635981709,0.16307441121898592
credit-g,classification,tabm_d,1,BlockAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.001,0.5157587804490097,0.5048753182580896,0.16663570515811443
