seed,model,task_family,query_family,domain,nll,rmse,coverage90
2027083101,projective,linear,point,gaussian,1.110245406627655,0.7724082983498367,0.9186197916666666
2027083101,direct,linear,point,gaussian,1.3963804443677266,1.059461428062118,0.8763020833333334
2027083101,projective,linear,subset,gaussian,0.5284806241591772,0.4223784280460809,0.9303385416666666
2027083101,direct,linear,subset,gaussian,0.7917108138402303,0.561991974334383,0.896484375
2027083101,projective,linear,difference,gaussian,1.443402151266734,1.0518803384924584,0.9186197916666666
2027083101,direct,linear,difference,gaussian,1.7621240814526875,1.4762670500586563,0.87890625
2027083101,projective,linear,dense,gaussian,1.1437799135843914,0.777428419527549,0.9114583333333334
2027083101,direct,linear,dense,gaussian,1.6084267298380537,1.1078028665472572,0.81640625
2027083101,projective,linear,scaled_dense,gaussian,1.9779023329416912,1.8245660096006933,0.9205729166666666
2027083101,direct,linear,scaled_dense,gaussian,4.2906631628672285,2.614407694313722,0.6940104166666666
2027083101,projective,additive,point,gaussian,1.074055274327596,0.7201546474667117,0.8899739583333334
2027083101,direct,additive,point,gaussian,1.1345654726028442,0.7634550536411301,0.9036458333333334
2027083101,projective,additive,subset,gaussian,0.4408908287684123,0.3942553118628304,0.9140625
2027083101,direct,additive,subset,gaussian,0.5041836152474085,0.4243148200821577,0.9069010416666666
2027083101,projective,additive,difference,gaussian,1.3539342284202576,0.9522177855187848,0.9055989583333334
2027083101,direct,additive,difference,gaussian,1.4426791667938232,1.0314263279761766,0.9264322916666666
2027083101,projective,additive,dense,gaussian,1.0357714692751567,0.6921478432345405,0.9095052083333334
2027083101,direct,additive,dense,gaussian,1.2705174485842388,0.8113949609347378,0.8463541666666666
2027083101,projective,additive,scaled_dense,gaussian,1.913722554842631,1.7243320563254037,0.9055989583333334
2027083101,direct,additive,scaled_dense,gaussian,4.82125727335612,1.977927680115152,0.72265625
2027083101,projective,interaction,point,gaussian,1.0943867365519206,0.795114042531541,0.9016927083333334
2027083101,direct,interaction,point,gaussian,1.1896247863769531,0.8723860649966415,0.9036458333333334
2027083101,projective,interaction,subset,gaussian,0.5452904552221298,0.4487198505660422,0.9029947916666666
2027083101,direct,interaction,subset,gaussian,0.6225948135058085,0.4772826366355713,0.9016927083333334
2027083101,projective,interaction,difference,gaussian,1.4291970332463582,1.11488608084111,0.9049479166666666
2027083101,direct,interaction,difference,gaussian,1.553286651770274,1.2310946129278904,0.8984375
2027083101,projective,interaction,dense,gaussian,1.2066889802614849,0.8346017700808668,0.8756510416666666
2027083101,direct,interaction,dense,gaussian,1.487870216369629,0.9651375193355988,0.8033854166666666
2027083101,projective,interaction,scaled_dense,gaussian,2.020710408687592,1.928928972627756,0.890625
2027083101,direct,interaction,scaled_dense,gaussian,5.93091865380605,2.252978102383316,0.7083333333333334
2027083101,projective,stump,point,gaussian,1.1331003308296204,0.7606403574859846,0.9016927083333334
2027083101,direct,stump,point,gaussian,1.213942567507426,0.830092312560663,0.9010416666666666
2027083101,projective,stump,subset,gaussian,0.541581725080808,0.4395672967736637,0.9069010416666666
2027083101,direct,stump,subset,gaussian,0.6470976869265238,0.4855821063230383,0.8919270833333334
2027083101,projective,stump,difference,gaussian,1.4422862728436787,1.0425446227774633,0.9016927083333334
2027083101,direct,stump,difference,gaussian,1.558574954668681,1.1949534905532595,0.9108072916666666
2027083101,projective,stump,dense,gaussian,1.0746241410573325,0.7244688790690411,0.9251302083333334
2027083101,direct,stump,dense,gaussian,1.4200926423072815,0.9716188293516936,0.8359375
2027083101,projective,stump,scaled_dense,gaussian,1.9558263222376504,1.7879846982770542,0.9192708333333334
2027083101,direct,stump,scaled_dense,gaussian,5.6755727132161455,2.362913244930295,0.6861979166666666
2027083101,projective,linear,point,diabetes,1.1374804973602295,0.7811073840623122,0.9342447916666666
2027083101,direct,linear,point,diabetes,1.3933505813280742,1.0551139816976076,0.8841145833333334
2027083101,projective,linear,subset,diabetes,0.6149402558803558,0.4767048211544186,0.9075520833333334
2027083101,direct,linear,subset,diabetes,0.8937948246796926,0.6282303220468087,0.86328125
2027083101,projective,linear,difference,diabetes,1.4708340366681416,1.074428875341463,0.9322916666666666
2027083101,direct,linear,difference,diabetes,1.7602680921554563,1.4595731528549023,0.876953125
2027083101,projective,linear,dense,diabetes,1.160295267899831,0.7770245725865267,0.931640625
2027083101,direct,linear,dense,diabetes,1.5957348346710205,1.1071016722224918,0.8326822916666666
2027083101,projective,linear,scaled_dense,diabetes,2.006214996178945,1.8625124152194308,0.9329427083333334
2027083101,direct,linear,scaled_dense,diabetes,4.514320174853007,2.621594323891874,0.6829427083333334
2027083101,projective,additive,point,diabetes,1.0580309828122456,0.703405334960825,0.9095052083333334
2027083101,direct,additive,point,diabetes,1.1049855550130208,0.734833993254178,0.912109375
2027083101,projective,additive,subset,diabetes,0.4791750609874725,0.4193510271072014,0.904296875
2027083101,direct,additive,subset,diabetes,0.5290980339050293,0.4445573359982838,0.9029947916666666
2027083101,projective,additive,difference,diabetes,1.3945701718330383,0.9807750886986226,0.9075520833333334
2027083101,direct,additive,difference,diabetes,1.4401941498120625,1.019997841966752,0.9264322916666666
2027083101,projective,additive,dense,diabetes,1.0789351065953572,0.71803866652367,0.9055989583333334
2027083101,direct,additive,dense,diabetes,1.2562071084976196,0.8130653016471737,0.849609375
2027083101,projective,additive,scaled_dense,diabetes,1.9272063573201497,1.7290597292759933,0.9153645833333334
2027083101,direct,additive,scaled_dense,diabetes,4.131077726682027,1.9494621721145748,0.7565104166666666
