seed,task_family,query_family,domain,direct,projective,projective_advantage
2027083101,additive,dense,breast_cancer,1.2650742729504902,1.0626606543858843,0.20241361856460593
2027083101,additive,dense,diabetes,1.2562071084976196,1.0789351065953572,0.17727200190226244
2027083101,additive,dense,digits,1.2710431814193726,1.0633504788080852,0.20769270261128736
2027083101,additive,dense,gaussian,1.2705174485842388,1.0357714692751567,0.23474597930908203
2027083101,additive,dense,wine,1.2015117009480794,1.0554629564285278,0.14604874451955152
2027083101,additive,difference,breast_cancer,1.439584453900655,1.346537967522939,0.09304648637771606
2027083101,additive,difference,diabetes,1.4401941498120625,1.3945701718330383,0.04562397797902418
2027083101,additive,difference,digits,1.4295082887013753,1.344390869140625,0.08511741956075025
2027083101,additive,difference,gaussian,1.4426791667938232,1.3539342284202576,0.08874493837356567
2027083101,additive,difference,wine,1.4566561579704285,1.3773014942804973,0.07935466368993116
2027083101,additive,point,breast_cancer,1.1085716287295024,1.0345825950304668,0.07398903369903564
2027083101,additive,point,diabetes,1.1049855550130208,1.0580309828122456,0.046954572200775146
2027083101,additive,point,digits,1.126706639925639,1.0682349999745686,0.0584716399510703
2027083101,additive,point,gaussian,1.1345654726028442,1.074055274327596,0.060510198275248284
2027083101,additive,point,wine,1.132534285386403,1.058625260988871,0.073909024397532
2027083101,additive,scaled_dense,breast_cancer,3.4932539463043213,1.9014315605163572,1.591822385787964
2027083101,additive,scaled_dense,diabetes,4.131077726682027,1.9272063573201497,2.2038713693618774
2027083101,additive,scaled_dense,digits,3.550152858098348,1.9029075105985005,1.6472453474998476
2027083101,additive,scaled_dense,gaussian,4.82125727335612,1.913722554842631,2.9075347185134888
2027083101,additive,scaled_dense,wine,3.776180108388265,1.918372352917989,1.857807755470276
2027083101,additive,subset,breast_cancer,0.5283912966648737,0.4774531126022339,0.050938184062639835
2027083101,additive,subset,diabetes,0.5290980339050293,0.4791750609874725,0.04992297291755682
2027083101,additive,subset,digits,0.4982087860504786,0.4447601040204366,0.053448682030041994
2027083101,additive,subset,gaussian,0.5041836152474085,0.4408908287684123,0.06329278647899622
2027083101,additive,subset,wine,0.5516535143057505,0.5021545539299647,0.04949896037578583
2027083101,interaction,dense,breast_cancer,1.529750406742096,1.240422606468201,0.28932780027389504
