Scope,Method,Dimension,Parameters,Representation bytes,Precompute/fit seconds,Peak GPU bytes
"10,000 states",full_similarity,6000.0,,240000000.0,1.5707757577765733,0.0
"10,000 states",lookup_unknown,6001.0,,120012.0,0.0,0.0
"10,000 states",mpe_dense,32.0,,1280000.0,0.3230798738077282,0.0
"10,000 states",mpe_sparse,32.0,,120140.0,0.339602556079626,0.0
"10,000 states",nystrom,32.0,,2560000.0,0.32429234404116863,0.0
real ridge mean,mpe,32.0,32.0,,6.7965887665929685,0.0
real ridge mean,nystrom,32.0,32.0,,6.5515276032474095,0.0
real ridge mean,similarity_unnormalized,32.0,32.0,,7.217388418849764,0.0
real ridge mean,unknown_embedding,204.11111111111111,204.11111111111111,,1.0679268896838443,0.0
neural mean,ft_transformer / character_3gram_hash,128.0,273989.0,,7.584065212004741,203522112.0
neural mean,ft_transformer / mpe,32.0,239770.1914893617,,470.5211780179401,682194366.6382979
neural mean,ft_transformer / mpe_corrupt_0,32.0,256305.0,,17.304768451295484,181743274.66666666
neural mean,ft_transformer / mpe_corrupt_1,32.0,234678.33333333334,,12.24924996893646,195629738.66666666
neural mean,ft_transformer / mpe_corrupt_2,32.0,212833.0,,9.711631782534015,250992213.33333334
neural mean,ft_transformer / mpe_corrupt_3,32.0,219787.66666666666,,9.059019129684506,203701162.66666666
neural mean,ft_transformer / mpe_corrupt_4,32.0,186769.0,,11.43962196161091,239998037.33333334
neural mean,ft_transformer / mpe_corrupt_5,32.0,268897.0,,9.978484768019472,248919381.33333334
neural mean,ft_transformer / mpe_corrupt_6,32.0,277931.6666666667,,13.177554527633925,206582784.0
neural mean,ft_transformer / mpe_corrupt_7,32.0,236758.33333333334,,6.464894118744673,301055914.6666667
neural mean,ft_transformer / mpe_corrupt_8,32.0,312054.3333333333,,16.23403711043971,212495189.33333334
neural mean,ft_transformer / mpe_corrupt_9,32.0,259766.33333333334,,11.48275787486798,194718890.66666666
neural mean,ft_transformer / mpe_equality,32.0,221046.33333333334,,22.620171071754566,155856384.0
neural mean,ft_transformer / nystrom,32.0,201464.27272727274,,43.55228990128716,239771927.27272728
neural mean,ft_transformer / q_ple,32.0,206007.4,,34.49957889351838,254377574.4
neural mean,ft_transformer / similarity_same_metric,32.0,206372.76470588235,,114.35674955158987,330932434.8235294
neural mean,ft_transformer / similarity_unnormalized,32.0,199729.0,,115.99914848632623,247917860.57142857
