Task,Family,Variant,State-balanced MSE,Cells
acs_occupation,bandwidth,bandwidth_candidate_0,0.6253989466348504,10
acs_occupation,bandwidth,bandwidth_candidate_1,0.620036555478903,10
acs_occupation,bandwidth,bandwidth_candidate_2,0.6173372264768217,10
acs_occupation,bandwidth,bandwidth_candidate_3,0.6181417900271577,10
acs_occupation,bandwidth,bandwidth_candidate_4,0.6172982206421332,10
acs_occupation,kernel,kernel_gaussian,0.620036555478903,10
acs_occupation,kernel,kernel_inverse_distance,0.6431243626457139,10
acs_occupation,kernel,kernel_laplacian,0.63915306619944,10
acs_occupation,kernel,kernel_triangular,0.618040261620678,10
acs_occupation,landmark_budget,budget_farthest_point_m128,0.6052716581535943,10
acs_occupation,landmark_budget,budget_farthest_point_m16,0.6311180904967734,10
acs_occupation,landmark_budget,budget_farthest_point_m256,0.6017935145862783,10
acs_occupation,landmark_budget,budget_farthest_point_m32,0.620036555478903,10
acs_occupation,landmark_budget,budget_farthest_point_m64,0.6080650769136209,10
acs_occupation,landmark_budget,budget_farthest_point_m8,0.6692195838028698,10
acs_occupation,landmark_selection,landmark_farthest_point_m16,0.6311180904967734,10
acs_occupation,landmark_selection,landmark_farthest_point_m32,0.620036555478903,10
acs_occupation,landmark_selection,landmark_farthest_point_m64,0.6080650769136209,10
acs_occupation,landmark_selection,landmark_frequency_m16,0.6532099035271607,10
acs_occupation,landmark_selection,landmark_frequency_m32,0.6370926253118947,10
acs_occupation,landmark_selection,landmark_frequency_m64,0.6183122434313583,10
acs_occupation,landmark_selection,landmark_k_medoids_m16,0.6311557170514497,10
acs_occupation,landmark_selection,landmark_k_medoids_m32,0.6232343952222574,10
acs_occupation,landmark_selection,landmark_k_medoids_m64,0.6079132555596695,10
acs_occupation,landmark_selection,landmark_uniform_random_m16,0.6548623989412703,10
acs_occupation,landmark_selection,landmark_uniform_random_m32,0.643131836023445,10
acs_occupation,landmark_selection,landmark_uniform_random_m64,0.6191410420465361,10
acs_occupation,metric_scale,metric_scale_0.5,0.6181417900271577,10
acs_occupation,metric_scale,metric_scale_1,0.620036555478903,10
acs_occupation,metric_scale,metric_scale_2,0.6253989466348504,10
acs_occupation,normalization,normalization_partition,0.620036555478903,10
acs_occupation,normalization,normalization_softmax_distance,0.63915306619944,10
acs_occupation,normalization,normalization_unnormalized,0.6181869565459114,10
acs_occupation,partial_corruption,partial_corruption_0.10,0.6378135366659237,10
acs_occupation,partial_corruption,partial_corruption_0.25,0.6476638934071921,10
acs_occupation,partial_corruption,partial_corruption_0.50,0.6695951918464405,10
acs_occupation,partial_corruption,partial_corruption_1.00,0.6804832194652501,10
acs_occupation,token_dimension,token_dimension_D16_linear_equivalence,0.620036555478903,10
acs_occupation,token_dimension,token_dimension_D32_linear_equivalence,0.620036555478903,10
acs_occupation,token_dimension,token_dimension_D64_linear_equivalence,0.620036555478903,10
airline_origin_airport,bandwidth,bandwidth_candidate_0,1.3219935061117472,10
airline_origin_airport,bandwidth,bandwidth_candidate_1,1.3219143919772796,10
airline_origin_airport,bandwidth,bandwidth_candidate_2,1.321391008870099,10
airline_origin_airport,bandwidth,bandwidth_candidate_3,1.3205610779238506,10
airline_origin_airport,bandwidth,bandwidth_candidate_4,1.3194264173852261,10
airline_origin_airport,bandwidth,bandwidth_candidate_5,1.3191158786448551,10
airline_origin_airport,bandwidth,bandwidth_candidate_6,1.3193115450542614,10
airline_origin_airport,kernel,kernel_gaussian,1.3192361769213576,10
airline_origin_airport,kernel,kernel_inverse_distance,1.3196667474319606,10
airline_origin_airport,kernel,kernel_laplacian,1.319552152994571,10
airline_origin_airport,kernel,kernel_triangular,1.3194509288983163,10
airline_origin_airport,landmark_budget,budget_farthest_point_m128,1.3192290181319588,10
airline_origin_airport,landmark_budget,budget_farthest_point_m129,1.3192284173848736,10
airline_origin_airport,landmark_budget,budget_farthest_point_m16,1.3191840766423586,10
airline_origin_airport,landmark_budget,budget_farthest_point_m32,1.3192361769213576,10
airline_origin_airport,landmark_budget,budget_farthest_point_m64,1.319409239804175,10
airline_origin_airport,landmark_budget,budget_farthest_point_m8,1.3192205986849457,10
airline_origin_airport,landmark_selection,landmark_farthest_point_m16,1.3191840766423586,10
airline_origin_airport,landmark_selection,landmark_farthest_point_m32,1.3192361769213576,10
airline_origin_airport,landmark_selection,landmark_farthest_point_m64,1.319409239804175,10
airline_origin_airport,landmark_selection,landmark_frequency_m16,1.3192222363385562,10
airline_origin_airport,landmark_selection,landmark_frequency_m32,1.3192339158731556,10
airline_origin_airport,landmark_selection,landmark_frequency_m64,1.3194186494867748,10
airline_origin_airport,landmark_selection,landmark_k_medoids_m16,1.3192227949658029,10
airline_origin_airport,landmark_selection,landmark_k_medoids_m32,1.3195324533637625,10
airline_origin_airport,landmark_selection,landmark_k_medoids_m64,1.3195418669848284,10
airline_origin_airport,landmark_selection,landmark_uniform_random_m16,1.3192565476356568,10
airline_origin_airport,landmark_selection,landmark_uniform_random_m32,1.3191775456456456,10
airline_origin_airport,landmark_selection,landmark_uniform_random_m64,1.319378035463042,10
airline_origin_airport,metric_scale,metric_scale_0.5,1.319359860354224,10
airline_origin_airport,metric_scale,metric_scale_1,1.3192361769213576,10
airline_origin_airport,metric_scale,metric_scale_2,1.319672229041808,10
airline_origin_airport,normalization,normalization_partition,1.3192361769213576,10
airline_origin_airport,normalization,normalization_softmax_distance,1.319552152994571,10
airline_origin_airport,normalization,normalization_unnormalized,1.3198607461110412,10
airline_origin_airport,partial_corruption,partial_corruption_0.10,1.3196262333863007,10
airline_origin_airport,partial_corruption,partial_corruption_0.25,1.3198217854933207,10
airline_origin_airport,partial_corruption,partial_corruption_0.50,1.320061589177305,10
airline_origin_airport,partial_corruption,partial_corruption_1.00,1.319832250909861,10
airline_origin_airport,token_dimension,token_dimension_D16_linear_equivalence,1.3192361769213576,10
