Task,Method,State-balanced MSE,Row-weighted MSE,Cells
airline_destination_airport,Coordinate Fourier,0.8478082923948913,0.9561616126865828,10
airline_destination_airport,MPE,0.8447119712939714,0.9535647308341997,10
airline_destination_airport,Nyström,0.8446225511053127,0.95356879190194,10
airline_destination_airport,Raw coordinates,0.8443820859320796,0.9533801996099814,10
airline_destination_airport,Raw lat/lon,0.8444678362284883,0.9534935085749344,10
airline_destination_airport,Spatial RBF,0.8444511675631265,0.9536476519787674,10
airline_origin_airport,Coordinate Fourier,1.3224136447608634,1.0574258113524535,10
airline_origin_airport,MPE,1.3192361769213576,1.0553500603523016,10
airline_origin_airport,Nyström,1.3199364292364408,1.0555879670284005,10
airline_origin_airport,Raw coordinates,1.3189742803941311,1.0550107894823972,10
airline_origin_airport,Raw lat/lon,1.3190979829389622,1.0552193976143909,10
airline_origin_airport,Spatial RBF,1.3198815858370687,1.0555766066087744,10
citibike_start_station,Coordinate Fourier,1.0185295201040907,0.9717591163976488,10
citibike_start_station,MPE,1.016298207133947,0.9711969583638009,10
citibike_start_station,Nyström,1.0161949050272956,0.970732685699241,10
citibike_start_station,Raw coordinates,1.0239899993441806,0.9686855074883512,10
citibike_start_station,Raw lat/lon,1.0234199277103309,0.9685861817118973,10
citibike_start_station,Spatial RBF,1.0165498078940427,0.9707218730087013,10
tlc_dropoff_zone,Coordinate Fourier,0.7792112946282729,0.9398411145467447,10
tlc_dropoff_zone,Graph Laplacian,0.985183636785527,1.1811846440772984,10
tlc_dropoff_zone,MPE,0.660559920561077,0.8513261919537408,10
tlc_dropoff_zone,node2vec,0.6480582096884722,0.810809681549323,10
tlc_dropoff_zone,Nyström,0.6552403561800042,0.8517844554455032,10
tlc_dropoff_zone,Raw coordinates,0.8435237435059232,1.0562883712232831,10
tlc_dropoff_zone,Raw lat/lon,0.8448068877921733,1.0589276228143674,10
tlc_dropoff_zone,Spatial RBF,0.6539521820656906,0.850818094283143,10
tlc_pickup_zone,Coordinate Fourier,1.07311296625655,0.9092536677551681,10
tlc_pickup_zone,Graph Laplacian,1.67655129453119,1.2000996477790487,10
tlc_pickup_zone,MPE,0.9757810751264838,0.8386862501040522,10
tlc_pickup_zone,node2vec,1.0264215227731448,0.8413646489962533,10
tlc_pickup_zone,Nyström,1.0187606022098135,0.8414121707062241,10
tlc_pickup_zone,Raw coordinates,1.006462426377555,0.8746632329737725,10
tlc_pickup_zone,Raw lat/lon,0.99876095872048,0.8645530685698379,10
tlc_pickup_zone,Spatial RBF,1.0152211555972397,0.8363239985784734,10
