Task,Method,State-balanced MSE,Row-weighted MSE,Cells
acs_industry,Ancestor multi-hot,0.6226808914976896,0.6049407679006078,10
acs_industry,hierarchy_shortest_path_similarity,0.6349004945836899,0.6244679647596602,10
acs_industry,Laplacian,0.6270913393673159,0.6176532431274642,10
acs_industry,LCH path,0.6506024146336543,0.6393623337533147,10
acs_industry,MPE,0.6349004945836899,0.6244679647596602,10
acs_industry,node2vec,0.6270776169720889,0.6140323714634579,10
acs_industry,Nyström,0.6334104599160277,0.6218790847021586,10
acs_industry,Path to root,0.6228750016206677,0.604508009297852,10
acs_industry,Wu-Palmer,0.6359369411505078,0.6261111063404502,10
acs_occupation,Ancestor multi-hot,0.6023784017604756,0.6112780833086078,10
acs_occupation,hierarchy_shortest_path_similarity,0.620036555478903,0.6279400005496409,10
acs_occupation,Laplacian,0.6196312498794267,0.6274105383551152,10
acs_occupation,LCH path,0.6409655648189381,0.6556065536948387,10
acs_occupation,MPE,0.620036555478903,0.6279400005496409,10
acs_occupation,node2vec,0.6235299837385019,0.6393387132503043,10
acs_occupation,Nyström,0.6181463288416721,0.6261209994025161,10
acs_occupation,Path to root,0.6028697612876837,0.6056972046324549,10
acs_occupation,Wu-Palmer,0.6195378133002859,0.6277987894389969,10
