Source,Near–medium Spearman,Overall Spearman,Cells,Far gain,Medium gain,Near gain
ACS,0.08310935690074837,0.08310935690074837,20,-0.0034994227093764403,-0.0204735983733504,-0.012747531285179008
BTS,0.1129266082754455,0.1129266082754455,16,-6.581817144678125e-05,-2.9474362091764798e-05,-0.0002223525174846067
CITI_BIKE,0.020790613550935633,0.020790613550935633,5,-0.0061741425588785,-0.00754238207724592,-0.004703889411000839
NYC_TLC,-0.08110268030657239,-0.08110268030657239,11,-0.007678258310736302,0.004106988950094345,4.6760051885627596e-05
STRING_BENCHMARK,0.027717346780461373,0.027717346780461373,20,0.02203883760670498,-0.006820380225611026,-0.11261761658317446
