Source,Status,MPE,Best metric baseline,Baseline name(s),Similarity,PLE,UNK,Mean corrupt MPE,Relative gain (%),Winner
ACS,RUN,0.6274685250312965,0.6152922934908448,"knn_metric, laplacian, node2vec, path_to_root",0.6254469313896984,0.620160105882954,0.6790474188560699,0.6759878081864131,-1.9789345111686891,baseline
NYC_TLC,RUN,0.9510435310800271,0.9494958303631807,"knn_metric, nystrom, raw_coordinates, rbf_normalized, rbf_unnormalized, spatial_rbf",0.9464728013744164,1.0957388357770044,1.090100086743136,1.1693048219574995,-0.1630023710851271,baseline
CITI_BIKE,RUN,1.0108535795213602,1.0047133285337477,"knn_metric, rbf_normalized",1.0108535795213602,1.0140672955534533,1.0212414557684422,1.021226684068171,-0.6111445736042366,baseline
BTS,RUN,1.1196017477423632,1.1194967977682757,"raw_coordinates, raw_latlon, rbf_normalized, rbf_unnormalized, spatial_rbf",1.1195319667312686,1.1217617675060143,1.12064123433945,1.120166450471558,-0.009374745358514347,baseline
AMAZON_2023,NOT RUN,,,—,,,,,,—
