dataset,split_seed,model,task,CANONICAL-INDEPENDENT,OC2-COUPLED,absolute_improvement,fractional_improvement,comparison_method,comparison_budget,OC2-INDEPENDENT,SRS-JOINT
australian_credit_approval,2026082801,ft_transformer,classification,0.2022532305115047,0.206425069969919,-0.004171839458414289,-0.020626812475942054,OC2-COUPLED,4,,
australian_credit_approval,2026082801,mlp,classification,0.1800614939770118,0.1821040252656793,-0.002042531288667493,-0.011343520724804493,OC2-COUPLED,4,,
australian_credit_approval,2026082801,resnet,classification,0.2173416355896679,0.2101101698249035,0.007231465764764411,0.033272344459655774,OC2-COUPLED,4,,
australian_credit_approval,2026082801,tabm,classification,0.1823830924389876,0.1831102237340724,-0.0007271312950848097,-0.003986834993095953,OC2-COUPLED,4,,
australian_credit_approval,2026082811,ft_transformer,classification,0.2508477508451409,0.2525329364360277,-0.0016851855908868174,-0.006717961732601522,OC2-COUPLED,4,,
australian_credit_approval,2026082811,mlp,classification,0.2006081927883435,0.1990577543132664,0.0015504384750771039,0.007728689708664747,OC2-COUPLED,4,,
australian_credit_approval,2026082811,resnet,classification,0.2553698813131183,0.2627376007275347,-0.00736771941441644,-0.02885116826045203,OC2-COUPLED,4,,
australian_credit_approval,2026082811,tabm,classification,0.1867165651108717,0.1866358468395241,8.071827134759069e-05,0.00043230375033763305,OC2-COUPLED,4,,
australian_credit_approval,2026082821,ft_transformer,classification,0.2729311848448735,0.2705672853738924,0.00236389947098109,0.008661155640110033,OC2-COUPLED,4,,
australian_credit_approval,2026082821,mlp,classification,0.2566438848201284,0.2568133558994045,-0.00016947107927611782,-0.0006603355439187395,OC2-COUPLED,4,,
australian_credit_approval,2026082821,resnet,classification,0.2562239025438662,0.2580846746900853,-0.001860772146219103,-0.00726228945755962,OC2-COUPLED,4,,
australian_credit_approval,2026082821,tabm,classification,0.2413972169675383,0.2429604686877567,-0.0015632517202184004,-0.006475848147116864,OC2-COUPLED,4,,
bank_marketing_subscription,2026082801,ft_transformer,classification,0.2124643629252409,0.2089401648189314,0.003524198106309495,0.01658724342185114,OC2-COUPLED,4,,
bank_marketing_subscription,2026082801,mlp,classification,0.1800118409641169,0.1808246948531414,-0.0008128538890244952,-0.004515557891475191,OC2-COUPLED,4,,
bank_marketing_subscription,2026082801,resnet,classification,0.212621768004522,0.21754653993998,-0.004924771935457983,-0.023162124845811854,OC2-COUPLED,4,,
