dataset,task,model,seed,representation,bins,max_cardinality,variance_columns,utility_columns,utility_statistics,top8_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
churn,binclass,mlp,0,baseline_ple,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,502273,384,8,0.85375,0.8445,2.2456197689753026,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,variance_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},603,502573,372,7,0.85125,0.846,2.0144303059205413,1,,gelu,0.376342715226563,0.8281609807033536,nan
churn,binclass,mlp,0,utility_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,502273,384,8,0.85375,0.8445,1.9643486449494958,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,utility_top8,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,502273,384,8,0.85375,0.8445,1.9839469969738275,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,all_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},618,501841,369,4,0.8625,0.8475,1.6758530479855835,1;2;4,,gelu,0.3627341364160081,0.8381478550970076,nan
churn,binclass,resnet,0,baseline_ple,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,1390849,384,9,0.858125,0.8515,2.4442156460136175,,,gelu,0.3610879952287073,0.8417523841252654,nan
churn,binclass,resnet,0,variance_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},603,1389661,380,9,0.859375,0.849,2.478948794770986,1,,gelu,0.36513035428442137,0.837865600577465,nan
churn,binclass,resnet,0,utility_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,1390849,384,9,0.858125,0.8515,3.0949575470294803,,,gelu,0.3610879952287073,0.8417523841252654,nan
churn,binclass,resnet,0,utility_top8,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,1390849,384,9,0.858125,0.8515,2.4904739689081907,,,gelu,0.3610879952287073,0.8417523841252654,nan
churn,binclass,resnet,0,all_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},618,1388657,379,7,0.855,0.847,2.5711340620182455,1;2;4,,gelu,0.3710083689195519,0.8356276152886322,nan
