dataset,task,seed,bins,left_column,right_column,left_cardinality,right_cardinality,pair_cardinality,mean_fit_cardinality,baseline_loss,corrected_loss,relative_gain,fold_wins
higgs-small,binclass,0,128,8,12,3,3,9,9.0,0.5969087783559903,0.5971693837423094,-0.0004365916464436552,2
higgs-small,binclass,0,128,8,16,3,3,9,9.0,0.5969087783559903,0.5971295575966791,-0.000369870989830008,1
higgs-small,binclass,0,128,8,20,3,3,9,9.0,0.5969087783559903,0.5971292506752186,-0.0003693568049635795,0
higgs-small,binclass,0,128,12,16,3,3,9,9.0,0.5969087783559903,0.5971387911974011,-0.0003853400213752573,1
higgs-small,binclass,0,128,12,20,3,3,9,9.0,0.5969087783559903,0.5971008455748624,-0.0003217698010759664,0
higgs-small,binclass,0,128,16,20,3,3,9,9.0,0.5969087783559903,0.597068544939907,-0.0002676566164041488,0
higgs-small,binclass,1,128,8,12,3,3,9,9.0,0.5963058756456889,0.5965193464970521,-0.0003579888444533447,3
higgs-small,binclass,1,128,8,16,3,3,9,9.0,0.5963058756456889,0.5967833487912166,-0.0008007184987246553,1
higgs-small,binclass,1,128,8,20,3,3,9,9.0,0.5963058756456889,0.5965571884175027,-0.00042144943069973587,0
higgs-small,binclass,1,128,12,16,3,3,9,9.0,0.5963058756456889,0.5965519248305404,-0.0004126224390881067,1
higgs-small,binclass,1,128,12,20,3,3,9,9.0,0.5963058756456889,0.5964918342153879,-0.0003118509766444646,0
higgs-small,binclass,1,128,16,20,3,3,9,9.0,0.5963058756456889,0.596706810722693,-0.0006723647936052583,0
higgs-small,binclass,2,128,8,12,3,3,9,9.0,0.5965216537972378,0.5968937495464297,-0.0006237757620755635,2
higgs-small,binclass,2,128,8,16,3,3,9,9.0,0.5965216537972378,0.5969231905520749,-0.0006731302246633996,0
higgs-small,binclass,2,128,8,20,3,3,9,9.0,0.5965216537972378,0.5966653072971814,-0.00024081858391755345,1
higgs-small,binclass,2,128,12,16,3,3,9,9.0,0.5965216537972378,0.5969182811826116,-0.0006649002309455867,1
higgs-small,binclass,2,128,12,20,3,3,9,9.0,0.5965216537972378,0.596705456529862,-0.00030812415853502306,0
higgs-small,binclass,2,128,16,20,3,3,9,9.0,0.5965216537972378,0.5967008554460714,-0.00030041097031924876,0
