dataset,task,model,representation,runs,test_mean,test_std,primary_gain_mean,primary_gain_std,loss_gain_pct_mean,wins,reused
adult,binclass,mlp,baseline_ple,3,0.8594271441148168,0.001612105700716945,0.0,0.0,0.0,0,0
adult,binclass,mlp,residual_map_a0,3,0.873717830600086,0.0010720903680434032,1.4290686485269173,0.13366090325286648,8.808993127541585,3,0
adult,binclass,mlp,residual_map_a100,3,0.873554040497103,0.0006845711155047975,1.4126896382286145,0.2063487171368926,8.129965578331046,3,0
adult,binclass,mlp,residual_map_a20,3,0.8734926192084843,0.0010806578809980211,1.4065475093667512,0.20191324179004694,8.359235231620987,3,0
adult,binclass,mlp,residual_map_a5,3,0.8734107241569928,0.0006018032658394858,1.3983580042175998,0.12049987895552766,8.82381768979772,3,0
adult,binclass,mlp,utility_identity,3,0.8721822983846201,0.0005235842127856341,1.27551542698033,0.10899274536130953,8.252972215019946,3,0
adult,binclass,resnet,baseline_ple,3,0.8601846733411134,0.0014062956625165793,0.0,0.0,0.0,0,0
adult,binclass,resnet,residual_map_a0,3,0.8728579325594251,0.0013521986549522586,1.2673259218311788,0.25336229853712766,8.08679340423832,3,0
adult,binclass,resnet,residual_map_a100,3,0.8713019265810864,0.00027620616184984503,1.1117253239973035,0.1530199778150786,6.908133472553217,3,0
adult,binclass,resnet,residual_map_a20,3,0.8731445652396453,0.0006918799110912813,1.2959891898532083,0.07284747814285411,7.548408161599337,3,0
adult,binclass,resnet,residual_map_a5,3,0.8732674078168827,0.0005122533834202136,1.3082734475769353,0.15203061413702587,8.142443431388912,3,0
adult,binclass,resnet,utility_identity,3,0.8722641934361116,0.0005983104721742069,1.2079520094998315,0.09637902910091327,7.702162087599373,3,0
adult,binclass,tabm,baseline_ple,3,0.8622729971541468,0.0007839072014035404,0.0,0.0,0.0,0,0
adult,binclass,tabm,residual_map_a0,3,0.8737997256515775,0.00020267991189344678,1.15267284974306,0.06545202941320438,8.387762484419234,3,0
adult,binclass,tabm,residual_map_a100,3,0.8745982024036199,0.001030625714935869,1.2325205249472855,0.17662106607857503,8.081256791499625,3,0
adult,binclass,tabm,residual_map_a20,3,0.8748029400323486,0.0011881840287080517,1.2529942878201639,0.19429590179339098,8.197563274929015,3,0
adult,binclass,tabm,residual_map_a5,3,0.8749462563724587,0.0010531557152191,1.2673259218311788,0.17726069915372328,8.44313323228903,3,0
adult,binclass,tabm,utility_identity,3,0.8730217226624082,0.0005073198490413697,1.0748725508261225,0.03916861468318675,8.001752636955121,3,0
black-friday,regression,mlp,baseline_ple,3,0.692679226398468,0.0007956771668290286,0.0,0.0,0.0,0,0
black-friday,regression,mlp,residual_map_a0,3,0.693251391251882,0.00045542042819616505,-0.08265872839431058,0.05016218476006126,-0.16540651788404823,0,0
black-friday,regression,mlp,residual_map_a100,3,0.6933387319246928,0.0004928114200761864,-0.09531153379028595,0.10955486443872565,-0.19083328361251714,1,0
black-friday,regression,mlp,residual_map_a20,3,0.6928845246632894,0.0008064144874377667,-0.029638544820293183,0.020108775309488874,-0.059286463875533414,0,0
black-friday,regression,mlp,residual_map_a5,3,0.6929353872934977,0.0007682884640139828,-0.03698660858039505,0.013642105366490387,-0.0739925012236692,0,0
black-friday,regression,mlp,utility_identity,3,0.6924668351809183,0.00010414919021792714,0.030547031380416395,0.10039838998101994,0.06098541354303778,2,0
black-friday,regression,resnet,baseline_ple,3,0.6928582986195883,0.0024168940566486673,0.0,0.0,0.0,0,0
black-friday,regression,resnet,residual_map_a0,3,0.6941279371579488,0.0007672181473965402,-0.18412273717665484,0.25621337147900497,-0.36923082691258485,1,0
black-friday,regression,resnet,residual_map_a100,3,0.6930792331695557,0.000580443559740169,-0.03294156481300244,0.30993116199542403,-0.06685812322227795,1,0
black-friday,regression,resnet,residual_map_a20,3,0.6942141453425089,0.0002074036399265628,-0.19682825447412244,0.32722933378909264,-0.3951156544564077,1,0
black-friday,regression,resnet,residual_map_a5,3,0.6933986147244772,0.0012411966775708152,-0.07877523209340885,0.2618449245436053,-0.15828576724303306,1,0
black-friday,regression,resnet,utility_identity,3,0.6930617094039917,0.0026817803375864253,-0.029331011693340483,0.14947199316823473,-0.05888745519357739,1,0
black-friday,regression,tabm,baseline_ple,3,0.6879347761472067,0.00012474564703070327,0.0,0.0,0.0,0,0
black-friday,regression,tabm,residual_map_a0,3,0.6885170936584473,0.00024056473521033244,-0.08465290253717428,0.04511128108149105,-0.16940182704193865,0,0
black-friday,regression,tabm,residual_map_a100,3,0.6882190505663554,0.0006084244413503151,-0.04132955554425944,0.0939625333584624,-0.08275986203406964,1,0
black-friday,regression,tabm,residual_map_a20,3,0.6883620023727417,0.0001850827845632673,-0.062109245328490305,0.04122718582143497,-0.1242716355232047,0,0
black-friday,regression,tabm,residual_map_a5,3,0.6883513132731119,0.00039785400553932725,-0.06055735121397917,0.06855953917480709,-0.12119396272234047,1,0
black-friday,regression,tabm,utility_identity,3,0.6877077221870422,0.00024025561491326496,0.03300508845533601,0.030086343959562035,0.06599143371084505,2,0
california,regression,mlp,baseline_ple,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0,0
california,regression,mlp,residual_map_a0,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0,3
california,regression,mlp,residual_map_a100,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0,3
california,regression,mlp,residual_map_a20,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0,3
california,regression,mlp,residual_map_a5,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0,3
california,regression,mlp,utility_identity,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0,3
california,regression,resnet,baseline_ple,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0,0
california,regression,resnet,residual_map_a0,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0,3
california,regression,resnet,residual_map_a100,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0,3
california,regression,resnet,residual_map_a20,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0,3
california,regression,resnet,residual_map_a5,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0,3
california,regression,resnet,utility_identity,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0,3
california,regression,tabm,baseline_ple,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0,0
california,regression,tabm,residual_map_a0,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0,3
california,regression,tabm,residual_map_a100,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0,3
california,regression,tabm,residual_map_a20,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0,3
california,regression,tabm,residual_map_a5,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0,3
california,regression,tabm,utility_identity,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0,3
churn,binclass,mlp,baseline_ple,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0,0
churn,binclass,mlp,residual_map_a0,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0,3
churn,binclass,mlp,residual_map_a100,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0,3
churn,binclass,mlp,residual_map_a20,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0,3
churn,binclass,mlp,residual_map_a5,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0,3
churn,binclass,mlp,utility_identity,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0,3
churn,binclass,resnet,baseline_ple,3,0.8508333333333334,0.0013123346456686458,0.0,0.0,0.0,0,0
churn,binclass,resnet,residual_map_a0,3,0.8508333333333334,0.0013123346456686458,0.0,0.0,0.0,0,3
churn,binclass,resnet,residual_map_a100,3,0.8508333333333334,0.0013123346456686458,0.0,0.0,0.0,0,3
churn,binclass,resnet,residual_map_a20,3,0.8508333333333334,0.0013123346456686458,0.0,0.0,0.0,0,3
churn,binclass,resnet,residual_map_a5,3,0.8508333333333334,0.0013123346456686458,0.0,0.0,0.0,0,3
churn,binclass,resnet,utility_identity,3,0.8508333333333334,0.0013123346456686458,0.0,0.0,0.0,0,3
churn,binclass,tabm,baseline_ple,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0,0
churn,binclass,tabm,residual_map_a0,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0,3
churn,binclass,tabm,residual_map_a100,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0,3
churn,binclass,tabm,residual_map_a20,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0,3
churn,binclass,tabm,residual_map_a5,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0,3
churn,binclass,tabm,utility_identity,3,0.8568333333333333,0.0020548046676563273,0.0,0.0,0.0,0,3
diamond,regression,mlp,baseline_ple,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0,0
diamond,regression,mlp,residual_map_a0,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0,3
diamond,regression,mlp,residual_map_a100,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0,3
diamond,regression,mlp,residual_map_a20,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0,3
diamond,regression,mlp,residual_map_a5,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0,3
diamond,regression,mlp,utility_identity,3,0.1376567035913467,0.001402809220940259,0.0,0.0,0.0,0,3
diamond,regression,resnet,baseline_ple,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0,0
diamond,regression,resnet,residual_map_a0,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0,3
diamond,regression,resnet,residual_map_a100,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0,3
diamond,regression,resnet,residual_map_a20,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0,3
diamond,regression,resnet,residual_map_a5,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0,3
diamond,regression,resnet,utility_identity,3,0.1353984822829564,0.00042225239454778514,0.0,0.0,0.0,0,3
diamond,regression,tabm,baseline_ple,3,0.13423765699068702,0.0007451299733318172,0.0,0.0,0.0,0,0
diamond,regression,tabm,residual_map_a0,3,0.13423765699068702,0.0007451299733318172,0.0,0.0,0.0,0,3
diamond,regression,tabm,residual_map_a100,3,0.13423765699068702,0.0007451299733318172,0.0,0.0,0.0,0,3
diamond,regression,tabm,residual_map_a20,3,0.13423765699068702,0.0007451299733318172,0.0,0.0,0.0,0,3
diamond,regression,tabm,residual_map_a5,3,0.13423765699068702,0.0007451299733318172,0.0,0.0,0.0,0,3
diamond,regression,tabm,utility_identity,3,0.13423765699068702,0.0007451299733318172,0.0,0.0,0.0,0,3
higgs-small,binclass,mlp,baseline_ple,3,0.7168451470338262,0.0008796429735125529,0.0,0.0,0.0,0,0
higgs-small,binclass,mlp,residual_map_a0,3,0.7168451470338262,0.0008796429735125529,0.0,0.0,0.0,0,3
higgs-small,binclass,mlp,residual_map_a100,3,0.7168451470338262,0.0008796429735125529,0.0,0.0,0.0,0,3
higgs-small,binclass,mlp,residual_map_a20,3,0.7168451470338262,0.0008796429735125529,0.0,0.0,0.0,0,3
higgs-small,binclass,mlp,residual_map_a5,3,0.7168451470338262,0.0008796429735125529,0.0,0.0,0.0,0,3
higgs-small,binclass,mlp,utility_identity,3,0.7168451470338262,0.0008796429735125529,0.0,0.0,0.0,0,3
higgs-small,binclass,resnet,baseline_ple,3,0.7194118646948836,0.0013049870962208879,0.0,0.0,0.0,0,0
higgs-small,binclass,resnet,residual_map_a0,3,0.7194118646948836,0.0013049870962208879,0.0,0.0,0.0,0,3
higgs-small,binclass,resnet,residual_map_a100,3,0.7194118646948836,0.0013049870962208879,0.0,0.0,0.0,0,3
higgs-small,binclass,resnet,residual_map_a20,3,0.7194118646948836,0.0013049870962208879,0.0,0.0,0.0,0,3
higgs-small,binclass,resnet,residual_map_a5,3,0.7194118646948836,0.0013049870962208879,0.0,0.0,0.0,0,3
higgs-small,binclass,resnet,utility_identity,3,0.7194118646948836,0.0013049870962208879,0.0,0.0,0.0,0,3
higgs-small,binclass,tabm,baseline_ple,3,0.7247662757096719,0.001526617584179373,0.0,0.0,0.0,0,0
higgs-small,binclass,tabm,residual_map_a0,3,0.7247662757096719,0.001526617584179373,0.0,0.0,0.0,0,3
