dataset,task,model,representation,runs,test_mean,test_std,primary_gain_mean,primary_gain_std,loss_gain_pct_mean,wins,reused
higgs-small,binclass,tabm,residual_map_a100,3,0.7247662757096719,0.001526617584179373,0.0,0.0,0.0,0,3
higgs-small,binclass,tabm,residual_map_a20,3,0.7247662757096719,0.001526617584179373,0.0,0.0,0.0,0,3
higgs-small,binclass,tabm,residual_map_a5,3,0.7247662757096719,0.001526617584179373,0.0,0.0,0.0,0,3
higgs-small,binclass,tabm,utility_identity,3,0.7247662757096719,0.001526617584179373,0.0,0.0,0.0,0,3
house,regression,mlp,baseline_ple,3,32198.733723958332,159.46817960659345,0.0,0.0,0.0,0,0
house,regression,mlp,residual_map_a0,3,32198.733723958332,159.46817960659345,0.0,0.0,0.0,0,3
house,regression,mlp,residual_map_a100,3,32198.733723958332,159.46817960659345,0.0,0.0,0.0,0,3
house,regression,mlp,residual_map_a20,3,32198.733723958332,159.46817960659345,0.0,0.0,0.0,0,3
house,regression,mlp,residual_map_a5,3,32198.733723958332,159.46817960659345,0.0,0.0,0.0,0,3
house,regression,mlp,utility_identity,3,32198.733723958332,159.46817960659345,0.0,0.0,0.0,0,3
house,regression,resnet,baseline_ple,3,32659.8984375,418.88887194783257,0.0,0.0,0.0,0,0
house,regression,resnet,residual_map_a0,3,32659.8984375,418.88887194783257,0.0,0.0,0.0,0,3
house,regression,resnet,residual_map_a100,3,32659.8984375,418.88887194783257,0.0,0.0,0.0,0,3
house,regression,resnet,residual_map_a20,3,32659.8984375,418.88887194783257,0.0,0.0,0.0,0,3
house,regression,resnet,residual_map_a5,3,32659.8984375,418.88887194783257,0.0,0.0,0.0,0,3
house,regression,resnet,utility_identity,3,32659.8984375,418.88887194783257,0.0,0.0,0.0,0,3
house,regression,tabm,baseline_ple,3,31131.400390625,85.20462788652533,0.0,0.0,0.0,0,0
house,regression,tabm,residual_map_a0,3,31131.400390625,85.20462788652533,0.0,0.0,0.0,0,3
house,regression,tabm,residual_map_a100,3,31131.400390625,85.20462788652533,0.0,0.0,0.0,0,3
house,regression,tabm,residual_map_a20,3,31131.400390625,85.20462788652533,0.0,0.0,0.0,0,3
house,regression,tabm,residual_map_a5,3,31131.400390625,85.20462788652533,0.0,0.0,0.0,0,3
house,regression,tabm,utility_identity,3,31131.400390625,85.20462788652533,0.0,0.0,0.0,0,3
microsoft,regression,mlp,baseline_ple,1,0.7571839690208435,0.0,0.0,0.0,0.0,0,0
microsoft,regression,mlp,residual_map_a5,1,0.7571839690208435,0.0,0.0,0.0,0.0,0,1
microsoft,regression,mlp,utility_identity,1,0.7571839690208435,0.0,0.0,0.0,0.0,0,1
microsoft,regression,resnet,baseline_ple,1,0.7569341659545898,0.0,0.0,0.0,0.0,0,0
microsoft,regression,resnet,residual_map_a5,1,0.7569341659545898,0.0,0.0,0.0,0.0,0,1
microsoft,regression,resnet,utility_identity,1,0.7569341659545898,0.0,0.0,0.0,0.0,0,1
microsoft,regression,tabm,baseline_ple,1,0.7521536350250244,0.0,0.0,0.0,0.0,0,0
microsoft,regression,tabm,residual_map_a5,1,0.7521536350250244,0.0,0.0,0.0,0.0,0,1
microsoft,regression,tabm,utility_identity,1,0.7521536350250244,0.0,0.0,0.0,0.0,0,1
