dataset,task,seed,bins,left_column,right_column,left_cardinality,right_cardinality,pair_cardinality,mean_fit_cardinality,baseline_loss,corrected_loss,relative_gain,fold_wins
adult,binclass,1,128,4,5,88,93,523,464.6,0.35818216971466826,0.35792834559427505,0.0007086453259116946,2
adult,binclass,2,128,0,2,73,16,939,913.8,0.3578125523412988,0.3700682627392425,-0.034251762040627416,0
adult,binclass,2,128,0,3,73,116,1179,1028.6,0.3578125523412988,0.3606305733727357,-0.007875690813521123,0
adult,binclass,2,128,0,4,73,88,776,672.6,0.3578125523412988,0.360861047903203,-0.008519811677809526,0
adult,binclass,2,128,0,5,73,93,2418,2207.0,0.3578125523412988,0.36626658572903237,-0.023626989417827166,0
adult,binclass,2,128,2,3,16,116,545,488.0,0.3578125523412988,0.35381240552747156,0.01117944797535129,5
adult,binclass,2,128,2,4,16,88,361,322.2,0.3578125523412988,0.35545919240710794,0.006577074836508496,5
adult,binclass,2,128,2,5,16,93,823,767.8,0.3578125523412988,0.36389964539680364,-0.017011960636022363,0
adult,binclass,2,128,3,4,116,88,203,196.8,0.3578125523412988,0.34113028104166476,0.04662293480336503,5
adult,binclass,2,128,3,5,116,93,764,673.2,0.3578125523412988,0.35517801474544375,0.007362898754155712,4
adult,binclass,2,128,4,5,88,93,523,464.4,0.3578125523412988,0.3589039910938622,-0.003050308731266459,3
churn,binclass,0,128,1,2,67,11,607,585.6,0.37566514872944723,0.399960091551912,-0.06467180387809114,0
churn,binclass,0,128,1,4,67,4,195,188.2,0.37566514872944723,0.40500887487052645,-0.07811138786848836,0
churn,binclass,0,128,2,4,11,4,43,42.6,0.37566514872944723,0.39482883716607686,-0.051012686434831506,0
churn,binclass,1,128,1,2,67,11,607,585.8,0.37375230163257034,0.40268385404741464,-0.07740835919530048,0
churn,binclass,1,128,1,4,67,4,195,188.4,0.37375230163257034,0.39798000020659346,-0.06482287458350149,0
churn,binclass,1,128,2,4,11,4,43,43.0,0.37375230163257034,0.38663286103312855,-0.03446282295599312,0
churn,binclass,2,128,1,2,67,11,607,584.4,0.3764909986650437,0.4022837112163819,-0.0685081785296159,0
churn,binclass,2,128,1,4,67,4,195,188.0,0.3764909986650437,0.4063476837955787,-0.07930252047565643,0
churn,binclass,2,128,2,4,11,4,43,42.8,0.3764909986650437,0.39104924721286155,-0.038668251298007834,0
