dataset,task,seed,bins,left_column,right_column,left_cardinality,right_cardinality,pair_cardinality,mean_fit_cardinality,baseline_loss,corrected_loss,relative_gain,fold_wins
black-friday,regression,0,128,0,1,21,12,245,243.4,0.505442853850885,0.5051980412898759,0.000484352601177325,5
black-friday,regression,0,128,0,2,21,14,293,293.0,0.505442853850885,0.5061314342107289,-0.0013623307849694418,0
black-friday,regression,0,128,0,3,21,15,313,313.0,0.505442853850885,0.5060577063450543,-0.0012164629284691657,0
black-friday,regression,0,128,1,2,12,14,54,54.0,0.505442853850885,0.5005379593687694,0.00970415239773605,5
black-friday,regression,0,128,1,3,12,15,60,60.0,0.505442853850885,0.499972181941184,0.010823522121286185,5
black-friday,regression,0,128,2,3,14,15,70,70.0,0.505442853850885,0.49611502103575533,0.0184547723725096,5
black-friday,regression,1,128,0,1,21,12,245,243.4,0.5055089251859739,0.5051709660335401,0.000668552295707754,5
black-friday,regression,1,128,0,2,21,14,293,293.0,0.5055089251859739,0.5060639186273205,-0.0010978904895544526,0
black-friday,regression,1,128,0,3,21,15,313,313.0,0.5055089251859739,0.5060766494651247,-0.0011230746894169813,0
black-friday,regression,1,128,1,2,12,14,54,54.0,0.5055089251859739,0.5007080378048276,0.009497136730830297,5
black-friday,regression,1,128,1,3,12,15,60,60.0,0.5055089251859739,0.5000948638043737,0.010710120260702347,5
black-friday,regression,1,128,2,3,14,15,70,70.0,0.5055089251859739,0.49623243412267803,0.018350795804214726,5
black-friday,regression,2,128,0,1,21,12,245,243.4,0.5056162695517197,0.5054980984915006,0.000233716886372788,2
black-friday,regression,2,128,0,2,21,14,293,292.8,0.5056162695517197,0.5064274720298317,-0.0016043836540926076,0
black-friday,regression,2,128,0,3,21,15,313,313.0,0.5056162695517197,0.5065855193275275,-0.001916967143219404,0
black-friday,regression,2,128,1,2,12,14,54,54.0,0.5056162695517197,0.500685018468027,0.00975295175541857,5
black-friday,regression,2,128,1,3,12,15,60,60.0,0.5056162695517197,0.5002732511145037,0.010567338827829042,5
black-friday,regression,2,128,2,3,14,15,70,70.0,0.5056162695517197,0.49627465561233464,0.018475698868763327,5
adult,binclass,0,128,0,2,73,16,939,911.8,0.3580787763529199,0.3703748850373423,-0.03433911612874655,0
adult,binclass,0,128,0,3,73,116,1179,1031.2,0.3580787763529199,0.35982855884533604,-0.004886585321358359,1
adult,binclass,0,128,0,4,73,88,776,671.8,0.3580787763529199,0.3611510474193321,-0.008579874790971179,0
adult,binclass,0,128,0,5,73,93,2418,2202.8,0.3580787763529199,0.36850747741036244,-0.029124041261702933,0
adult,binclass,0,128,2,3,16,116,545,489.6,0.3580787763529199,0.35389649756378516,0.011679772902856206,5
adult,binclass,0,128,2,4,16,88,361,322.2,0.3580787763529199,0.35622461292249175,0.005178088043399442,5
adult,binclass,0,128,2,5,16,93,823,767.6,0.3580787763529199,0.36690447331978326,-0.02464736127830379,0
adult,binclass,0,128,3,4,116,88,203,197.2,0.3580787763529199,0.3416286798065871,0.04593988148049211,5
adult,binclass,0,128,3,5,116,93,764,673.8,0.3580787763529199,0.35645671546744756,0.004529899543316276,4
adult,binclass,0,128,4,5,88,93,523,465.2,0.3580787763529199,0.35874992924930776,-0.0018743163256522567,1
adult,binclass,1,128,0,2,73,16,939,912.8,0.35818216971466826,0.36988575192376494,-0.03267494364228089,0
adult,binclass,1,128,0,3,73,116,1179,1029.0,0.35818216971466826,0.36026318803378826,-0.005809943919815326,0
adult,binclass,1,128,0,4,73,88,776,671.6,0.35818216971466826,0.36069704423738413,-0.007021216395889407,0
adult,binclass,1,128,0,5,73,93,2418,2204.0,0.35818216971466826,0.36739064082859324,-0.02570890427421483,0
adult,binclass,1,128,2,3,16,116,545,488.8,0.35818216971466826,0.35363247653859714,0.012702176603864614,5
adult,binclass,1,128,2,4,16,88,361,320.6,0.35818216971466826,0.35589224096870964,0.006393195808107384,5
adult,binclass,1,128,2,5,16,93,823,769.0,0.35818216971466826,0.3672328280276398,-0.025268310592292682,0
adult,binclass,1,128,3,4,116,88,203,196.4,0.35818216971466826,0.34190721027939214,0.0454376594129209,5
adult,binclass,1,128,3,5,116,93,764,672.4,0.35818216971466826,0.35554132218059153,0.007372917351470779,5
