stage,split_seed,model_seed,configuration,selected_columns,selected_features,mode_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,model,activation
split_stability,20260825,0,baseline_ple,,,,348,1318657,384,14,0.8601259020420697,0.8608807812787912,9.580500015057623,,,resnet,gelu
split_stability,20260825,0,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,653,1315771,366,10,0.8678028558268079,0.8716295067870524,9.000882467022166,3;4;5,,resnet,gelu
split_stability,20260825,0,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,351,1319809,384,20,0.8650391524643022,0.8600823045267489,12.142393202055246,3;4;5,,resnet,gelu
split_stability,20260825,1,baseline_ple,,,,348,1318657,384,18,0.8608935974205435,0.8603279896812235,10.99682081490755,,,resnet,gelu
split_stability,20260825,1,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,653,1315771,366,13,0.8721019499462613,0.8668386462747989,9.595007713884115,3;4;5,,resnet,gelu
split_stability,20260825,1,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,351,1319809,384,22,0.8604329801934593,0.8601437258153676,11.607318964088336,3;4;5,,resnet,gelu
split_stability,20260826,0,baseline_ple,,,,349,1319041,384,14,0.8581298940580377,0.8653645353479515,8.901084235869348,,,resnet,gelu
split_stability,20260826,0,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,651,1321568,367,6,0.8694917856594503,0.873042196425281,7.042935539968312,3;4;5,,resnet,gelu
split_stability,20260826,0,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,352,1320193,384,17,0.8565945033010901,0.8636447392666298,9.613955156179145,3;4;5,,resnet,gelu
split_stability,20260826,1,baseline_ple,,,,349,1319041,384,5,0.8549055734684478,0.858731036177139,5.790677937911823,,,resnet,gelu
split_stability,20260826,1,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,651,1321568,367,5,0.8681099339781975,0.8699097107057306,6.023568670032546,3;4;5,,resnet,gelu
split_stability,20260826,1,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,352,1320193,384,19,0.8565945033010901,0.8593452490633253,8.36444518296048,3;4;5,,resnet,gelu
split_stability,20260827,0,baseline_ple,,,,350,1319425,384,15,0.862582527253186,0.8654873779251888,7.100654873996973,,,resnet,gelu
split_stability,20260827,0,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,656,1316869,366,6,0.8719484108705665,0.8769731588968737,4.987503865966573,3;4;5,,resnet,gelu
split_stability,20260827,0,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,15,0.8621219100261016,0.8670843314292734,7.067564672091976,3;4;5,,resnet,gelu
split_stability,20260827,1,baseline_ple,,,,350,1319425,384,4,0.8607400583448488,0.8641975308641975,4.340043516131118,,,resnet,gelu
split_stability,20260827,1,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,656,1316869,366,7,0.8737908797789037,0.8759289969903569,5.239812430925667,3;4;5,,resnet,gelu
split_stability,20260827,1,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,4,0.8610471364962383,0.8643203734414348,4.395224089967087,3;4;5,,resnet,gelu
split_stability,20260828,0,baseline_ple,,,,347,1318273,384,10,0.8636573007830493,0.8597137767950371,5.805017340928316,,,resnet,gelu
split_stability,20260828,0,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,645,1319366,367,18,0.8721019499462613,0.8709538726122474,8.622745140921324,3;4;5,,resnet,gelu
split_stability,20260828,0,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,350,1319425,384,14,0.8608935974205435,0.8600823045267489,6.770786582026631,3;4;5,,resnet,gelu
split_stability,20260828,1,baseline_ple,,,,347,1318273,384,8,0.8627360663288807,0.861249309010503,5.242785403970629,,,resnet,gelu
split_stability,20260828,1,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,645,1319366,367,13,0.871641332719177,0.8722437196732388,7.084603289840743,3;4;5,,resnet,gelu
split_stability,20260828,1,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,350,1319425,384,6,0.8636573007830493,0.8582396658681899,4.735824703006074,3;4;5,,resnet,gelu
split_stability,20260829,0,baseline_ple,,,,350,1319425,384,7,0.866421004145555,0.8573183465389104,5.094829987967387,,,resnet,gelu
split_stability,20260829,0,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,654,1322669,367,9,0.8765545831414094,0.8696640255512561,5.852118952898309,3;4;5,,resnet,gelu
split_stability,20260829,0,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,4,0.868417012129587,0.8583010871568085,4.4086720331106335,3;4;5,,resnet,gelu
split_stability,20260829,1,baseline_ple,,,,350,1319425,384,14,0.8704130201136189,0.8584853510226644,6.768846229184419,,,resnet,gelu
split_stability,20260829,1,diagnostic_identity,3;4;5,capital_gain;capital_loss;hours_per_week,,654,1322669,367,14,0.8757868877629357,0.8654259566365702,7.210573757067323,3;4;5,,resnet,gelu
split_stability,20260829,1,diagnostic_modes,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,14,0.868417012129587,0.8577482955592408,6.826608052942902,3;4;5,,resnet,gelu
