dataset,task,model,representation,runs,test_mean,test_std,primary_gain_mean,primary_gain_std,wins
adult,binclass,mlp,additive_identity_pair,3,0.8721822983846201,0.0005235842127856341,1.27551542698033,0.10899274536130953,3
adult,binclass,mlp,additive_residual_pair,3,0.8734107241569928,0.0006018032658394858,1.3983580042175998,0.12049987895552766,3
adult,binclass,mlp,baseline_ple,3,0.8594271441148168,0.001612105700716945,0.0,0.0,0
adult,binclass,mlp,crossed_identity_pair,3,0.872366562250476,0.0009368844001103535,1.2939418135659204,0.18510365132847129,3
adult,binclass,mlp,crossed_residual_pair,3,0.8731855127653912,0.0007676978588232741,1.375836865057434,0.166405223071605,3
adult,binclass,resnet,additive_identity_pair,3,0.8722641934361116,0.0005983104721742069,1.2079520094998315,0.09637902910091327,3
adult,binclass,resnet,additive_residual_pair,3,0.8732674078168827,0.0005122533834202136,1.3082734475769353,0.15203061413702587,3
adult,binclass,resnet,baseline_ple,3,0.8601846733411134,0.0014062956625165793,0.0,0.0,0
adult,binclass,resnet,crossed_identity_pair,3,0.8713838216325779,0.0008070922484051731,1.119914829146455,0.17669225076585238,3
adult,binclass,resnet,crossed_residual_pair,3,0.873205986528264,0.0011549089757934927,1.3021313187150718,0.2122962372797029,3
adult,binclass,tabm,additive_identity_pair,3,0.8730217226624082,0.0005073198490413697,1.0748725508261225,0.03916861468318675,3
adult,binclass,tabm,additive_residual_pair,3,0.8749462563724587,0.0010531557152191,1.2673259218311788,0.17726069915372328,3
adult,binclass,tabm,baseline_ple,3,0.8622729971541468,0.0007839072014035404,0.0,0.0,0
adult,binclass,tabm,crossed_identity_pair,3,0.8721004033331287,0.0012081255035056703,0.9827406178981701,0.0508969674043609,3
adult,binclass,tabm,crossed_residual_pair,3,0.8739839895174334,0.0004550521215095872,1.1710992363286505,0.046597492687758695,3
black-friday,regression,mlp,additive_identity_pair,3,0.6931799252827963,0.0005894592444254631,-0.07245377402017923,0.16717203338044845,2
black-friday,regression,mlp,additive_residual_pair,3,0.6936258872350057,0.0008205314478030432,-0.1369348362610748,0.23357948461534775,1
black-friday,regression,mlp,baseline_ple,3,0.692679226398468,0.0007956771668290286,0.0,0.0,0
black-friday,regression,mlp,crossed_identity_pair,3,0.6922074556350708,0.00019953220829831082,0.06796782633437402,0.12528296953346096,2
black-friday,regression,mlp,crossed_residual_pair,3,0.6911301414171854,0.00015098340342406958,0.22352981308063868,0.09309511939895365,3
black-friday,regression,resnet,additive_identity_pair,3,0.6935130556424459,0.0006230436888242351,-0.09541700881295784,0.2637833342859983,1
black-friday,regression,resnet,additive_residual_pair,3,0.6941355466842651,0.0010514683466655327,-0.18524557299310362,0.28541632431401154,2
black-friday,regression,resnet,baseline_ple,3,0.6928582986195883,0.0024168940566486673,0.0,0.0,0
black-friday,regression,resnet,crossed_identity_pair,3,0.6917110284169515,0.0008255491418434117,0.1640785090659889,0.43994212674617733,2
black-friday,regression,resnet,crossed_residual_pair,3,0.6921694874763489,0.0001572174470842977,0.0981837553673595,0.3539691465119986,2
black-friday,regression,tabm,additive_identity_pair,3,0.6883283058802286,8.35043322663208e-05,-0.05720577991837709,0.008476006080595842,0
black-friday,regression,tabm,additive_residual_pair,3,0.6881696780522665,0.00027714426887736336,-0.03415383891494064,0.05358765687630551,2
black-friday,regression,tabm,baseline_ple,3,0.6879347761472067,0.00012474564703070327,0.0,0.0,0
black-friday,regression,tabm,crossed_identity_pair,3,0.6867531538009644,0.00031871105000434794,0.17175559466692847,0.05864967621820863,3
black-friday,regression,tabm,crossed_residual_pair,3,0.6872997681299845,0.0002458130109297182,0.09230627087852207,0.031306420666444894,3
microsoft,regression,mlp,additive_identity_pair,1,0.7560189366340637,0.0,0.15386384741958456,0.0,1
microsoft,regression,mlp,additive_residual_pair,1,0.755161702632904,0.0,0.2670772851351512,0.0,1
microsoft,regression,mlp,baseline_ple,1,0.7571839690208435,0.0,0.0,0.0,0
microsoft,regression,mlp,crossed_identity_pair,1,0.7551071643829346,0.0,0.2742800591241474,0.0,1
microsoft,regression,mlp,crossed_residual_pair,1,0.7564593553543091,0.0,0.09569849550188732,0.0,1
microsoft,regression,resnet,additive_identity_pair,1,0.7562366724014282,0.0,0.09214718855793666,0.0,1
microsoft,regression,resnet,additive_residual_pair,1,0.7571645975112915,0.0,-0.030442747476071026,0.0,0
microsoft,regression,resnet,baseline_ple,1,0.7569341659545898,0.0,0.0,0.0,0
microsoft,regression,resnet,crossed_identity_pair,1,0.7560325264930725,0.0,0.11911728946469902,0.0,1
microsoft,regression,resnet,crossed_residual_pair,1,0.7581620216369629,0.0,-0.16221432954140277,0.0,0
microsoft,regression,tabm,additive_identity_pair,1,0.7525525093078613,0.0,-0.05303095860510511,0.0,0
microsoft,regression,tabm,additive_residual_pair,1,0.7525335550308228,0.0,-0.05051095788238792,0.0,0
microsoft,regression,tabm,baseline_ple,1,0.7521536350250244,0.0,0.0,0.0,0
microsoft,regression,tabm,crossed_identity_pair,1,0.7519171833992004,0.0,0.0314366127893682,0.0,1
microsoft,regression,tabm,crossed_residual_pair,1,0.7521403431892395,0.0,0.0017671703181318648,0.0,1
