column,feature,selected,value,count,frequency,target_rate,mean_oof_residual
3,capital_gain,1,0.0,23856,0.9158476658476659,0.20653085177733066,6.716154489100687e-05
3,capital_gain,1,114.0,4,0.00015356265356265356,0.0,-0.01805632520176921
3,capital_gain,1,594.0,28,0.001074938574938575,0.0,-0.014152703957814821
3,capital_gain,1,914.0,8,0.0003071253071253071,0.0,-0.02804582838824712
3,capital_gain,1,991.0,3,0.00011517199017199018,0.0,-0.0037664198112947467
3,capital_gain,1,1055.0,22,0.0008445945945945946,0.0,-0.0022540981734960387
3,capital_gain,1,1086.0,3,0.00011517199017199018,0.0,-0.006185139953227757
3,capital_gain,1,1111.0,1,3.839066339066339e-05,0.0,-0.0007937520323989098
3,capital_gain,1,1151.0,8,0.0003071253071253071,0.0,-0.02076114076063042
3,capital_gain,1,1173.0,3,0.00011517199017199018,0.0,-0.04360376622669195
3,capital_gain,1,1409.0,4,0.00015356265356265356,0.0,-0.004615545924671786
3,capital_gain,1,1424.0,2,7.678132678132678e-05,0.0,-0.008750349025308983
3,capital_gain,1,1455.0,1,3.839066339066339e-05,0.0,-0.03509707092276534
3,capital_gain,1,1471.0,4,0.00015356265356265356,0.0,-0.01918420635214512
3,capital_gain,1,1506.0,14,0.0005374692874692875,0.0,-0.027912114347674648
3,capital_gain,1,1639.0,1,3.839066339066339e-05,0.0,-0.005167958288004427
3,capital_gain,1,1797.0,7,0.00026873464373464373,0.0,-0.0033560224655681437
3,capital_gain,1,1831.0,7,0.00026873464373464373,0.0,-0.016125602750038492
3,capital_gain,1,1848.0,5,0.00019195331695331694,0.0,-0.005341484766289636
3,capital_gain,1,2009.0,2,7.678132678132678e-05,0.0,-0.01943736338333083
3,capital_gain,1,2036.0,2,7.678132678132678e-05,0.0,-0.0032473800680056946
3,capital_gain,1,2050.0,4,0.00015356265356265356,0.0,-0.012549474492059835
3,capital_gain,1,2062.0,1,3.839066339066339e-05,0.0,-0.0003009058080358797
3,capital_gain,1,2105.0,9,0.0003455159705159705,0.0,-0.01664026647609345
3,capital_gain,1,2174.0,41,0.001574017199017199,0.0,-0.01647967093180715
3,capital_gain,1,2176.0,20,0.0007678132678132678,0.0,-0.006383082566492414
3,capital_gain,1,2202.0,12,0.0004606879606879607,0.0,-0.020128824967070885
3,capital_gain,1,2228.0,5,0.00019195331695331694,0.0,-0.04653355966681687
3,capital_gain,1,2290.0,3,0.00011517199017199018,0.0,-0.01993622802132217
3,capital_gain,1,2329.0,4,0.00015356265356265356,0.0,-0.036140096501789225
3,capital_gain,1,2346.0,5,0.00019195331695331694,0.0,-0.010240524651031138
3,capital_gain,1,2354.0,9,0.0003455159705159705,0.0,-0.024941209165885343
3,capital_gain,1,2407.0,15,0.0005758599508599509,0.0,-0.05646506785014086
3,capital_gain,1,2414.0,5,0.00019195331695331694,0.0,-0.018496013075316724
3,capital_gain,1,2463.0,10,0.0003839066339066339,0.0,-0.07701545297941592
3,capital_gain,1,2538.0,1,3.839066339066339e-05,0.0,-0.0544742750725868
3,capital_gain,1,2580.0,8,0.0003071253071253071,0.0,-0.05906542711207619
3,capital_gain,1,2597.0,17,0.0006526412776412776,0.0,-0.033904391619763566
3,capital_gain,1,2635.0,10,0.0003839066339066339,0.0,-0.04478871868873018
3,capital_gain,1,2653.0,4,0.00015356265356265356,0.0,-0.07650467407381799
3,capital_gain,1,2829.0,25,0.0009597665847665848,0.0,-0.2467720356839774
3,capital_gain,1,2885.0,18,0.000691031941031941,0.0,-0.2664116746023033
3,capital_gain,1,2907.0,10,0.0003839066339066339,0.0,-0.13767489583971382
3,capital_gain,1,2936.0,2,7.678132678132678e-05,0.0,-0.19946841682816863
3,capital_gain,1,2961.0,2,7.678132678132678e-05,0.0,-0.03459401245696031
3,capital_gain,1,2964.0,9,0.0003455159705159705,0.0,-0.06154781467007851
3,capital_gain,1,2977.0,8,0.0003071253071253071,0.0,-0.17540138189992519
3,capital_gain,1,2993.0,1,3.839066339066339e-05,0.0,-0.03889450550071732
3,capital_gain,1,3103.0,77,0.0029560810810810812,0.935064935064935,0.5834026640077367
3,capital_gain,1,3137.0,32,0.0012285012285012285,0.0,-0.25303227031703973
3,capital_gain,1,3273.0,6,0.00023034398034398035,0.0,-0.08944416271459205
3,capital_gain,1,3325.0,45,0.0017275798525798526,0.0,-0.12920578744115005
3,capital_gain,1,3411.0,17,0.0006526412776412776,0.0,-0.057707366706614055
3,capital_gain,1,3418.0,4,0.00015356265356265356,0.0,-0.008538541376493465
3,capital_gain,1,3432.0,4,0.00015356265356265356,0.0,-0.04266446019578029
3,capital_gain,1,3456.0,2,7.678132678132678e-05,0.0,-0.05103314460043656
3,capital_gain,1,3464.0,19,0.0007294226044226044,0.0,-0.08228083300538697
3,capital_gain,1,3471.0,8,0.0003071253071253071,0.0,-0.06650397648205679
3,capital_gain,1,3674.0,14,0.0005374692874692875,0.0,-0.06000803719393546
3,capital_gain,1,3781.0,11,0.0004222972972972973,0.0,-0.1565395886925754
3,capital_gain,1,3818.0,5,0.00019195331695331694,0.0,-0.1080734473725405
3,capital_gain,1,3887.0,5,0.00019195331695331694,0.0,-0.06889810783640657
3,capital_gain,1,3908.0,23,0.000882985257985258,0.0,-0.16934701006645617
3,capital_gain,1,3942.0,11,0.0004222972972972973,0.0,-0.10635060919143467
3,capital_gain,1,4064.0,34,0.0013052825552825552,0.0,-0.25939750605526846
3,capital_gain,1,4101.0,14,0.0005374692874692875,0.0,-0.08442159800161818
3,capital_gain,1,4386.0,54,0.002073095823095823,0.8703703703703703,0.48409411399011987
3,capital_gain,1,4416.0,11,0.0004222972972972973,0.0,-0.13913784944487304
3,capital_gain,1,4508.0,8,0.0003071253071253071,0.0,-0.3935761340437798
3,capital_gain,1,4650.0,36,0.001382063882063882,0.0,-0.37993275865238973
3,capital_gain,1,4687.0,2,7.678132678132678e-05,1.0,0.6663861190110834
3,capital_gain,1,4787.0,19,0.0007294226044226044,1.0,0.4398221032686917
3,capital_gain,1,4865.0,14,0.0005374692874692875,0.0,-0.34620808313713686
3,capital_gain,1,4931.0,1,3.839066339066339e-05,0.0,-0.8201336410462162
