dataset,task,model,seed,representation,top_k,utility_columns,utility_statistics,selected_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
adult,binclass,tabm,0,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},350,782832,512,15,0.8616612927990174,0.8624163134942571,9.217758917016909,,16,relu,0.2974401125208667,0.9164424743455359,nan
adult,binclass,tabm,0,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0],""4"":[0.0]}",352,783888,512,15,0.862582527253186,0.8622934709170198,9.184476747876033,3;4,16,relu,0.29728950426134226,0.9163865830869664,nan
adult,binclass,tabm,0,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,782400,511,15,0.8619683709504069,0.8614949941649775,10.031422020867467,3;4,16,relu,0.2972294785249227,0.916377675613659,nan
adult,binclass,tabm,0,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,781964,510,15,0.8602794411177644,0.8616178367422148,10.454486030852422,3;4,16,relu,0.29620715483546967,0.9165300122258208,nan
adult,binclass,tabm,0,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,783624,509,15,0.8693382465837556,0.8686198636447393,9.829532932955772,3;4,16,relu,0.2838158292725618,0.9233554472858448,nan
adult,binclass,tabm,0,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,781808,505,9,0.8673422385997236,0.8708924513236288,8.596519466955215,3;4,16,relu,0.27925602837209795,0.9258002977939784,nan
adult,binclass,tabm,0,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,783084,499,15,0.8696453247351451,0.8702782384374425,10.28314369218424,3;4,16,relu,0.279306603441329,0.9263241450446115,nan
adult,binclass,tabm,0,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,782348,486,9,0.8701059419622293,0.8727350899821879,7.4820238628890365,3;4,16,relu,0.27514322490367676,0.9279215101052776,nan
adult,binclass,tabm,0,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},554,783904,472,9,0.8710271764163979,0.8734107241569928,7.732517082011327,3;4,16,relu,0.27346216937046913,0.9287204226407897,nan
adult,binclass,tabm,1,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}",{},350,782832,512,12,0.8593582066635959,0.861249309010503,9.665690400870517,,16,relu,0.2974229549663601,0.9157456004713852,nan
