model,profile,bucket,rows,accuracy_gain_mean,accuracy_gain_std,logloss_gain_pct_mean,logloss_gain_pct_std
mlp,capital_gain,unseen,8,0.0,0.0,-152.66554815759966,56.56485867225033
mlp,capital_gain,1-9,191,5.759162303664918,0.7404259488864405,60.35539111274317,3.0480358128004976
mlp,capital_gain,10-99,629,18.38897721250662,0.8835894011941272,84.2711238593857,3.6411838810069534
mlp,capital_gain,100-999,495,0.20202020202019963,0.16494880422782,79.23816069670009,22.47154999977451
mlp,capital_gain,1000+,14958,0.5348308597406056,0.1608202393605947,3.496536930781783,0.23024019528271172
resnet,capital_gain,unseen,8,0.0,0.0,-213.8812515361778,95.32781293859959
resnet,capital_gain,1-9,191,8.027923211169279,2.1087340268053363,73.23545446744828,3.9557152618680296
resnet,capital_gain,10-99,629,17.59406465288817,0.7149304485019748,86.96620519351545,2.572566673162225
resnet,capital_gain,100-999,495,0.13468013468013554,0.09523323652344136,85.17212775354716,5.667158110498439
resnet,capital_gain,1000+,14958,0.4679770022730308,0.10457162906494097,2.960900764965391,0.5686597178127358
tabm,capital_gain,unseen,8,0.0,0.0,-22.016494092527793,7.104299099004227
tabm,capital_gain,1-9,191,6.282722513089005,0.7404259488864433,71.43982789026978,7.291431226920635
tabm,capital_gain,10-99,629,17.70005299417063,0.2702183102062849,88.23777170872825,0.6942881902490482
tabm,capital_gain,100-999,495,0.13468013468013185,0.19046647304687747,90.46452430385507,6.528761712197671
tabm,capital_gain,1000+,14958,0.3409546730846406,0.033203334727794326,3.1305091099615736,0.21143943960764838
mlp,capital_loss,unseen,12,0.0,0.0,-24.19915988794806,11.326223473324218
mlp,capital_loss,1-9,127,16.272965879265097,0.7423693240803626,45.9368309440674,3.1236746519297465
mlp,capital_loss,10-99,363,13.406795224977053,0.936459047491794,66.60444768512077,2.784315646031103
mlp,capital_loss,100-999,261,3.1928480204342358,0.7224590356950631,58.16696143952934,9.269554694246139
mlp,capital_loss,1000+,15518,0.8377368217553786,0.12260792363990596,5.259846884208311,0.2669246761633507
resnet,capital_loss,unseen,12,0.0,0.0,-74.98399842139175,33.83060218156952
resnet,capital_loss,1-9,127,9.973753280839896,2.0666687333364337,58.21158342084763,9.381354995445625
resnet,capital_loss,10-99,363,12.304866850321394,1.6579862337252296,70.46748025762231,2.1459640718985074
resnet,capital_loss,100-999,261,1.277139208173687,0.18061475892376322,31.605120689809723,6.773947599184973
resnet,capital_loss,1000+,15518,0.8764015981440942,0.11136728441651501,4.97044152200372,0.7471691456153937
tabm,capital_loss,unseen,12,0.0,0.0,24.68390485358542,9.781896893140082
tabm,capital_loss,1-9,127,11.023622047244103,0.6429106936438828,54.53642295085299,7.130740617566781
tabm,capital_loss,10-99,363,10.835629017447198,0.9090445304510196,69.52429266620828,2.0296668988061684
tabm,capital_loss,100-999,261,1.0217113665389466,0.4778617352201714,43.36349057713888,6.507346690797679
tabm,capital_loss,1000+,15518,0.7668513983760783,0.059295329045160404,5.338424819313715,0.2520837047885557
mlp,minimum_selected_frequency,unseen,20,0.0,0.0,-89.99514122713087,24.786196024683218
mlp,minimum_selected_frequency,1-9,318,9.958071278825996,0.7412020767154582,52.910597839360584,3.303959596613391
mlp,minimum_selected_frequency,10-99,992,16.565860215053757,0.8800941433944061,77.30710019214717,1.1753942036816378
mlp,minimum_selected_frequency,100-999,756,1.2345679012345623,0.1649760752545896,64.47336679079389,7.0080055903402645
mlp,minimum_selected_frequency,1000+,14195,0.016437712809673027,0.17982096718635146,-0.011827769828876214,0.22141600051964586
resnet,minimum_selected_frequency,unseen,20,0.0,0.0,-139.98128079576443,50.784341782572874
resnet,minimum_selected_frequency,1-9,318,8.805031446540871,1.683687463753564,65.74516031385771,6.512684095354965
resnet,minimum_selected_frequency,10-99,992,15.658602150537638,0.6703607978245958,80.48043650276578,0.8287016696374828
resnet,minimum_selected_frequency,100-999,756,0.5291005291005383,0.10800219324441387,39.65144369658077,5.228745308844939
resnet,minimum_selected_frequency,1000+,14195,0.0657508512386995,0.10704493431998525,-0.22147030805838488,0.5770701658579934
tabm,minimum_selected_frequency,unseen,20,0.0,0.0,-1.0204527752117918,4.6812644248995445
tabm,minimum_selected_frequency,1-9,318,8.176100628930811,0.6793229243614056,62.720632725021346,7.321986439339918
tabm,minimum_selected_frequency,10-99,992,15.188172043010747,0.2645835979170592,81.21035741751045,0.7212505426415708
tabm,minimum_selected_frequency,100-999,756,0.44091710758378627,0.22482449354466066,50.9519055831607,7.14593864231317
tabm,minimum_selected_frequency,1000+,14195,-0.03522367030644643,0.05487059502429588,0.028924184823590864,0.4410539036800473
