dataset,task,model,seed,representation,bins,max_cardinality,variance_columns,utility_columns,utility_statistics,top8_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
churn,binclass,tabm,0,baseline_ple,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,881040,512,14,0.86625,0.8545,3.472991683986038,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,variance_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},603,880419,499,4,0.87,0.8575,2.1337598029058427,1,16,relu,0.35408660277905474,0.8478648139665088,nan
churn,binclass,tabm,0,utility_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,881040,512,14,0.86625,0.8545,3.219903093064204,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,utility_top8,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},536,881040,512,14,0.86625,0.8545,3.3100827608723193,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,all_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},618,879888,496,7,0.863125,0.857,2.5377998328767717,1;2;4,16,relu,0.35671604777292315,0.846216015707541,nan
churn,binclass,tabm,1,baseline_ple,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},536,881040,512,13,0.8625,0.8565,3.151194830890745,,16,relu,0.3547136403013411,0.8452103875832689,nan
churn,binclass,tabm,1,variance_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},603,880419,499,6,0.8575,0.8535,2.474881547037512,1,16,relu,0.3525936021576042,0.8505408335916811,nan
churn,binclass,tabm,1,utility_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},536,881040,512,13,0.8625,0.8565,3.7465050909668207,,16,relu,0.3547136403013411,0.8452103875832689,nan
churn,binclass,tabm,1,utility_top8,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},536,881040,512,13,0.8625,0.8565,3.090371821075678,,16,relu,0.3547136403013411,0.8452103875832689,nan
churn,binclass,tabm,1,all_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},618,879888,496,6,0.85875,0.8535,2.38709539687261,1;2;4,16,relu,0.35332767973656837,0.8506734777921219,nan
churn,binclass,tabm,2,baseline_ple,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.031198889548721916},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.015267935842498033},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.00934228264883952}}",{},536,881040,512,8,0.8625,0.8595,3.547139859991148,,16,relu,0.3536015652566623,0.847949644559814,nan
churn,binclass,tabm,2,variance_identity,128,128,1,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.031198889548721916},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.015267935842498033},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.00934228264883952}}",{},603,880419,499,7,0.8625,0.858,3.3402116550132632,1,16,relu,0.35272837115577876,0.847280254059915,nan
