dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
california,regression,mlp,1,residual_map_a100,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,22,0.48086413053318466,0.47408172488212585,6.045502570923418,,,gelu,0.2247534873765147,nan,0.3158703814094738
california,regression,resnet,1,baseline_ple,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}",{},0,950,1549825,384,40,0.4760804668127143,0.4798857569694519,10.167379988124594,,,gelu,0.2302903377522373,nan,0.31409270954343943
california,regression,resnet,1,utility_identity,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}",{},1,950,1549825,384,40,0.4760804668127143,0.4798857569694519,10.167379988124594,,,gelu,0.2302903377522373,nan,0.31409270954343943
california,regression,resnet,1,residual_map_a0,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,40,0.4760804668127143,0.4798857569694519,10.167379988124594,,,gelu,0.2302903377522373,nan,0.31409270954343943
california,regression,resnet,1,residual_map_a5,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,40,0.4760804668127143,0.4798857569694519,10.167379988124594,,,gelu,0.2302903377522373,nan,0.31409270954343943
california,regression,resnet,1,residual_map_a20,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,40,0.4760804668127143,0.4798857569694519,10.167379988124594,,,gelu,0.2302903377522373,nan,0.31409270954343943
california,regression,resnet,1,residual_map_a100,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0065069854631653315}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,40,0.4760804668127143,0.4798857569694519,10.167379988124594,,,gelu,0.2302903377522373,nan,0.31409270954343943
california,regression,mlp,2,baseline_ple,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}",{},0,950,661249,384,36,0.4800122210486819,0.4843156933784485,8.093489180784672,,,gelu,0.23456169263424623,nan,0.3155048291548212
california,regression,mlp,2,utility_identity,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}",{},1,950,661249,384,36,0.4800122210486819,0.4843156933784485,8.093489180784672,,,gelu,0.23456169263424623,nan,0.3155048291548212
california,regression,mlp,2,residual_map_a0,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,36,0.4800122210486819,0.4843156933784485,8.093489180784672,,,gelu,0.23456169263424623,nan,0.3155048291548212
california,regression,mlp,2,residual_map_a5,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,36,0.4800122210486819,0.4843156933784485,8.093489180784672,,,gelu,0.23456169263424623,nan,0.3155048291548212
california,regression,mlp,2,residual_map_a20,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,36,0.4800122210486819,0.4843156933784485,8.093489180784672,,,gelu,0.23456169263424623,nan,0.3155048291548212
california,regression,mlp,2,residual_map_a100,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,36,0.4800122210486819,0.4843156933784485,8.093489180784672,,,gelu,0.23456169263424623,nan,0.3155048291548212
california,regression,resnet,2,baseline_ple,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}",{},0,950,1549825,384,37,0.4745273490058679,0.4747300446033478,9.654297234956175,,,gelu,0.2253686246599317,nan,0.3090671634388637
california,regression,resnet,2,utility_identity,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}",{},1,950,1549825,384,37,0.4745273490058679,0.4747300446033478,9.654297234956175,,,gelu,0.2253686246599317,nan,0.3090671634388637
california,regression,resnet,2,residual_map_a0,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,37,0.4745273490058679,0.4747300446033478,9.654297234956175,,,gelu,0.2253686246599317,nan,0.3090671634388637
california,regression,resnet,2,residual_map_a5,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,37,0.4745273490058679,0.4747300446033478,9.654297234956175,,,gelu,0.2253686246599317,nan,0.3090671634388637
california,regression,resnet,2,residual_map_a20,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,37,0.4745273490058679,0.4747300446033478,9.654297234956175,,,gelu,0.2253686246599317,nan,0.3090671634388637
california,regression,resnet,2,residual_map_a100,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.007088285478295721}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,37,0.4745273490058679,0.4747300446033478,9.654297234956175,,,gelu,0.2253686246599317,nan,0.3090671634388637
