model,seed,representation,profile,bucket,rows,accuracy,logloss
tabm,0,baseline_ple,capital_gain,unseen,8,0.75,0.6394502943514216
tabm,0,baseline_ple,capital_gain,1-9,191,0.8952879581151832,0.25971967021373904
tabm,0,baseline_ple,capital_gain,10-99,629,0.8076311605723371,0.3647794681767759
tabm,0,baseline_ple,capital_gain,100-999,495,1.0,0.008081446259144098
tabm,0,baseline_ple,capital_gain,1000+,14958,0.8598074608904934,0.30448280593696525
tabm,0,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.3447089874847184
tabm,0,baseline_ple,capital_loss,1-9,127,0.8267716535433071,0.41398000778809585
tabm,0,baseline_ple,capital_loss,10-99,363,0.8319559228650137,0.381706020912968
tabm,0,baseline_ple,capital_loss,100-999,261,0.9808429118773946,0.09589398517673516
tabm,0,baseline_ple,capital_loss,1000+,15518,0.8613867766464751,0.2978684680623012
tabm,0,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.4626055102313996
tabm,0,baseline_ple,minimum_selected_frequency,1-9,318,0.8679245283018868,0.32132678616324634
tabm,0,baseline_ple,minimum_selected_frequency,10-99,992,0.8165322580645161,0.3709733579381044
tabm,0,baseline_ple,minimum_selected_frequency,100-999,756,0.9933862433862434,0.038397679933074344
tabm,0,baseline_ple,minimum_selected_frequency,1000+,14195,0.8585417400493132,0.3053296390731727
tabm,0,utility_identity,capital_gain,unseen,8,0.75,0.7399716896127383
tabm,0,utility_identity,capital_gain,1-9,191,0.9528795811518325,0.09464547020726735
tabm,0,utility_identity,capital_gain,10-99,629,0.9872813990461049,0.04574841348086806
tabm,0,utility_identity,capital_gain,100-999,495,1.0,0.0014901628098913787
tabm,0,utility_identity,capital_gain,1000+,14958,0.8634844230512101,0.2940718771576251
tabm,0,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.23944308923208993
tabm,0,utility_identity,capital_loss,1-9,127,0.9291338582677166,0.21684415022655162
tabm,0,utility_identity,capital_loss,10-99,363,0.9421487603305785,0.1205589277263572
tabm,0,utility_identity,capital_loss,100-999,261,0.9846743295019157,0.06287688624974
tabm,0,utility_identity,capital_loss,1000+,15518,0.869441938394123,0.2810704534924089
tabm,0,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.43965452938434935
tabm,0,utility_identity,minimum_selected_frequency,1-9,318,0.9433962264150944,0.14344808769924564
tabm,0,utility_identity,minimum_selected_frequency,10-99,992,0.9707661290322581,0.0731236318993283
tabm,0,utility_identity,minimum_selected_frequency,100-999,756,0.9947089947089947,0.022683198283172456
tabm,0,utility_identity,minimum_selected_frequency,1000+,14195,0.8586121873899261,0.3034970663119654
tabm,1,baseline_ple,capital_gain,unseen,8,0.75,0.5224725101786879
tabm,1,baseline_ple,capital_gain,1-9,191,0.9057591623036649,0.27219509539728615
tabm,1,baseline_ple,capital_gain,10-99,629,0.809220985691574,0.3650307975288342
tabm,1,baseline_ple,capital_gain,100-999,495,1.0,0.007552300705607579
tabm,1,baseline_ple,capital_gain,1000+,14958,0.8583366760262067,0.3043743365429928
tabm,1,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.3098206114511106
tabm,1,baseline_ple,capital_loss,1-9,127,0.8267716535433071,0.4130078486763806
tabm,1,baseline_ple,capital_loss,10-99,363,0.8429752066115702,0.367700177214717
tabm,1,baseline_ple,capital_loss,100-999,261,0.9693486590038314,0.11790168668457152
tabm,1,baseline_ple,capital_loss,1000+,15518,0.8600979507668514,0.2978428780212901
tabm,1,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.3948813709421415
tabm,1,baseline_ple,minimum_selected_frequency,1-9,318,0.8742138364779874,0.3284316352288742
tabm,1,baseline_ple,minimum_selected_frequency,10-99,992,0.8215725806451613,0.36600759674856753
tabm,1,baseline_ple,minimum_selected_frequency,100-999,756,0.9894179894179894,0.04564911253167847
tabm,1,baseline_ple,minimum_selected_frequency,1000+,14195,0.8569214512152167,0.3052070431375243
tabm,1,utility_identity,capital_gain,unseen,8,0.75,0.6893764422961502
