dataset,task,model,seed,representation,top_k,utility_columns,utility_statistics,selected_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
adult,binclass,resnet,1,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,1322497,384,13,0.8588975894365116,0.860573674835698,8.379253686172888,3;4,,gelu,0.29958304640134586,0.9139214712134927,nan
adult,binclass,resnet,1,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,1319053,383,21,0.8645785352372178,0.8667158036975616,10.454316235147417,3;4,,gelu,0.28848262322814483,0.9213178941311252,nan
adult,binclass,resnet,1,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,1318665,382,15,0.8656533087670812,0.8676985443154598,8.743747090920806,3;4,,gelu,0.28766614655592554,0.9214830483046422,nan
adult,binclass,resnet,1,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,1317841,380,18,0.8665745432212498,0.868005650758553,9.48998776706867,3;4,,gelu,0.28338747444219436,0.9240841455129856,nan
adult,binclass,resnet,1,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,1322517,377,13,0.8681099339781975,0.871875191941527,8.047632107976824,3;4,,gelu,0.2802719838733471,0.9258386041111126,nan
adult,binclass,resnet,1,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}",{},554,1318369,372,18,0.8693382465837556,0.8728579325594251,9.591523336945102,3;4,,gelu,0.2769741811811146,0.9273720590962762,nan
adult,binclass,mlp,2,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},350,430849,384,9,0.8578228159066482,0.8586081935999017,5.620052129030228,,,gelu,0.3031971166764169,0.9127627051201872,nan
adult,binclass,mlp,2,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0],""4"":[0.0]}",352,431617,384,9,0.8584369722094273,0.8589767213316135,5.156257450813428,3;4,,gelu,0.30377555645100396,0.9130059774164186,nan
adult,binclass,mlp,2,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,430493,383,9,0.8599723629663749,0.8590995639088508,5.1312368519138545,3;4,,gelu,0.303434674014786,0.9128266465600321,nan
adult,binclass,mlp,2,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,430133,382,10,0.8595117457392907,0.8624163134942571,5.904946265975013,3;4,,gelu,0.29742343637830837,0.9152879633480474,nan
adult,binclass,mlp,2,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,431293,381,10,0.8650391524643022,0.866654382408943,6.219955866923556,3;4,,gelu,0.28680222333531225,0.9209803719852857,nan
adult,binclass,mlp,2,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,431677,378,7,0.8673422385997236,0.8694183403967816,5.355670314980671,3;4,,gelu,0.2850915117824648,0.9226891641005407,nan
adult,binclass,mlp,2,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,430361,371,7,0.866421004145555,0.8716909280756711,5.584101351909339,3;4,,gelu,0.2808116892688842,0.9250985938110625,nan
adult,binclass,mlp,2,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,430801,359,5,0.8697988638108398,0.8713838216325779,4.916608576895669,3;4,,gelu,0.2786962227842449,0.9259584995382124,nan
adult,binclass,mlp,2,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},554,430561,345,9,0.869031168432366,0.871875191941527,6.168037100927904,3;4,,gelu,0.27888108416430407,0.9258855251676894,nan
adult,binclass,resnet,2,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},350,1319425,384,18,0.8576692768309535,0.8583010871568085,9.099286084994674,,,gelu,0.30145073342685125,0.9139680368075199,nan
adult,binclass,resnet,2,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0],""4"":[0.0]}",352,1320193,384,16,0.8602794411177644,0.860573674835698,8.343916366109625,3;4,,gelu,0.30038133716743864,0.9145711731163255,nan
adult,binclass,resnet,2,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,1320961,384,24,0.860586519269154,0.8597137767950371,9.942390396026894,3;4,,gelu,0.3024773586121118,0.913134769862045,nan
adult,binclass,resnet,2,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,1322497,384,12,0.857976354982343,0.8620477857625453,6.334413373842835,3;4,,gelu,0.3002551596690984,0.9134594953560908,nan
adult,binclass,resnet,2,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,1319053,383,14,0.8654997696913864,0.8654259566365702,6.835052264854312,3;4,,gelu,0.2895202669497452,0.9213156568080174,nan
adult,binclass,resnet,2,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,1318665,382,12,0.8648856133886074,0.8707081874577729,6.3433226549532264,3;4,,gelu,0.2838185850170192,0.9232452120762756,nan
adult,binclass,resnet,2,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,1317841,380,14,0.8676493167511131,0.8695411829740188,6.91485988907516,3;4,,gelu,0.2824858726533858,0.9243067487074232,nan
adult,binclass,resnet,2,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,1322517,377,14,0.869031168432366,0.8709538726122474,7.986298138042912,3;4,,gelu,0.28054308171959896,0.9256824933230542,nan
adult,binclass,resnet,2,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},554,1318369,372,16,0.8693382465837556,0.8714452429211965,8.908558398019522,3;4,,gelu,0.2785382374038934,0.9265354152565781,nan
