dataset,task,model,seed,representation,top_k,utility_columns,utility_statistics,selected_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
adult,binclass,resnet,0,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0],""4"":[0.0]}",352,1320193,384,19,0.860586519269154,0.8618021006080707,10.066640567965806,3;4,,gelu,0.3010416362438437,0.9134570071182421,nan
adult,binclass,resnet,0,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,1320961,384,19,0.8581298940580377,0.8625391560714943,9.653466999996454,3;4,,gelu,0.3021125453155517,0.9135276082535057,nan
adult,binclass,resnet,0,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,1322497,384,15,0.8576692768309535,0.8572569252502917,9.275898567866534,3;4,,gelu,0.30274059886546806,0.9128956376590407,nan
adult,binclass,resnet,0,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,1319053,383,13,0.865806847842776,0.8662244333886125,8.062648452818394,3;4,,gelu,0.2891030470179384,0.9207251080553879,nan
adult,binclass,resnet,0,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,1318665,382,13,0.8651926915399969,0.8680670720471716,7.996427207021043,3;4,,gelu,0.28431723552888744,0.9232343391041633,nan
adult,binclass,resnet,0,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,1317841,380,14,0.8681099339781975,0.870523923591917,8.394190169172361,3;4,,gelu,0.284129206949631,0.9235934294629526,nan
adult,binclass,resnet,0,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,1322517,377,11,0.8687240902809765,0.8710152939008661,7.564246494090185,3;4,,gelu,0.27881681950111425,0.9269192939008271,nan
adult,binclass,resnet,0,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},554,1318369,372,13,0.8685705512052817,0.8724894048277133,8.45507227187045,3;4,,gelu,0.27905942926315136,0.9271605379695687,nan
adult,binclass,mlp,1,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}",{},350,430849,384,12,0.8575157377552587,0.8579939807137154,7.099631957011297,,,gelu,0.3023285837055621,0.9139564529103078,nan
adult,binclass,mlp,1,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""3"":[0.0],""4"":[0.0]}",352,431617,384,12,0.8572086596038692,0.8590995639088508,6.195567294955254,3;4,,gelu,0.30279517864726735,0.9140937032736638,nan
