stage,split_seed,model_seed,configuration,selected_columns,selected_features,mode_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,model,activation
attribution,-1,0,baseline_ple,,,,350,1319425,384,19,0.8601259020420697,0.8616792580308335,9.370933940866962,,,resnet,gelu
attribution,-1,0,identity_capital_gain,3,capital_gain,,466,1317993,377,23,0.8670351604483341,0.8660401695227566,11.678418765077367,3,,resnet,gelu
attribution,-1,0,identity_capital_loss,4,capital_loss,,438,1320437,379,11,0.861200675571933,0.8621706283397825,7.560451962985098,4,,resnet,gelu
attribution,-1,0,identity_hours_per_week,5,hours_per_week,,443,1322332,379,15,0.857976354982343,0.8584853510226644,8.11225246405229,5,,resnet,gelu
attribution,-1,0,identity_without_capital_gain,4;5,capital_loss;hours_per_week,,531,1316318,373,11,0.8595117457392907,0.8589153000429949,6.657512838020921,4;5,,resnet,gelu
attribution,-1,0,identity_without_capital_loss,3;5,capital_gain;hours_per_week,,559,1320229,372,9,0.8673422385997236,0.8700939745715865,6.253196683945134,3;5,,resnet,gelu
attribution,-1,0,identity_without_hours_per_week,3;4,capital_gain;capital_loss,,554,1318369,372,13,0.8685705512052817,0.8724894048277133,7.383972558192909,3;4,,resnet,gelu
attribution,-1,0,identity_all_three,3;4;5,capital_gain;capital_loss;hours_per_week,,647,1320100,367,15,0.8704130201136189,0.8692954978195443,7.881970365066081,3;4;5,,resnet,gelu
attribution,-1,0,mode_indicators,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,9,0.8585905112851221,0.861249309010503,5.7277792629320174,3;4;5,,resnet,gelu
attribution,-1,1,baseline_ple,,,,350,1319425,384,15,0.8596652848149854,0.860573674835698,7.261173868784681,,,resnet,gelu
attribution,-1,1,identity_capital_gain,3,capital_gain,,466,1317993,377,13,0.866421004145555,0.869172655242307,7.556786441011354,3,,resnet,gelu
attribution,-1,1,identity_capital_loss,4,capital_loss,,438,1320437,379,21,0.8645785352372178,0.863767581843867,9.348806137917563,4,,resnet,gelu
attribution,-1,1,identity_hours_per_week,5,hours_per_week,,443,1322332,379,12,0.8575157377552587,0.8573183465389104,6.772217957070097,5,,resnet,gelu
attribution,-1,1,identity_without_capital_gain,4;5,capital_loss;hours_per_week,,531,1316318,373,14,0.8618148318747121,0.8604508322584608,7.767447377089411,4;5,,resnet,gelu
attribution,-1,1,identity_without_capital_loss,3;5,capital_gain;hours_per_week,,559,1320229,372,12,0.8639643789344388,0.8673914378723666,7.2112097691278905,3;5,,resnet,gelu
attribution,-1,1,identity_without_hours_per_week,3;4,capital_gain;capital_loss,,554,1318369,372,18,0.8693382465837556,0.8728579325594251,8.489656063029543,3;4,,resnet,gelu
attribution,-1,1,identity_all_three,3;4;5,capital_gain;capital_loss;hours_per_week,,647,1320100,367,12,0.8705665591893137,0.8704625023032984,7.000138562871143,3;4;5,,resnet,gelu
attribution,-1,1,mode_indicators,3;4;5,capital_gain;capital_loss;hours_per_week,0;0;40,353,1320577,384,21,0.8592046675879011,0.8592838277747067,9.036947512999177,3;4;5,,resnet,gelu
attribution,-1,2,baseline_ple,,,,350,1319425,384,18,0.8576692768309535,0.8583010871568085,8.16777097992599,,,resnet,gelu
attribution,-1,2,identity_capital_gain,3,capital_gain,,466,1317993,377,9,0.8638108398587441,0.8681899146244089,5.869660962140188,3,,resnet,gelu
attribution,-1,2,identity_capital_loss,4,capital_loss,,438,1320437,379,16,0.8636573007830493,0.860573674835698,9.44767215079628,4,,resnet,gelu
attribution,-1,2,identity_hours_per_week,5,hours_per_week,,443,1322332,379,16,0.8596652848149854,0.8589153000429949,10.219362959032878,5,,resnet,gelu
