dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
higgs-small,binclass,mlp,0,baseline_ple,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}",{},0,3108,1489921,384,6,0.7217618561958185,0.717542070372259,21.57672732602805,,,gelu,0.5436176180150658,0.7948327370605145,nan
higgs-small,binclass,mlp,0,utility_identity,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}",{},1,3108,1489921,384,6,0.7217618561958185,0.717542070372259,21.57672732602805,,,gelu,0.5436176180150658,0.7948327370605145,nan
higgs-small,binclass,mlp,0,residual_map_a0,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,3108,1489921,384,6,0.7217618561958185,0.717542070372259,21.57672732602805,,,gelu,0.5436176180150658,0.7948327370605145,nan
higgs-small,binclass,mlp,0,residual_map_a5,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,3108,1489921,384,6,0.7217618561958185,0.717542070372259,21.57672732602805,,,gelu,0.5436176180150658,0.7948327370605145,nan
higgs-small,binclass,mlp,0,residual_map_a20,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,3108,1489921,384,6,0.7217618561958185,0.717542070372259,21.57672732602805,,,gelu,0.5436176180150658,0.7948327370605145,nan
higgs-small,binclass,mlp,0,residual_map_a100,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,3108,1489921,384,6,0.7217618561958185,0.717542070372259,21.57672732602805,,,gelu,0.5436176180150658,0.7948327370605145,nan
higgs-small,binclass,resnet,0,baseline_ple,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}",{},0,3108,2378497,384,10,0.7233554309026007,0.720754716981132,23.774664666038007,,,gelu,0.5423248082704056,0.7997645642016635,nan
higgs-small,binclass,resnet,0,utility_identity,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}",{},1,3108,2378497,384,10,0.7233554309026007,0.720754716981132,23.774664666038007,,,gelu,0.5423248082704056,0.7997645642016635,nan
higgs-small,binclass,resnet,0,residual_map_a0,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,3108,2378497,384,10,0.7233554309026007,0.720754716981132,23.774664666038007,,,gelu,0.5423248082704056,0.7997645642016635,nan
higgs-small,binclass,resnet,0,residual_map_a5,,"{""8"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-0.00023405811153293622},""12"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.623535752653433e-05},""16"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-6.23730440980786e-05},""20"":{""cardinality"":3,""fold_wins"":0,""relative_gain"":-9.028555826367272e-05}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,3108,2378497,384,10,0.7233554309026007,0.720754716981132,23.774664666038007,,,gelu,0.5423248082704056,0.7997645642016635,nan
