dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
churn,binclass,mlp,0,baseline_ple,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},0,536,502273,384,8,0.85375,0.8445,2.1945318600628525,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,utility_identity,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},1,536,502273,384,8,0.85375,0.8445,2.1945318600628525,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,residual_map_a0,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,536,502273,384,8,0.85375,0.8445,2.1945318600628525,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,residual_map_a5,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,536,502273,384,8,0.85375,0.8445,2.1945318600628525,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,residual_map_a20,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,536,502273,384,8,0.85375,0.8445,2.1945318600628525,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,mlp,0,residual_map_a100,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,536,502273,384,8,0.85375,0.8445,2.1945318600628525,,,gelu,0.3760687318142524,0.8271183355929118,nan
churn,binclass,resnet,0,baseline_ple,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},0,536,1390849,384,9,0.858125,0.8515,2.659600866958499,,,gelu,0.3610879952287073,0.8417523841252654,nan
churn,binclass,resnet,0,utility_identity,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},1,536,1390849,384,9,0.858125,0.8515,2.659600866958499,,,gelu,0.3610879952287073,0.8417523841252654,nan
churn,binclass,resnet,0,residual_map_a0,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,536,1390849,384,9,0.858125,0.8515,2.659600866958499,,,gelu,0.3610879952287073,0.8417523841252654,nan
churn,binclass,resnet,0,residual_map_a5,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,536,1390849,384,9,0.858125,0.8515,2.659600866958499,,,gelu,0.3610879952287073,0.8417523841252654,nan
