dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae,bins,train_rows,val_rows,test_rows,baseline_score,baseline_loss,primary_gain,loss_gain_pct,win
adult,binclass,mlp,1,residual_map_a5,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""alpha"":5.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.05649142477196501,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.04285943927323863,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,7,0.8717948717948718,0.8734107241569928,4.966246595839039,3;4,,gelu,0.2760796390984883,0.9287146516017456,,,,,,0.8579939807137154,0.3023285837055621,1.541674344327748,8.682256995136665,True
adult,binclass,mlp,1,utility_identity,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}",{},0,554,430561,345,7,0.868417012129587,0.8717523493642897,5.692619189852849,3;4,,gelu,0.2779928838733844,0.9276258279925084,,,,,,0.8579939807137154,0.3023285837055621,1.3758368650574337,8.049420777189315,True
adult,binclass,mlp,2,baseline_ple,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},0,350,430849,384,9,0.8578228159066482,0.8586081935999017,5.598773912992328,,,gelu,0.3031971166764169,0.9127627051201872,,,,,,0.8586081935999017,0.3031971166764169,0.0,0.0,False
adult,binclass,mlp,2,residual_map_a0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""alpha"":0.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.07016248945789723,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.058522514007710434,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,9,0.8721019499462613,0.8722437196732388,5.345486209029332,3;4,,gelu,0.2778146042551002,0.9278060475052698,,,,,,0.8586081935999017,0.3031971166764169,1.3635526073337068,8.371620647173197,True
adult,binclass,mlp,2,residual_map_a100,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""alpha"":100.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.019585939605210028,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.011732809456634798,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,9,0.8711807154920927,0.8729807751366624,5.920977761037648,3;4,,gelu,0.2793988755697312,0.9272431202837176,,,,,,0.8586081935999017,0.3031971166764169,1.4372581536760687,7.849098753826234,True
adult,binclass,mlp,2,residual_map_a20,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""alpha"":20.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.04189684909959413,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.027749037150302195,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,9,0.8710271764163979,0.8721208770960015,5.398616631049663,3;4,,gelu,0.2793613954037459,0.927023193513185,,,,,,0.8586081935999017,0.3031971166764169,1.3512683496099798,7.86146040369816,True
adult,binclass,mlp,2,residual_map_a5,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}","{""alpha"":5.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.056578437973460904,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.04306224403996708,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,10,0.8714877936434823,0.8726736686935692,5.759914599824697,3;4,,gelu,0.2761816111707238,0.9282865701439476,,,,,,0.8586081935999017,0.3031971166764169,1.4065475093667512,8.910211878606033,True
adult,binclass,mlp,2,utility_identity,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.011281832465863456},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0031689214969852024},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.02864447414772803},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017997842925303553},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008444663721890079}}",{},0,554,430561,345,9,0.869031168432366,0.871875191941527,6.159482158022001,3;4,,gelu,0.278881084164304,0.9258855251676894,,,,,,0.8586081935999017,0.3031971166764169,1.3266998341625258,8.019875907350352,True
adult,binclass,resnet,0,baseline_ple,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},0,350,1319425,384,19,0.8601259020420697,0.8616792580308335,9.579328649910169,,,gelu,0.2996808489250813,0.914268967220289,,,,,,0.8616792580308335,0.2996808489250813,0.0,0.0,False
adult,binclass,resnet,0,residual_map_a0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""alpha"":0.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.07094506806434984,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.05851484495160405,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,1320193,384,15,0.8699524028865346,0.8709538726122474,9.253554054070264,3;4,,gelu,0.2789273615068364,0.927557600092504,,,,,,0.8616792580308335,0.2996808489250813,0.9274614581413987,6.92519641901881,True
