dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
churn,binclass,tabm,0,baseline_ple,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},0,536,881040,512,14,0.86625,0.8545,3.4681481441948563,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,utility_identity,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}",{},1,536,881040,512,14,0.86625,0.8545,3.4681481441948563,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,residual_map_a0,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,536,881040,512,14,0.86625,0.8545,3.4681481441948563,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,residual_map_a5,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,536,881040,512,14,0.86625,0.8545,3.4681481441948563,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,residual_map_a20,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,536,881040,512,14,0.86625,0.8545,3.4681481441948563,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,0,residual_map_a100,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.049719066964746594},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.019841362532310315},""4"":{""cardinality"":4,""fold_wins"":2,""relative_gain"":-0.004355098387358115}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,536,881040,512,14,0.86625,0.8545,3.4681481441948563,,16,relu,0.36219138036955434,0.8405539591980269,nan
churn,binclass,tabm,1,baseline_ple,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},0,536,881040,512,13,0.8625,0.8565,4.160198517143726,,16,relu,0.3547136403013411,0.8452103875832689,nan
churn,binclass,tabm,1,utility_identity,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}",{},1,536,881040,512,13,0.8625,0.8565,4.160198517143726,,16,relu,0.3547136403013411,0.8452103875832689,nan
churn,binclass,tabm,1,residual_map_a0,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,536,881040,512,13,0.8625,0.8565,4.160198517143726,,16,relu,0.3547136403013411,0.8452103875832689,nan
churn,binclass,tabm,1,residual_map_a5,,"{""1"":{""cardinality"":67,""fold_wins"":0,""relative_gain"":-0.04853377909173995},""2"":{""cardinality"":11,""fold_wins"":0,""relative_gain"":-0.009412584964792223},""4"":{""cardinality"":4,""fold_wins"":0,""relative_gain"":-0.006437149676023945}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,536,881040,512,13,0.8625,0.8565,4.160198517143726,,16,relu,0.3547136403013411,0.8452103875832689,nan
