model,seed,representation,profile,bucket,rows,accuracy,logloss
mlp,0,baseline_ple,capital_gain,unseen,8,0.75,0.4200190344678193
mlp,0,baseline_ple,capital_gain,1-9,191,0.8952879581151832,0.29184786307806115
mlp,0,baseline_ple,capital_gain,10-99,629,0.7980922098569158,0.37610136550847145
mlp,0,baseline_ple,capital_gain,100-999,495,0.997979797979798,0.02502118306391537
mlp,0,baseline_ple,capital_gain,1000+,14958,0.8594731916031555,0.3083717465958273
mlp,0,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.2562576055437027
mlp,0,baseline_ple,capital_loss,1-9,127,0.7559055118110236,0.492029076049463
mlp,0,baseline_ple,capital_loss,10-99,363,0.7988980716253443,0.4361844641621981
mlp,0,baseline_ple,capital_loss,100-999,261,0.9501915708812261,0.2291138077882799
mlp,0,baseline_ple,capital_loss,1000+,15518,0.8624822786441552,0.29881327980262135
mlp,0,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.32176217711334926
mlp,0,baseline_ple,minimum_selected_frequency,1-9,318,0.839622641509434,0.3717944481326776
mlp,0,baseline_ple,minimum_selected_frequency,10-99,992,0.7983870967741935,0.3980874187456718
mlp,0,baseline_ple,minimum_selected_frequency,100-999,756,0.9814814814814815,0.09548173207589834
mlp,0,baseline_ple,minimum_selected_frequency,1000+,14195,0.8602324762240225,0.30496147497935605
mlp,0,utility_identity,capital_gain,unseen,8,0.75,0.7341606774425062
mlp,0,utility_identity,capital_gain,1-9,191,0.9633507853403142,0.12724645155527853
mlp,0,utility_identity,capital_gain,10-99,629,0.9904610492845787,0.040253446531571334
mlp,0,utility_identity,capital_gain,100-999,495,1.0,0.00015988909330936986
mlp,0,utility_identity,capital_gain,1000+,14958,0.8626821767615992,0.29666509772725985
mlp,0,utility_identity,capital_loss,unseen,12,0.9166666666666666,0.3461185875208142
mlp,0,utility_identity,capital_loss,1-9,127,0.9291338582677166,0.2871025975370003
mlp,0,utility_identity,capital_loss,10-99,363,0.9366391184573003,0.15917566025675975
mlp,0,utility_identity,capital_loss,100-999,261,0.9770114942528736,0.07086450479536213
mlp,0,utility_identity,capital_loss,1000+,15518,0.8691841732181982,0.28200802932583163
mlp,0,utility_identity,minimum_selected_frequency,unseen,20,0.85,0.5013354234894911
mlp,0,utility_identity,minimum_selected_frequency,1-9,318,0.949685534591195,0.19108837149137492
mlp,0,utility_identity,minimum_selected_frequency,10-99,992,0.9707661290322581,0.08377034530399412
mlp,0,utility_identity,minimum_selected_frequency,100-999,756,0.9920634920634921,0.02456981594282759
mlp,0,utility_identity,minimum_selected_frequency,1000+,14195,0.8580486086650229,0.3043765183826777
resnet,0,baseline_ple,capital_gain,unseen,8,0.75,0.32226897027980195
resnet,0,baseline_ple,capital_gain,1-9,191,0.8691099476439791,0.2935902299475896
resnet,0,baseline_ple,capital_gain,10-99,629,0.809220985691574,0.3620737452228766
resnet,0,baseline_ple,capital_gain,100-999,495,1.0,0.007069603231359289
resnet,0,baseline_ple,capital_gain,1000+,14958,0.8592726300307528,0.3068061356011705
resnet,0,baseline_ple,capital_loss,unseen,12,0.9166666666666666,0.28052076850129426
resnet,0,baseline_ple,capital_loss,1-9,127,0.8346456692913385,0.4260832486428425
resnet,0,baseline_ple,capital_loss,10-99,363,0.8402203856749312,0.3965028441366485
resnet,0,baseline_ple,capital_loss,100-999,261,0.9616858237547893,0.1350698176715716
resnet,0,baseline_ple,capital_loss,1000+,15518,0.860677922412682,0.29916492619639823
resnet,0,baseline_ple,minimum_selected_frequency,unseen,20,0.85,0.29722004921269723
resnet,0,baseline_ple,minimum_selected_frequency,1-9,318,0.8553459119496856,0.34650410848311514
resnet,0,baseline_ple,minimum_selected_frequency,10-99,992,0.8205645161290323,0.37467229653910555
resnet,0,baseline_ple,minimum_selected_frequency,100-999,756,0.9867724867724867,0.05126015345476592
resnet,0,baseline_ple,minimum_selected_frequency,1000+,14195,0.8580486086650229,0.3066251214997371
resnet,0,utility_identity,capital_gain,unseen,8,0.75,1.4417951034491252
resnet,0,utility_identity,capital_gain,1-9,191,0.9790575916230366,0.06675418462706177
resnet,0,utility_identity,capital_gain,10-99,629,0.9793322734499205,0.059314064280687945
resnet,0,utility_identity,capital_gain,100-999,495,1.0,0.001240989030603454
resnet,0,utility_identity,capital_gain,1000+,14958,0.8624816151891964,0.29958278658505844
