model,representation,top_k,accuracy_mean,accuracy_std,gain_mean,gain_std,wins
mlp,baseline_ple,0,0.8594271441148168,0.001612105700716945,0.0,0.0,0
mlp,top1,1,0.8597956718465287,0.001072481285237085,0.036852773171180964,0.060180326583948576,2
mlp,top2,2,0.8607784124644269,0.0011913548738591887,0.13512683496099687,0.1530199778150786,3
mlp,top4,4,0.8612083614847572,0.0015378508247416282,0.17812173699404132,0.14508951306452506,3
mlp,top8,8,0.8658763794197736,0.001188184028708104,0.6449235304956743,0.1216079471360688,3
mlp,top16,16,0.8685584423561207,0.00297158877327259,0.9131298241303801,0.18387673254565226,3
mlp,top32,32,0.8700530270458408,0.00214496257047417,1.0625882931023956,0.17631226699106023,3
mlp,top64,64,0.8710562414266119,0.00023163418502108202,1.1629097311794994,0.17090380815845965,3
mlp,full,-1,0.8721822983846201,0.0005235842127856341,1.27551542698033,0.10899274536130953,3
resnet,baseline_ple,0,0.8601846733411134,0.0014062956625165793,0.0,0.0,0
resnet,top1,1,0.860409884732715,0.0012091659447808966,0.022521139160166143,0.16314904336864192,2
resnet,top2,2,0.8604508322584609,0.001497806535894339,0.026615891734741808,0.12510792635548282,2
resnet,top4,4,0.8599594619495118,0.0020035018033658885,-0.022521139160166143,0.3338793052954012,1
resnet,top8,8,0.8661220645742481,0.0005315297989782894,0.5937391233134784,0.10630595979564406,3
resnet,top16,16,0.8688246012734681,0.001340367078462243,0.863992793235476,0.26807341569244864,3
resnet,top32,32,0.869356919108163,0.0010363041365062512,0.9172245767049595,0.15718197258701674,3
resnet,top64,64,0.8712814528182135,0.000420585111155622,1.1096779477100156,0.1361774596017101,3
resnet,full,-1,0.8722641934361116,0.0005983104721742069,1.2079520094998315,0.09637902910091327,3
tabm,baseline_ple,0,0.8622729971541468,0.0007839072014035404,0.0,0.0,0
tabm,top1,1,0.8617202055565792,0.0006845711155047975,-0.055279159756771445,0.03786262516411122,0
tabm,top2,2,0.8617202055565792,0.0009908116727115703,-0.055279159756771445,0.03288573266222168,0
tabm,top4,4,0.8623753659685113,0.0005812529765402751,0.010236881436439157,0.11881840287080517,1
tabm,top8,8,0.868845075036341,0.0003627960024296065,0.657207788219405,0.05211769162974345,3
tabm,top16,16,0.8702987122003153,0.0008396739207014223,0.802571504616841,0.0322421140143389,3
tabm,top32,32,0.8704829760661713,0.0006678339344552962,0.8209978912024315,0.0276206161849845,3
tabm,top64,64,0.8728374587965523,0.00014477136563817626,1.056446164240532,0.06747029074087998,3
tabm,full,-1,0.8730217226624082,0.0005073198490413697,1.0748725508261225,0.03916861468318675,3
