dataset,task,model,representation,runs,test_mean,test_std,primary_gain_mean,primary_gain_std,loss_gain_pct_mean,loss_gain_pct_std,wins,mean_parameters,mean_seconds,selected_columns
adult,binclass,mlp,all_identity,3,0.8716295067870524,0.0010507648932585043,1.2202362672235585,0.12510792635548285,8.184630573782187,0.17736958790071755,3,431551.0,6.277742827621599,0;2;3;4;5:3
adult,binclass,mlp,baseline_ple,3,0.8594271441148168,0.001612105700716945,0.0,0.0,0.0,0.0,0,430849.0,8.054495494347066,-:3
adult,binclass,mlp,utility_identity,3,0.8721822983846201,0.0005235842127856341,1.27551542698033,0.10899274536130953,8.252972215019946,0.30899208735421724,3,430561.0,6.486051523669933,3;4:3
adult,binclass,mlp,utility_top8,3,0.8658763794197736,0.001188184028708104,0.6449235304956743,0.1216079471360688,4.871611015229999,0.5325821141060081,3,431293.0,7.071720561012626,3;4:3
adult,binclass,mlp,variance_identity,3,0.8732059865282641,0.0008633035907830362,1.3778842413447216,0.13882962560174114,8.134009955195141,0.7337523092470384,3,430662.0,7.223365502587209,3;4;5:3
adult,binclass,resnet,all_identity,3,0.8709538726122474,0.001641990676720376,1.0769199271134104,0.28958615942917676,6.880909292811366,0.4444715934969503,3,1319853.0,8.346685758947084,0;2;3;4;5:3
adult,binclass,resnet,baseline_ple,3,0.8601846733411134,0.0014062956625165793,0.0,0.0,0.0,0.0,0,1319425.0,13.246635760103041,-:3
adult,binclass,resnet,utility_identity,3,0.8722641934361116,0.0005983104721742069,1.2079520094998315,0.09637902910091327,7.702162087599373,0.7153800810388474,3,1318369.0,10.894467750952268,3;4:3
adult,binclass,resnet,utility_top8,3,0.8661220645742481,0.0005315297989782894,0.5937391233134784,0.10630595979564406,4.105095744165549,0.5401513105128625,3,1319053.0,9.371542124698559,3;4:3
adult,binclass,resnet,variance_identity,3,0.8707900825092644,0.0013737269371018304,1.0605409168151076,0.2779761019668272,7.003363234470247,1.4644388340315728,3,1320100.0,9.816455589995408,3;4;5:3
adult,binclass,tabm,all_identity,3,0.8722232459103658,0.0003696634130841207,0.9950248756218971,0.1108990239252362,7.3886046327219725,0.10560831056154059,3,783554.0,7.276335775696983,0;2;3;4;5:3
adult,binclass,tabm,baseline_ple,3,0.8622729971541471,0.0007839072014035404,0.0,0.0,0.0,0.0,0,782832.0,9.558492351711417,-:3
adult,binclass,tabm,utility_identity,3,0.8730217226624082,0.0005073198490413697,1.0748725508261225,0.03916861468318675,8.001752636955121,0.05566875355165442,3,783904.0,9.216035036370158,3;4:3
adult,binclass,tabm,utility_top8,3,0.868845075036341,0.0003627960024296065,0.657207788219405,0.05211769162974345,4.658611988398449,0.05940012633395576,3,783624.0,9.463300224626437,3;4:3
adult,binclass,tabm,variance_identity,3,0.8720185082816371,0.0012133187879556117,0.9745511127490188,0.07203739363167332,7.562822474861348,0.24454267502378885,3,781714.0,8.987267433355251,3;4;5:3
black-friday,regression,mlp,all_identity,3,0.691303014755249,0.000333228415424095,0.19854952655630898,0.1229595168335325,0.3965529278082385,0.24553828768311306,3,327081.0,30.67648371635005,0;1;2;3:3
black-friday,regression,mlp,baseline_ple,3,0.692679226398468,0.0007956771668290286,0.0,0.0,0.0,0.0,0,326401.0,50.18489584644946,-:3
black-friday,regression,mlp,utility_identity,3,0.6924668351809183,0.00010414919021792714,0.030547031380416395,0.10039838998101994,0.06098541354303778,0.2007878280459938,2,326137.0,46.756319624992706,1:3
black-friday,regression,mlp,utility_top8,3,0.6931256055831909,0.0008350685057693913,-0.06443614009861565,0.008289157986360037,-0.12891491015344148,0.016585484384300346,0,326229.0,46.49174259797049,1:3
black-friday,regression,mlp,variance_identity,3,0.6924668351809183,0.00010414919021792714,0.030547031380416395,0.10039838998101994,0.06098541354303778,0.2007878280459938,2,326137.0,47.411077050026506,1:3
black-friday,regression,resnet,all_identity,3,0.6931076049804688,0.0013973495626742511,-0.037323469316822046,0.4322168195711393,-0.07652137212164471,0.8634866383502849,1,1213721.0,24.607955133309588,0;1;2;3:3
black-friday,regression,resnet,baseline_ple,3,0.6928582986195883,0.0024168940566486673,0.0,0.0,0.0,0.0,0,1214977.0,26.24532407700705,-:3
black-friday,regression,resnet,utility_identity,3,0.6930617094039917,0.0026817803375864253,-0.029331011693340483,0.14947199316823473,-0.05888745519357739,0.2988804426360045,1,1213345.0,28.429070547688752,1:3
black-friday,regression,resnet,utility_top8,3,0.6929547389348348,0.0010368099255174351,-0.014659309531324771,0.2207224393829512,-0.029801115297652465,0.4417924559991307,2,1218049.0,29.39077778059679,1:3
black-friday,regression,resnet,variance_identity,3,0.6930617094039917,0.0026817803375864253,-0.029331011693340483,0.14947199316823473,-0.05888745519357739,0.2988804426360045,1,1213345.0,28.156121044730146,1:3
black-friday,regression,tabm,all_identity,3,0.6855015754699707,0.00032486872122073084,0.35368709899950157,0.06133464579126454,0.7060924829637504,0.12226111187691151,3,639696.0,42.41168300822998,0;1;2;3:3
black-friday,regression,tabm,baseline_ple,3,0.6879347761472067,0.00012474564703070327,0.0,0.0,0.0,0.0,0,639216.0,64.25190969991188,-:3
black-friday,regression,tabm,utility_identity,3,0.6877077221870422,0.00024025561491326496,0.033005088455336,0.030086343959562035,0.06599143371084505,0.06015646675387803,2,638724.0,57.86988664100257,1:3
black-friday,regression,tabm,utility_top8,3,0.6882206400235494,0.0002478375385012641,-0.04155484912352364,0.033978601215656774,-0.08314113371235993,0.06798573746885762,0,638892.0,53.741565787311025,1:3
black-friday,regression,tabm,variance_identity,3,0.6877077221870422,0.00024025561491326496,0.033005088455336,0.030086343959562035,0.06599143371084505,0.06015646675387803,2,638724.0,56.76613546535373,1:3
california,regression,mlp,all_identity,3,0.4801385502020518,0.001773066339783632,-0.6608363533987902,1.4325452340557352,-1.346562189217811,2.8695268215144236,1,661009.0,5.1380962595964474,1:3
california,regression,mlp,baseline_ple,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0.0,0,661249.0,7.0771650709987926,-:3
california,regression,mlp,utility_identity,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0.0,0,661249.0,6.442359476350248,-:3
california,regression,mlp,utility_top8,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0.0,0,661249.0,6.2333143303791685,-:3
california,regression,mlp,variance_identity,3,0.47705958286921185,0.0051582368614607,0.0,0.0,0.0,0.0,0,661249.0,6.592621867389728,-:3
california,regression,resnet,all_identity,3,0.4886869390805562,0.0032737441936790093,-2.008307225507163,0.42991504617631093,-4.058793724731252,0.8771196678673391,0,1548385.0,9.037031102071827,1:3
california,regression,resnet,baseline_ple,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0.0,0,1549825.0,9.841222365386784,-:3
california,regression,resnet,utility_identity,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0.0,0,1549825.0,9.484286595756808,-:3
california,regression,resnet,utility_top8,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0.0,0,1549825.0,9.309353184265396,-:3
california,regression,resnet,variance_identity,3,0.4790704349676768,0.0032624042995934403,0.0,0.0,0.0,0.0,0,1549825.0,9.599307121398548,-:3
california,regression,tabm,all_identity,3,0.4520816802978515,0.0015496875326860698,-0.47929967915212734,0.9991863342368381,-0.970882406716513,2.001281659052828,1,1098504.0,15.807371652917936,1:3
california,regression,tabm,baseline_ple,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0.0,0,1099632.0,14.986204563872889,-:3
california,regression,tabm,utility_identity,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0.0,0,1099632.0,14.118092053880295,-:3
california,regression,tabm,utility_top8,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0.0,0,1099632.0,14.18776025964568,-:3
california,regression,tabm,variance_identity,3,0.44995492696762085,0.0030099629970618234,0.0,0.0,0.0,0.0,0,1099632.0,14.34921475321365,-:3
churn,binclass,mlp,all_identity,3,0.8483333333333333,0.001178511301977554,0.30000000000000027,0.20412414523193623,1.8617038428038686,1.5478786457658675,3,501841.0,2.4326449582974115,1;2;4:3
churn,binclass,mlp,baseline_ple,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0.0,0,502273.0,2.4023920676360526,-:3
churn,binclass,mlp,utility_identity,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0.0,0,502273.0,1.9923790669223915,-:3
churn,binclass,mlp,utility_top8,3,0.8453333333333334,0.0031180478223116403,0.0,0.0,0.0,0.0,0,502273.0,2.1143940790401152,-:3
churn,binclass,mlp,variance_identity,3,0.8460000000000001,0.0008164965809277268,0.06666666666666303,0.39228674319799633,-0.17876390791463062,0.12496583083299803,2,502573.0,2.263182813379293,1:3
churn,binclass,resnet,all_identity,3,0.8483333333333333,0.003399346342395193,-0.25000000000000205,0.2483277404291907,-1.436143072020829,2.6495298585195934,1,1388657.0,2.8121723763955138,1;2;4:3
churn,binclass,resnet,baseline_ple,3,0.8508333333333332,0.0013123346456686458,0.0,0.0,0.0,0.0,0,1390849.0,4.817633673315868,-:3
churn,binclass,resnet,utility_identity,3,0.8508333333333332,0.0013123346456686458,0.0,0.0,0.0,0.0,0,1390849.0,3.456882009670759,-:3
churn,binclass,resnet,utility_top8,3,0.8508333333333332,0.0013123346456686458,0.0,0.0,0.0,0.0,0,1390849.0,2.9124362792354077,-:3
